Project,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
104.csv,0,0,0,183,0,183,160,0,0,160,-23,0,-183,0,183,0,0,0,0,0,663,3,185
17ok.csv,0,112,-127,-8,-11,116,-15,-102,74,-8,-53,-11,-53,-11,-11,-8,76,-127,74,120,27,-7,126
adobe.csv,0,0,0,0,0,0,0,0,-170,0,0,0,0,-2,0,0,0,0,2,0,-170,-1,199
aliyun.csv,0,0,0,115,0,0,0,194,0,0,0,115,194,0,40,60,0,0,16,0,734,7,197
allegro.csv,0,0,15,0,11,1,3,20,1,133,12,0,1,0,133,1,2,1,2,133,469,15,173
amazonaws.csv,0,0,180,180,159,180,0,0,0,185,185,-185,31,185,160,18,116,180,0,5,1579,12,184
ameblo.csv,0,0,140,0,200,0,0,0,0,0,0,200,-200,60,140,200,98,200,0,140,1178,8,199
animeflv.csv,0,0,195,0,-195,-194,0,0,0,0,0,-195,-1,195,-1,-195,-195,195,0,0,-391,-4,195
aparat.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
apple.csv,0,0,0,0,0,0,0,199,199,199,0,0,48,10,0,-199,0,-4,0,0,452,3,199
archive.csv,0,0,10,10,-10,10,10,0,0,0,10,-10,10,10,0,10,10,5,10,0,85,9,198
bbc.csv,0,173,173,0,-53,72,-4,0,170,-2,0,72,77,113,113,-2,113,0,0,2,1017,6,199
behance.csv,0,0,182,1,0,0,0,-183,0,0,0,182,-1,182,0,0,151,182,696,4,199
bestbuy.csv,0,1,4,4,4,4,0,-3,4,3,4,0,4,4,4,0,4,0,0,4,45,12,190
bongacams.csv,0,-190,0,-192,0,-14,-100,-194,195,-195,0,-113,-194,0,0,0,195,195,0,-1,-608,-6,195
bukalapak.csv,0,0,0,1,162,0,0,0,45,-162,-162,-162,-161,0,162,0,0,0,0,0,-277,0,162
chase.csv,0,0,0,0,0,0,0,-199,0,0,0,0,0,0,0,0,0,0,0,0,-199,-1,199
citi.csv,0,-47,1,-74,0,-74,0,0,0,0,0,0,0,0,0,0,64,0,0,0,-130,-1,137
cnblogs.csv,0,1,0,-196,1,0,1,0,-196,1,-196,-196,-196,0,0,-196,0,-196,-196,0,-1564,-4,197
ctrip.csv,0,0,-8,0,0,1,0,0,0,-8,2,9,-7,0,0,0,0,0,0,0,-11,0,19
dailymotion.csv,0,0,0,186,0,-121,0,7,-8,186,0,0,0,0,0,0,0,186,180,0,616,3,199
detik.csv,0,77,1,0,80,0,83,0,83,0,85,83,83,83,85,78,86,0,83,-3,987,12,89
dkn.csv,0,191,0,0,3,191,0,0,0,191,0,191,2,191,0,191,0,0,3,0,1154,9,190
douyu.csv,0,195,0,0,195,0,195,0,195,195,0,0,90,73,195,0,0,0,73,0,1406,9,194
dropbox.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
ebay.csv,0,0,0,196,12,31,200,-2,-200,14,0,0,0,0,31,0,-2,-19,-7,200,454,2,199
flipkart.csv,0,190,0,-31,0,0,0,0,3,190,92,-31,-32,0,190,0,0,-31,1,1,542,3,191
hotstar.csv,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,1,198
Microsoft.csv,0,0,-193,0,-193,-10,0,165,0,-5,-165,-164,-192,-193,0,165,0,-193,-193,0,-1171,-8,196
