string,html,head,script,link,meta,title,body,input,div,dsi,a,img,span,ul,li,button,i,p,style,form,dl,dt,dd,h4,h3,h2,number_of_tags,wb_div,b,hr,noscript,table,tbody,tr,td,strong,h1,svg,g,path,circle,article,header,section,footer,s
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,1,1,31,29,22,1,1,18,160,6,147,19,53,8,29,1,20,13,6,1,17,17,17,1,14,2,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
879,1,1,24,29,22,1,1,18,154,5,146,17,51,8,30,1,21,13,6,1,17,17,17,0,15,2,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,1,1,23,29,22,1,1,18,160,6,139,13,53,8,22,1,20,13,6,1,17,17,17,1,14,2,1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893,1,1,27,27,22,1,1,18,160,6,147,19,53,8,29,1,20,13,6,1,17,17,17,1,14,2,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,1,1,33,27,22,1,1,18,169,6,148,17,55,8,27,1,20,13,8,1,17,17,17,1,14,2,1580,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2493,1,1,14,8,9,0,1,24,240,1,889,298,106,34,308,0,7,10,1,1,91,91,91,0,11,0,4732,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2348,1,1,15,8,9,0,1,24,243,1,876,273,54,26,284,0,7,10,1,1,78,78,78,0,11,0,4431,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2505,1,1,14,8,9,0,1,24,243,1,891,299,106,34,309,0,7,10,1,1,91,91,91,0,11,0,4751,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,1,1,29,29,22,1,1,18,160,6,149,20,53,8,30,1,20,13,6,1,17,17,17,1,14,2,1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
891,1,1,29,29,22,1,1,18,160,6,140,11,53,8,21,1,20,13,6,1,17,17,17,1,14,2,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2495,1,1,14,8,9,0,1,24,240,1,890,298,106,34,308,0,7,10,1,1,91,91,91,0,11,0,4735,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
937,1,1,34,27,22,1,1,18,169,6,150,18,55,8,28,1,20,13,8,1,17,17,17,1,14,2,1589,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1,1,13,17,6,1,1,1,22,0,52,0,1,0,0,0,0,0,0,0,4,4,4,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938,1,1,34,27,22,1,1,18,169,6,151,19,55,8,29,1,20,13,8,1,17,17,17,1,14,2,1593,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
937,1,1,34,27,22,1,1,18,169,6,150,18,55,8,28,1,20,13,8,1,17,17,17,1,14,2,1589,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
937,1,1,34,27,22,1,1,18,169,6,150,18,55,8,28,1,20,13,8,1,17,17,17,1,14,2,1589,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892,1,1,30,29,22,1,1,18,160,6,140,11,53,8,21,1,20,13,6,1,17,17,17,1,14,2,1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,1,1,30,29,22,1,1,18,160,6,149,20,53,8,30,1,20,13,6,1,17,17,17,1,14,2,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,1,1,30,29,22,1,1,18,160,6,148,19,53,8,29,1,20,13,6,1,17,17,17,1,14,2,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,1,1,32,29,22,1,1,18,163,6,149,20,59,8,29,1,19,13,4,1,17,17,17,1,15,2,1559,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938,1,1,34,27,22,1,1,18,169,6,151,19,55,8,29,1,20,13,8,1,17,17,17,1,14,2,1593,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,1,1,30,29,22,1,1,18,160,6,149,20,53,8,30,1,20,13,6,1,17,17,17,1,14,2,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
937,1,1,34,27,22,1,1,18,169,6,150,18,55,8,28,1,20,13,8,1,17,17,17,1,14,2,1589,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,1,1,29,29,22,1,1,18,160,6,148,19,53,8,29,1,20,13,6,1,17,17,17,1,14,2,1533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,1,1,31,29,22,1,1,18,160,6,148,19,53,8,29,1,20,13,6,1,17,17,17,1,14,2,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,1,1,29,29,22,1,1,18,160,6,147,18,53,8,28,1,20,13,6,1,17,17,17,1,14,2,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938,1,1,34,27,22,1,1,18,169,6,151,19,55,8,29,1,20,13,8,1,17,17,17,1,14,2,1593,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,1,1,30,29,22,1,1,18,160,6,149,20,53,8,30,1,20,13,6,1,17,17,17,1,14,2,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,1,1,30,29,22,1,1,18,160,6,149,20,53,8,30,1,20,13,6,1,17,17,17,1,14,2,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,1,1,30,29,22,1,1,18,160,6,148,19,53,8,29,1,20,13,6,1,17,17,17,1,14,2,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,1,1,30,29,22,1,1,18,160,6,149,20,53,8,30,1,20,13,6,1,17,17,17,1,14,2,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,1,1,30,29,22,1,1,18,160,6,149,20,53,8,30,1,20,13,6,1,17,17,17,1,14,2,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,1,1,30,29,22,1,1,18,160,6,149,20,53,8,30,1,20,13,6,1,17,17,17,1,14,2,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,1,1,29,29,22,1,1,18,160,6,148,19,53,8,29,1,20,13,6,1,17,17,17,1,14,2,1533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,1,1,29,29,22,1,1,18,160,6,149,20,53,8,30,1,20,13,6,1,17,17,17,1,14,2,1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,1,1,29,29,22,1,1,18,160,6,149,20,53,8,30,1,20,13,6,1,17,17,17,1,14,2,1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938,1,1,33,27,22,1,1,18,169,6,152,20,55,8,30,1,20,13,8,1,17,17,17,1,14,2,1595,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
