string,html,head,script,link,meta,title,body,h1,aside,input,nav,div,ul,li,label,span,a,form,button,main,section,h2,h3,p,figure,h4,sup,h5,br,footer,number_of_tags,style,wb_div,svg,path,picture,source,img,noscript,video,canvas,i,h6,hr,u,strong,small,blockquote,g,clippath,defs,rect,table,tbody,tr,td,em,ol,b,ui-activity-indicator,ui-spinner-nib,lineargradient,stop,circle,map,area
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,1,1,19,150,16,1,1,1,4,13,2,104,13,82,11,70,136,1,4,1,5,4,13,5,9,6,2,5,1,1,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,1,1,19,150,16,1,1,1,4,13,2,104,13,82,11,70,136,1,4,1,5,4,13,5,9,6,2,5,1,1,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,1,1,19,150,16,1,1,1,4,13,2,104,13,82,11,70,136,1,4,1,5,4,13,5,9,6,2,5,1,1,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,1,1,19,150,16,1,1,1,4,13,2,104,13,82,11,71,136,1,4,1,5,4,13,5,9,6,2,6,1,1,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,1,1,23,148,16,1,1,1,4,13,2,113,13,82,11,73,139,1,4,1,5,4,13,5,9,6,2,6,1,1,1606,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,1,1,23,148,16,1,1,1,4,13,2,113,13,82,11,73,139,1,4,1,5,4,13,5,9,6,2,6,1,1,1606,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,1,1,19,150,16,1,1,1,4,13,2,104,13,82,11,71,136,1,4,1,5,4,13,5,9,6,2,6,1,1,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,1,1,21,147,18,1,1,1,4,13,2,73,14,79,11,67,112,1,4,1,3,3,10,0,0,0,0,0,0,1,1461,2,2,6,6,16,32,16,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,1,1,21,147,18,1,1,1,4,13,2,73,14,79,11,67,112,1,4,1,3,3,10,0,0,0,0,0,0,1,1461,2,2,6,6,16,32,16,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
