,0
0,20191108215850
1,20191115232014
2,20191121203015
3,20191123002037
4,20191126082936
5,20191205105520
6,20191207051625
7,20191221070102
8,20191223080345
9,20191228104729
10,20200104175305
11,20200111190547
12,20200119181111
13,20200126183422
14,20200208210340
15,20200220225114
16,20200223221354
17,20200226002527
18,20200227130240
19,20200229034539
20,20200313064424
21,20200319081624
22,20200325053141
23,20200330072806
24,20200331074130
25,20200403001636
26,20200410004751
27,20200412075823
28,20200417014026
29,20200418083831
30,20200424071742
31,20200505162755
32,20200510110904
33,20200520104438
34,20200522071036
35,20200525082827
36,20200529081601
37,20200603140605
38,20200608005541
39,20200612095932
40,20200617050119
41,20200622190722
42,20200626115604
43,20200628063701
44,20200629083707
45,20200703182818
46,20200711020118
47,20200715173850
48,20200718025240
49,20200722202940
50,20200725041008
51,20200728233550
52,20200729141016
53,20200731150148
54,20200801045242
55,20200803022559
56,20200805200404
57,20200808053836
58,20200810023159
59,20200812092202
60,20200822065654
61,20200829080731
62,20200830104524
63,20200905090808
64,20200919120538
65,20200924092033
66,20201030113004
67,20201102181731
68,20210222113109
69,20210302133742
