,0
0,20210930160600
1,20211004160140
2,20211006181544
3,20211007160613
4,20211008154149
5,20211014215947
6,20211021161001
7,20211028161016
8,20211104160837
9,20211111160955
10,20211118160837
11,20211125161015
12,20211130100218
13,20211209182625
14,20211216161027
15,20211223161005
16,20211230160956
17,20220106161011
18,20220113161003
19,20220118171454
20,20220120161102
21,20220121183351
22,20220127161229
23,20220203161222
24,20220208100539
25,20220209210518
26,20220210161315
27,20220215205850
28,20220220220221
29,20220221134219
30,20220222100230
31,20220224161132
32,20220308203810
33,20220310161221
34,20220312154841
35,20220319213546
36,20220322100245
37,20220329100229
38,20220405100233
39,20220412100534
40,20220419100231
41,20220426100251
42,20220505231901
43,20220506014138
44,20220509140233
45,20220510100247
46,20220512140202
47,20220514214112
48,20220515140157
49,20220516140133
50,20220517100239
51,20220519235947
52,20220524100233
53,20220525102430
54,20220528040702
55,20220531184532
56,20220606160126
57,20220607173812
58,20220609150654
59,20220610180828
60,20220614110357
61,20220621100238
62,20220624220215
63,20220628100243
64,20220629055447
65,20220705100248
66,20220707234920
67,20220708183703
68,20220709231051
69,20220712100520
70,20220715010613
