,Timestamp,"//*[@data-m=""{""cN"":""footerNavColumn5_cont"",""cT"":""Container"",""id"":""c5c1c1m1r1a3"",""sN"":5,""aN"":""c1c1m1r1a3""}""]/ul/li[5]_RELOC","xpath//*[@id=""uhf-footer""]/nav/div[2]/div[2]/ul/li[5]_SEL","//*[@data-m=""{""cN"":""footerNavColumn4_cont"",""cT"":""Container"",""id"":""c4c1c1m1r1a3"",""sN"":4,""aN"":""c1c1m1r1a3""}""]/div_RELOC",class namec-heading-4_SEL,"xpath//*[@id=""uhf-footer""]/nav/div[2]/div[1]/div_SEL","//*[@data-m=""{""cN"":""footerNavColumn3_cont"",""cT"":""Container"",""id"":""c3c1c1m1r1a3"",""sN"":3,""aN"":""c1c1m1r1a3""}""]/ul/li[2]_RELOC","xpath//*[@id=""uhf-footer""]/nav/div[1]/div[3]/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-uhfh-gcontainer-st "")]_RELOC",class namec-uhfh-gcontainer-st_SEL,"xpath//*[@id=""coreui-universalheader-o7z1gqh""]/header/div/div_SEL","//*[@data-m=""{""cN"":""footerNavColumn6_cont"",""cT"":""Container"",""id"":""c6c1c1m1r1a3"",""sN"":6,""aN"":""c1c1m1r1a3""}""]/ul/li[6]_RELOC","xpath//*[@id=""uhf-footer""]/nav/div[2]/div[3]/ul/li[6]_SEL","//*[@aria-label=""Microsoft 365 für Unternehmen kaufen""]/span_RELOC","xpath//*[@id=""coreui-contentplacement-r9h8jv2""]/div[2]/div/div[1]/div[2]/section/a/span_SEL","//*[@data-m=""{""cN"":""footerNavColumn1_cont"",""cT"":""Container"",""id"":""c1c1c1m1r1a3"",""sN"":1,""aN"":""c1c1m1r1a3""}""]/ul/li[4]_RELOC","xpath//*[@id=""uhf-footer""]/nav/div[1]/div[1]/ul/li[4]_SEL","//*[@id=""c-uhff-footer_managecookies""]_RELOC",class namex-hidden_SEL,idc-uhff-footer_managecookies_SEL,"xpath//*[@id=""c-uhff-footer_managecookies""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" f-mobile-title "")]_RELOC",class namef-mobile-title_SEL,"xpath//*[@id=""coreui-universalheader-o7z1gqh""]/header/div/div/div[1]_SEL","//*[@data-m=""{""cN"":""Surface Earbuds kaufen"",""cT"":""Container"",""id"":""c3m1r2a2"",""sN"":3,""aN"":""m1r2a2""}""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-paragraph "")][1]_RELOC",class namec-paragraph_SEL,"xpath//*[@id=""coreui-contentplacement-q23hezc""]/div[2]/div/div[2]/div[1]/section/div[1]_SEL","//*[@data-m=""{""cN"":""Folie 2-Surface Laptop 4 anzeigen"",""bhvr"":2,""id"":""nn2m1r1a2"",""sN"":2,""aN"":""m1r1a2""}""]_RELOC","xpath//*[@id=""StoreLocations-HighlightHero-cjfjcfv""]/div/div/div/div[1]/div/button[2]_SEL","//*[@data-m=""{""cN"":""More_PCAndDevices_Accessories_cont"",""cT"":""Container"",""id"":""c4c8c2c1c7c3m1r1a1"",""sN"":4,""aN"":""c8c2c1c7c3m1r1a1""}""]_RELOC",class namejs-nav-menu_SEL,"xpath//*[@id=""uhf-c-nav""]/ul/li/div/ul/li[3]/ul/li[2]_SEL","//*[@data-m=""{""cT"":""Container"",""id"":""c11c2c1c7c3m1r1a1"",""sN"":11,""aN"":""c2c1c7c3m1r1a1""}""]_RELOC",class namef-sub-menu_SEL,"xpath//*[@id=""uhf-c-nav""]/ul/li/div/ul/li[6]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" global-head-cont "")]_RELOC",class nametheme-light_SEL,"xpath//*[@id=""coreui-universalheader-o7z1gqh""]/header/div_SEL","//*[@data-m=""{""cN"":""footerNavColumn1_cont"",""cT"":""Container"",""id"":""c1c1c1m1r1a3"",""sN"":1,""aN"":""c1c1m1r1a3""}""]/ul/li[3]_RELOC","xpath//*[@id=""uhf-footer""]/nav/div[1]/div[1]/ul/li[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" f-auto-play "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-group "")][1]_RELOC",class namec-group_SEL,"xpath//*[@id=""StoreLocations-HighlightHero-cjfjcfv""]/div/div/div/div[1]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-close-search "")]_RELOC",class namec-action-trigger_SEL,"xpath//*[@id=""coreui-universalheader-o7z1gqh""]/header/div/div/button[2]_SEL","//*[@id=""uhf-shopping-cart""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" shopping-cart-amount "")][1]_RELOC",class nameshopping-cart-amount_SEL,"xpath//*[@id=""uhf-shopping-cart""]/span[1]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-uhff-base "")]_RELOC",class namec-uhff-base_SEL,"xpath//*[@id=""uhf-footer""]/div_SEL","//*[@data-m=""{""cN"":""Jetzt kaufen"",""cT"":""0"",""id"":""n1c7m1r1a2"",""sN"":1,""aN"":""c7m1r1a2"",""assetid"":""SSAGPTSS_148790_75953_160_a"",""tags"":{""ms.linkid"":""SSAGPTSS_148790_75953_160_a""}}""]/div_RELOC","xpath//*[@id=""storelocations-highlighthero-cjfjcfv-item-2""]/div/div_SEL"
0,20220118235526,0,1,0,6,1,0,1,1,1,1,0,1,1,1,0,1,1,3,1,1,1,1,1,0,11,1,0,1,0,35,1,0,6,1,1,1,1,0,1,1,4,1,1,1,1,1,1,1,1,1,1,0,1
1,20220119234805,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,5,1,1,1,1,1,0,13,1,0,0,0,54,1,0,6,1,1,1,1,0,1,1,5,0,1,1,1,1,1,1,1,1,1,0,0
2,20220120235441,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,12,1,0,0,0,47,1,0,6,1,1,1,1,0,1,1,3,0,1,1,1,1,1,1,1,1,1,0,0
3,20220121235400,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,12,1,0,0,0,47,1,0,6,1,1,1,1,0,1,1,3,0,1,1,1,1,1,1,1,1,1,0,0
4,20220122234850,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,8,0,1,1,1,1,1,1,1,1,1,0,0
5,20220123233647,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,13,1,0,0,0,50,1,0,6,1,1,1,1,0,1,1,5,0,1,1,1,1,1,1,1,1,1,0,0
6,20220124235939,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,8,0,1,1,1,1,1,1,1,1,1,0,0
7,20220125235936,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,8,0,1,1,1,1,1,1,1,1,1,0,0
8,20220126235205,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,8,0,1,1,1,1,1,1,1,1,1,0,0
9,20220127225034,0,1,0,6,1,0,1,1,1,1,0,0,0,1,0,1,1,4,1,1,1,1,1,0,12,1,0,0,0,48,1,0,6,1,1,1,1,0,1,1,4,0,1,1,1,1,1,1,1,1,1,0,0
10,20220128221005,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,8,0,1,1,1,1,1,1,1,1,1,0,0
11,20220129235600,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,8,0,1,1,1,1,1,1,1,1,1,0,0
12,20220130234952,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,8,0,1,1,1,1,1,1,1,1,1,0,0
13,20220131234907,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,8,0,1,1,1,1,1,1,1,1,1,0,0
14,20220201235012,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,9,0,1,1,1,1,1,1,1,1,1,0,0
15,20220202223938,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,9,0,1,1,1,1,1,1,1,1,1,0,0
16,20220203230344,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,9,0,1,1,1,1,1,1,1,1,1,0,0
17,20220204232831,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,9,0,1,1,1,1,1,1,1,1,1,0,0
18,20220205234536,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,9,0,1,1,1,1,1,1,1,1,1,0,0
19,20220206233401,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,9,0,1,1,1,1,1,1,1,1,1,0,0
20,20220207235937,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,9,0,1,1,1,1,1,1,1,1,1,0,0
21,20220208235543,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,9,0,1,1,1,1,1,1,1,1,1,0,0
22,20220209233127,0,1,0,6,1,0,1,1,1,1,0,1,0,1,0,1,1,4,1,1,1,1,1,0,14,1,0,0,0,56,1,0,6,1,1,1,1,0,1,2,9,0,1,1,1,1,1,1,1,1,1,0,0
