,Timestamp,"//*[@id=""menu_con""]/*[@style=""display:none""][4]/ol/li[7]_RELOC","xpath//*[@id=""menu_con""]/div[5]/ol/li[7]_SEL","//*[@id=""container""]/ul//*[contains(concat("" "", normalize-space(@class), "" ""), "" article_item"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer_bar"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" fl"")][3]_RELOC",class namefl_SEL,"xpath//*[@id=""container""]/ul/li/div/div[2]/div/div[2]/span_SEL","//*[@id=""container""]/ul//*[contains(concat("" "", normalize-space(@class), "" ""), "" article_item"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" article_title"")]_RELOC",class namearticle_title_SEL,"xpath//*[@id=""container""]/ul/li[29]/div/div[2]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" logreg"")]/ul/li_RELOC",xpath//html/body/div[2]/div/div[2]/div/ul/li_SEL,"//*[@id=""container""]/ul//*[contains(concat("" "", normalize-space(@class), "" ""), "" article_item"")]_RELOC",class namearticle_item_SEL,"xpath//*[@id=""container""]/ul/li[35]/div_SEL","//*[@id=""menu_con""]/*[@style=""display:none""][2]/ol/li[10]_RELOC","xpath//*[@id=""menu_con""]/div[3]/ol/li[10]_SEL","//*[@id=""container""]/ul//*[contains(concat("" "", normalize-space(@class), "" ""), "" article_item"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" article_box"")]_RELOC",class namearticle_box_SEL,"xpath//*[@id=""container""]/ul/li[45]/div/div[2]_SEL","//*[@id=""menu_con""]/*[@style=""display:none""][5]/ol/li_RELOC","xpath//*[@id=""menu_con""]/div[6]/ol/li_SEL","//*[@id=""scroll""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" rightlist_text"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" rlist_con"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" rightlist"")]/ul/li/a/span_RELOC","xpath//*[@id=""scroll""]/div/div[2]/div[2]/ul/li/a/span_SEL","//*[@id=""wm-media-button""]_RELOC",idwm-media-button_SEL,"xpath//*[@id=""wm-media-button""]_SEL","//*[@id=""container""]/ul//*[contains(concat("" "", normalize-space(@class), "" ""), "" article_item"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" article_img"")]_RELOC",class namearticle_img_SEL,"xpath//*[@id=""container""]/ul/li[25]/div/div_SEL","//*[@id=""container""]/ul//*[contains(concat("" "", normalize-space(@class), "" ""), "" article_item"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer_bar"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" fl"")][2]_RELOC","xpath//*[@id=""container""]/ul/li[33]/div/div[2]/div/div[2]/span_SEL","xpath//*[@id=""container""]/ul/li[29]/div_SEL","xpath//*[@id=""container""]/ul/li[16]/div/div[2]/div/div_SEL","xpath//*[@id=""container""]/ul/li[40]/div/div[2]/div/div[2]/span_SEL","xpath//*[@id=""container""]/ul/li[9]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" box"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" rightbox"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" rightlist"")]/ul/li[2]_RELOC",xpath//html/body/div[3]/div/div[3]/div[9]/div[2]/div[2]/ul/li[2]_SEL,"//*[@type=""submit""]_RELOC",class namesearch_btn_SEL,xpath//html/body/div[3]/div/div[3]/div/form/div/input[2]_SEL,"//*[@id=""container""]/ul//*[contains(concat("" "", normalize-space(@class), "" ""), "" article_item"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer_bar"")]_RELOC",class namefooter_bar_SEL,"xpath//*[@id=""container""]/ul/li[20]/div/div[2]/div/div[2]_SEL","xpath//*[@id=""container""]/ul/li[26]/div/div[2]/div/div[2]/span_SEL"
0,20191030005941,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True
1,20191101211144,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True
2,20191102141854,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True
3,20191103232502,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True
4,20191104090747,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True
5,20191105224507,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True
6,20191107093728,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True
7,20191110120728,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True
8,20191111020827,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True
9,20191113051014,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True
10,20191114215953,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True
11,20191116201317,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True
12,20191117203232,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True
13,20191120184054,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True
14,20191124135107,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True
15,20191130165109,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True
16,20191203191941,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True
17,20191208213031,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True
18,20191210192913,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True
19,20191211090337,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True
