,0
0,20220217231421
1,20220312155050
2,20220318210824
3,20220325232417
4,20220529234823
5,20220601224824
6,20220602193752
7,20220603225832
8,20220604173005
9,20220605232044
10,20220606130528
11,20220607111902
12,20220608232548
13,20220609203555
14,20220610234716
15,20220611111309
16,20220612212617
17,20220613225007
18,20220614223449
19,20220615221119
20,20220616222804
21,20220617223530
22,20220618223248
23,20220619084714
24,20220620222126
25,20220621224717
26,20220622133619
27,20220623161249
28,20220624221732
29,20220625220038
30,20220626220621
31,20220627222819
32,20220628222918
33,20220629221424
34,20220630220431
35,20220701192516
36,20220702222800
37,20220703200846
38,20220704202949
39,20220705204046
40,20220706220445
41,20220707223653
42,20220708230034
43,20220709231612
44,20220710233104
45,20220711230023
46,20220712225847
47,20220713082017
48,20220714105506
49,20220715111030
50,20220716082010
51,20220717081000
52,20220718233506
53,20220719132340
54,20220720121932
55,20220721104736
56,20220722234225
57,20220723234930
58,20220724224556
59,20220725232952
60,20220726232458
61,20220727224726
62,20220728223615
63,20220729230216
64,20220730234434
65,20220731235943
66,20220801234232
67,20220802224446
68,20220803233011
69,20220804224209
70,20220805231155
71,20220806232946
72,20220807231433
73,20220808235717
74,20220809232531
75,20220810230445
76,20220811232008
77,20220812233242
78,20220813213938
79,20220814233004
80,20220815231806
81,20220816231109
82,20220817223921
83,20220818235309
84,20220819124434
