,Timestamp,"//*[@data-unit-id=""apple-fitness-plus-winter""]_RELOC",xpath//html/body/main/section[3]/div_SEL,"//*[@data-unit-id=""iphone-switcher""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" module-content"")]_RELOC",class namemodule-content_SEL,xpath//html/body/main/section[3]/div[2]/div_SEL,"//*[@aria-label=""Apple Directory""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section-list"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section-item"")][2]_RELOC",class nameac-gf-directory-column-section-item_SEL,"xpath//*[@id=""ac-globalfooter""]/div/nav/div[2]/div[2]/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gn-searchform-reset-background"")]_RELOC",class nameac-gn-searchform-reset-background_SEL,"xpath//*[@id=""ac-gn-searchform-reset""]/span_SEL","//*[@aria-label=""Apple Directory""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section-anchor-label"")]_RELOC",class nameac-gf-directory-column-section-anchor-label_SEL,"xpath//*[@id=""ac-globalfooter""]/div/nav/div[2]/div[2]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gn-list"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gn-item"")][2]_RELOC",class nameac-gn-item_SEL,"xpath//*[@id=""ac-globalnav""]/div/ul[2]/li[2]_SEL","//*[@data-unit-id=""tv-plus-macbeth""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" unit-copy-wrapper"")]_RELOC",class nameunit-copy-wrapper_SEL,xpath//html/body/main/section[3]/div[7]/div/div/div_SEL,"//*[@data-unit-id=""apple-fitness-plus-winter""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" cta-links"")]_RELOC",class namecta-links_SEL,xpath//html/body/main/section[3]/div/div/div/div/div_SEL,"//*[@aria-label=""Apple Directory""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section-list"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column-section-item"")]_RELOC","xpath//*[@id=""ac-globalfooter""]/div/nav/div[5]/div/ul/li_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gn-bagview-content"")]_RELOC",class nameac-gn-bagview-content_SEL,idac-gn-bagview-content_SEL,"xpath//*[@id=""ac-gn-bagview-content""]_SEL","//*[@id=""ac-gn-bag""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gn-bag-wrapper"")]/*[@data-analytics-title=""bag""][2]_RELOC",class nameac-gn-bag-badge_SEL,"xpath//*[@id=""ac-gn-bag""]/div/span_SEL","//*[@data-unit-id=""apple-fitness-plus-winter""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" unit-copy-wrapper"")]_RELOC",xpath//html/body/main/section[3]/div/div/div/div_SEL,"//*[@data-analytics-section-engagement=""name:promo-apple-card-january""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" module-content"")]_RELOC",xpath//html/body/main/section[3]/div[6]/div_SEL,"//*[@aria-label=""Apple Directory""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column"")]_RELOC",class nameac-gf-directory-column_SEL,"xpath//*[@id=""ac-globalfooter""]/div/nav/div_SEL","//*[@data-unit-id=""watch-series-7""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" unit-wrapper"")]_RELOC",class nameunit-wrapper_SEL,xpath//html/body/main/section[2]/div[3]/div/div_SEL,"//*[@aria-label=""Apple Directory""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-directory-column"")][5]_RELOC","xpath//*[@id=""ac-globalfooter""]/div/nav/div[5]_SEL","//*[@data-unit-id=""iphone-13-pro""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" cta-links"")]_RELOC",xpath//html/body/main/section[2]/div/div/div/div/div_SEL,"//*[@data-unit-id=""tv-plus-macbeth""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" cta-links"")]_RELOC",xpath//html/body/main/section[3]/div[7]/div/div/div/div_SEL,"//*[@data-analytics-section-engagement=""name:promo-apple-card-january""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" unit-copy-wrapper"")]_RELOC",xpath//html/body/main/section[3]/div[6]/div/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ac-gf-footer-shop"")]_RELOC",class nameac-gf-footer-shop_SEL,"xpath//*[@id=""ac-globalfooter""]/div/section[2]/div_SEL"
0,20220119233844,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True
1,20220120232658,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True
2,20220121234911,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True
3,20220122235433,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True
4,20220123232345,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True
5,20220124235153,True,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True
6,20220125235813,True,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True
7,20220126235702,True,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True
8,20220127235911,True,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True
9,20220128232546,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True
10,20220129234847,True,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True
11,20220130235357,True,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True
12,20220131235933,True,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True
13,20220201233855,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True
14,20220202235534,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True
15,20220203235431,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True
16,20220204235703,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True
17,20220205235839,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True
18,20220206235310,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True
19,20220207235909,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True
