,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" mls_models"")]/*[@data-so=""0""][65]//*[contains(concat("" "", normalize-space(@class), "" ""), "" lst_info"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" lsti_box"")][2]_RELOC",class namelsti_box_SEL,"xpath//*[@id=""mls_models""]/div/div[65]/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" mls_models"")]/*[@data-so=""0""][43]//*[contains(concat("" "", normalize-space(@class), "" ""), "" lst_info"")]_RELOC",class namelst_info_SEL,"xpath//*[@id=""mls_models""]/div/div[43]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" hb_drop_down"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" hbd_list"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" hbd_item"")][5]//*[contains(concat("" "", normalize-space(@class), "" ""), "" hbd_item_link"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" hbd_item_inner"")]_RELOC",class namehbd_item_inner_SEL,xpath//html/body/div/div[3]/div/div/div[2]/ul/li[5]/a/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" hb_drop_down"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" hbd_list"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" hbd_item"")][23]_RELOC",class namehbd_item_SEL,xpath//html/body/div/div[3]/div/div/div[2]/ul/li[23]_SEL,"//*[@style=""grid-row: 5""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" lsc_list"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" js-lscl_item"")][15]_RELOC",class namejs-lscl_item_SEL,"xpath//*[@id=""mls_models""]/div/section/div/div/div[15]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" hb_drop_down"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" hbd_list"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" hbd_item"")][24]_RELOC",xpath//html/body/div/div[3]/div/div/div[2]/ul/li[24]_SEL,"//*[@style=""grid-row: 5""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" lsc_list"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" js-lscl_item"")][30]_RELOC","xpath//*[@id=""mls_models""]/div/section/div/div/div[30]_SEL","//*[@data-chathost=""daffodilnicki""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" lst_bage"")][5]_RELOC",class namelst_bage_SEL,"xpath//*[@id=""mls_models""]/div/div[16]/a/span[6]_SEL","//*[@data-chathost=""AnalTaxi""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" lst_bage"")][2]_RELOC","xpath//*[@id=""mls_models""]/div/div[54]/a/span[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" mls_models"")]/*[@data-so=""0""][56]_RELOC",class namels_thumb_SEL,"xpath//*[@id=""mls_models""]/div/div[56]_SEL","//*[@data-chathost=""always-morbid""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" lst_ghost"")]_RELOC",class namelst_ghost_SEL,"xpath//*[@id=""mls_models""]/div/div[11]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ht_quick_search"")]_RELOC",class nameht_quick_search_SEL,"xpath//*[@id=""bc_tags""]/div_SEL","//*[@data-chathost=""CN-yaoyao""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" lst_bage"")][2]_RELOC","xpath//*[@id=""mls_models""]/div/div[5]/a/span[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" mls_models"")]/*[@data-so=""0""][27]//*[contains(concat("" "", normalize-space(@class), "" ""), "" lst_info"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" lsti_box"")][1]_RELOC","xpath//*[@id=""mls_models""]/div/div[27]/div/div_SEL","//*[@data-chathost=""skinnyKris""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" lst_bage"")][4]_RELOC","xpath//*[@id=""mls_models""]/div/div[41]/a/span[5]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" mls_models"")]/*[@data-so=""0""][5]//*[contains(concat("" "", normalize-space(@class), "" ""), "" lst_info"")]_RELOC","xpath//*[@id=""mls_models""]/div/div[5]/div_SEL","//*[@data-chathost=""LucyMorgan1""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" lst_ghost"")]_RELOC","xpath//*[@id=""mls_models""]/div/div[22]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" mls_models"")]/*[@data-so=""0""][47]_RELOC","xpath//*[@id=""mls_models""]/div/div[47]_SEL","//*[@data-type=""female""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" lti_pin_btn"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" ltip_inner"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ltip_item"")][2]//*[contains(concat("" "", normalize-space(@class), "" ""), "" ltip_icon_wrp"")]_RELOC",class nameltip_icon_wrp_SEL,xpath//html/body/div/div[6]/div/div/div/div/div/ul/li[2]/div/div/div[2]/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" hb_drop_down"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" hbd_list"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" hbd_item"")][2]//*[contains(concat("" "", normalize-space(@class), "" ""), "" hbd_item_link"")]//*[contains(concat("" "", normalize-space(@class), "" ""), "" hbd_item_inner"")]_RELOC",xpath//html/body/div/div[3]/div/div/div[2]/ul/li[2]/a/span_SEL
0,20211222025709,1,169,1,1,72,3,1,34,1,1,34,1,1,120,4,1,1,1,4,1,318,1,1,1,1,72,1,1,72,4,1,1,3,1,1,1,2,1,1,1,3,1,5,1,1,1,10,2,1,1
1,20211223170911,1,164,1,1,72,3,1,34,1,1,34,1,1,120,4,1,1,1,4,0,342,1,0,1,1,72,1,0,72,7,1,1,3,0,1,1,2,0,1,1,3,1,6,1,1,1,10,2,1,1
2,20211226204158,1,169,1,1,72,3,1,34,1,1,34,1,1,120,4,1,1,1,4,0,331,1,0,1,1,72,1,1,72,6,1,1,3,1,1,1,3,0,1,1,3,1,4,1,1,1,10,2,1,1
3,20211228233435,1,175,1,1,72,3,1,34,1,1,34,1,1,120,4,1,1,1,4,1,333,1,0,1,1,72,1,0,72,6,1,1,3,0,1,1,2,0,0,1,3,1,5,1,1,1,10,2,1,1
4,20211229213443,1,171,1,1,72,3,1,34,1,1,34,1,1,120,4,1,1,1,4,0,333,1,0,1,1,72,1,0,72,6,1,1,3,0,1,1,2,0,1,1,3,0,6,1,1,1,10,2,1,1
5,20211230070157,1,167,1,1,72,3,1,34,1,1,34,1,1,120,4,1,1,1,4,0,332,1,0,1,1,72,1,0,72,7,1,1,3,1,1,1,3,0,1,1,3,0,3,1,1,1,10,2,1,1
6,20220104022036,1,164,1,1,72,3,1,34,1,1,34,1,1,120,4,1,1,1,4,1,321,1,0,1,1,72,1,0,72,6,1,1,3,1,1,1,3,0,1,1,3,0,4,1,1,1,10,2,1,1
7,20220105223755,1,169,1,1,72,3,1,34,1,1,34,1,1,120,4,1,1,1,4,0,325,1,0,1,1,72,1,1,72,4,1,1,3,0,1,1,2,0,0,1,3,0,5,1,1,1,10,2,1,1
8,20220109135204,1,168,1,1,72,3,1,34,1,1,34,1,1,120,4,1,1,1,4,0,315,0,0,1,1,72,1,0,72,7,1,1,3,1,1,1,3,0,1,1,3,0,6,1,1,1,10,2,1,1
9,20220111062942,1,174,1,1,72,3,1,34,1,1,34,1,1,120,4,1,1,1,4,0,329,0,0,1,1,72,1,1,72,7,1,1,3,0,1,1,3,0,1,1,3,0,5,1,1,1,10,2,1,1
10,20220112050322,1,177,1,1,72,3,1,34,1,1,34,1,1,120,4,1,1,1,4,0,328,0,0,1,1,72,1,0,72,6,1,1,3,0,1,1,3,0,1,1,3,0,6,1,1,1,10,2,1,1
11,20220113235153,1,175,1,1,72,3,1,34,1,1,34,1,1,140,4,1,1,1,4,0,328,0,0,1,1,72,1,1,72,4,1,1,3,0,1,1,3,0,1,1,3,0,7,1,1,1,10,2,1,1
12,20220114233853,1,172,1,1,72,3,1,34,1,1,34,1,1,140,4,1,1,1,4,0,337,1,0,1,1,72,1,0,72,6,1,1,3,1,1,1,3,0,1,1,3,0,6,1,1,1,10,2,1,1
13,20220118180535,1,166,1,1,72,3,1,34,1,1,34,1,1,140,4,1,1,1,4,0,272,1,0,1,1,72,1,0,72,4,1,1,3,0,1,1,2,0,1,1,3,0,5,1,1,1,10,2,1,1
14,20220119143738,1,171,1,1,72,3,1,34,1,1,34,1,1,140,4,1,1,1,4,0,345,0,0,1,1,72,1,0,72,6,1,1,3,0,1,1,2,0,1,1,3,0,5,1,1,1,10,2,1,1
15,20220120110130,1,168,1,1,72,3,1,34,1,1,34,1,1,140,4,1,1,1,4,0,313,1,0,1,1,72,1,0,72,7,1,1,3,0,1,1,3,0,0,1,3,0,5,1,1,1,10,2,1,1
16,20220121024633,1,167,1,1,72,3,1,34,1,1,34,1,1,140,4,1,1,1,4,0,318,0,0,1,1,72,1,0,72,7,1,1,3,0,1,1,2,0,1,1,3,0,6,1,1,1,10,2,1,1
17,20220122204133,1,170,1,1,72,3,1,34,1,1,34,1,1,140,4,1,1,1,4,0,329,0,0,1,1,72,1,0,72,6,1,1,3,0,1,1,2,0,1,1,3,0,6,1,1,1,10,2,1,1
18,20220123214115,1,168,1,1,72,3,1,34,1,1,34,1,1,140,4,1,1,1,4,0,267,0,0,1,1,72,1,0,72,5,1,1,3,0,1,1,2,0,0,1,3,0,4,1,1,1,10,2,1,1
19,20220124210955,1,174,1,1,72,3,1,34,1,1,34,1,1,140,4,1,1,1,4,0,337,0,0,1,1,72,1,0,72,6,1,1,3,0,1,1,2,0,1,1,3,0,6,1,1,1,10,2,1,1
20,20220125085957,1,174,1,1,72,3,1,34,1,1,34,1,1,140,4,1,1,1,4,0,337,0,0,1,1,72,1,0,72,6,1,1,3,0,1,1,2,0,1,1,3,0,6,1,1,1,10,2,1,1
21,20220126200648,1,161,1,1,72,3,1,34,1,1,34,1,1,140,4,1,1,1,4,0,332,1,0,1,1,72,1,0,72,6,1,1,3,0,1,1,2,0,1,1,3,0,6,1,1,1,10,2,1,1
22,20220127192924,1,159,1,1,72,3,1,34,1,1,34,1,1,120,4,1,1,1,4,0,331,0,0,1,1,72,1,0,72,6,1,1,3,0,1,1,2,0,1,1,3,0,5,1,1,1,10,2,1,1
23,20220129063733,1,169,1,1,72,3,1,34,1,1,34,1,1,120,4,1,1,1,4,0,326,0,0,1,1,72,1,0,72,7,1,1,3,0,1,1,2,1,1,1,3,0,6,1,1,1,10,2,1,1
24,20220131204313,1,163,1,1,72,3,1,34,1,1,34,1,1,120,4,1,1,1,4,0,335,1,0,1,1,72,1,0,72,6,1,1,3,0,1,1,3,0,1,1,3,0,6,1,1,1,10,2,1,1
