,Timestamp,"//*[@id=""home""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" seo-content"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" popular-links--list"")][8]_RELOC",xpath//html/body/div[8]/ul/li/ul/li[7]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-card"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-flex-container"")][1]_RELOC",class namebl-flex-container_SEL,"xpath//*[@id=""homepage-home-section-app""]/section[3]/div/div[2]/div_SEL","//*[@style=""margin-left:-7.5px;margin-right:-7.5px;transform:translateX(-0px);""]/*[@style=""padding-left:7.5px;padding-right:7.5px;flex:1 0 50%;max-width:50%;""][1]/*[@style=""height:245px;width:100%;border-radius:8px;""][1]_RELOC",class namebl-shimmer_SEL,"xpath//*[@id=""homepage-home-atf""]/section/div/div/div/div/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-dope-container__head-content"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-flex-container"")][1]/*[@style=""flex:0 1 100%;""][4]//*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-text"")]_RELOC",class namebl-text_SEL,"xpath//*[@id=""homepage-home-section-app""]/section/div/div/div/div/div/div/div[4]/a/div[2]/p_SEL","//*[@id=""home""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" seo-content"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" popular-links--list"")][4]_RELOC",xpath//html/body/div[4]/ul/li/ul/li[10]_SEL,"//*[@id=""vm__white-header-dweb""]_RELOC",idvm__white-header-dweb_SEL,"xpath//*[@id=""vm__white-header-dweb""]_SEL","//*[@id=""homepage-home-section-app""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-section"")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-container"")][1]_RELOC",class namebl-container_SEL,"xpath//*[@id=""homepage-home-section-app""]/section[2]/div_SEL","//*[@data-testid=""shimmer-container""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-carousel__wrapper"")]_RELOC",class namebl-carousel__wrapper_SEL,"xpath//*[@id=""homepage-home-atf""]/section/div/div/div_SEL","//*[@id=""popular-search""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-container"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" keyword__item"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-selection-block"")][1]_RELOC",class namebl-selection-block_SEL,"xpath//*[@id=""popular-search""]/div/a/div_SEL","//*[@id=""home""]_RELOC",idhome_SEL,"xpath//*[@id=""home""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-footer"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-footer__head"")][1]//*[contains(concat("" "", normalize-space(@class), "" ""), "" u-reset-list"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-socmed-follow__item"")][4]_RELOC",class namec-socmed-follow__item_SEL,xpath//html/body/div[4]/div/div/div/div[2]/ul/li[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-section-header__list"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-section-header__list-item"")][2]_RELOC",class namebl-section-header__list-item_SEL,"xpath//*[@id=""homepage-home-section-app""]/section[3]/div/div/div/div[2]/div/div[2]_SEL","//*[@style=""margin-left:;margin-right:;transform:translateX(-0px);""]/*[@style=""padding-left:;padding-right:;flex:1 0 20%;max-width:20%;""][5]//*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-highlighted-brand__body-thumb"")]_RELOC",class namebl-highlighted-brand__body-thumb_SEL,"xpath//*[@id=""homepage-home-section-app""]/section[3]/div/div[2]/div/div[2]/div/div/div/div[5]/a/div[2]/div/div_SEL","//*[@id=""home""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" seo-content"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" popular-links--list"")][1]_RELOC",xpath//html/body/div/ul/li/ul/li[9]_SEL,"//*[@id=""bukalapak-advantages""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" pl-20"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" pl-8"")][1]_RELOC",class namepl-8_SEL,"xpath//*[@id=""bukalapak-advantages""]/div/ul/li_SEL",class namepopular-links--list_SEL,xpath//html/body/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-image-group"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-flex-container"")][1]/*[@style=""flex:0 1 100%;max-width:16.666666666666668%;""][4]//*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-image-group__head"")]_RELOC",class namebl-image-group__head_SEL,"xpath//*[@id=""homepage-home-section-app""]/section[2]/div/div/div/div[4]/a/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-footer"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-footer__content"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" o-container"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" o-layout"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" o-layout__item"")][3]_RELOC",class nameo-layout__item_SEL,xpath//html/body/div[4]/div[2]/div/div/div[4]_SEL,"//*[@id=""home""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" seo-content"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" popular-links--list"")][9]_RELOC",xpath//html/body/div[9]/ul/li/ul/li[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-dope-container__head-content"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-flex-container"")][1]/*[@style=""flex:0 1 100%;""][5]//*[contains(concat("" "", normalize-space(@class), "" ""), "" bl-text"")]_RELOC","xpath//*[@id=""homepage-home-section-app""]/section/div/div/div/div/div/div/div[5]/a/div[2]/p_SEL"
0,20211012210416,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
1,20211013075828,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
2,20211014084820,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
3,20211015142006,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
4,20211016215510,False,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,False,False,True,True,False,True,True,False,True,False,True
5,20211017143717,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
6,20211018022626,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
7,20211019220612,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
8,20211020152213,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
9,20211021091727,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
10,20211024122821,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
11,20211026224449,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
12,20211027215043,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
13,20211028113425,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
14,20211029204858,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
15,20211030075854,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
16,20211104213732,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
17,20211110172236,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
18,20211111130910,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
19,20211117225451,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
20,20211118190156,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
21,20211122091615,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
22,20211124092549,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
23,20211125195941,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
24,20211126121550,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True
