,timeRELOC,timeSEL
0,853530,0
1,94187,0
2,528567,0
3,581764,0
4,517680,0
5,147321,0
6,226683,0
7,182840,0
8,217458,0
9,148210,0
10,796071,0
11,46765,0
12,99078,0
13,423538,1000
14,869954,0
15,738069,0
16,543840,0
17,725494,0
18,27680,0
19,438891,0
,timeRELOC,timeSEL
0,569952,0
1,989231,0
2,117445,0
3,686139,1007
4,771207,0
5,943543,0
6,27598,0
7,204211,0
8,77905,0
9,329542,0
10,167543,0
11,143031,0
12,147159,0
13,79657,0
14,42907,0
15,735102,0
16,363447,0
17,123991,0
18,331941,0
19,646591,0
,timeRELOC,timeSEL
0,683332,0
1,304818,0
2,477470,0
3,662725,0
4,82226,0
5,229004,0
6,5769,0
7,850766,0
8,520254,0
9,754122,0
10,790121,0
11,193908,0
12,206732,0
13,716115,0
14,95282,0
15,378944,0
16,885676,1002
17,335712,0
18,909575,0
19,681698,0
,timeRELOC,timeSEL
0,802207,0
1,694969,0
2,16679,816
3,883596,0
4,605527,0
5,695537,0
6,903660,0
7,519590,996
8,218935,0
9,581547,0
10,240001,0
11,279154,0
12,692699,0
13,489277,0
14,164122,0
15,101966,0
16,10091,0
17,504986,0
18,333215,0
19,139487,0
,timeRELOC,timeSEL
0,673640,0
1,263723,0
2,794192,0
3,271413,0
4,392224,992
5,488188,0
6,889805,0
7,853013,0
8,370225,0
9,350978,0
10,906779,0
11,851788,0
12,573798,0
13,371406,0
14,825710,0
15,583782,0
16,173728,0
17,182050,0
18,40820,0
19,815818,0
