,timeRELOC,timeSEL
0,667617,0
1,633270,0
2,689810,0
3,303395,0
4,349169,1017
5,60676,0
6,653632,0
7,508736,982
8,531161,0
9,899699,0
10,40791,0
11,57763,0
12,745272,999
13,408203,0
14,648462,0
15,950042,0
16,894374,0
17,638997,0
18,88623,0
19,915829,0
,timeRELOC,timeSEL
0,380952,0
1,521253,0
2,151940,0
3,15094,0
4,156006,0
5,171249,0
6,464104,0
7,24188,0
8,272942,0
9,492363,0
10,250256,0
11,234928,0
12,306146,0
13,30527,0
14,139226,0
15,274066,0
16,450511,0
17,17940,1000
18,440118,0
19,355164,0
