,Timestamp,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListEpisodios"")][1]/li[7]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Capi"")][1]_RELOC",class nameCapi_SEL,xpath//html/body/div[3]/div/div/div/main/ul/li[7]/a/span[2]_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListEpisodios"")][1]/li[4]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul/li[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListSdbr"")]/li[13]_RELOC",xpath//html/body/div[3]/div/div/div/aside/div/div[2]/ul/li[13]_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes"")][2]/li[16]/article[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description"")][1]_RELOC",class nameDescription_SEL,xpath//html/body/div[3]/div/div/div/main/ul[2]/li[16]/article/div_SEL,"//*[@action=""/web/20210923001636/http://animeflv.net/auth/sign_in""]/a[1]/span[1]_RELOC",class namefa-facebook_SEL,xpath//html/body/div[3]/header/div/div/div/div[2]/nav/div[2]/div/form/a/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListSdbr"")]/li[21]_RELOC",xpath//html/body/div[3]/div/div/div/aside/div/div[2]/ul/li[21]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListSdbr"")]/li[28]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Type"")][1]_RELOC",class nameType_SEL,xpath//html/body/div[3]/div/div/div/aside/div/div[2]/ul/li[28]/a/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListSdbr"")]/li[15]_RELOC",xpath//html/body/div[3]/div/div/div/aside/div/div[2]/ul/li[15]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListSdbr"")]/li[19]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Type"")][1]_RELOC",xpath//html/body/div[3]/div/div/div/aside/div/div[2]/ul/li[19]/a/span_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListEpisodios"")][1]/li[2]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Capi"")][1]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul/li[2]/a/span[2]_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes"")][2]/li[11]/article[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Title"")][1]_RELOC",class nameTitle_SEL,xpath//html/body/div[3]/div/div/div/main/ul[2]/li[11]/article/div/div_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes"")][2]/li[23]/article[1]/a[1]/span[1]/span[1]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[23]/article/a/span/span_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListEpisodios"")][1]/li[1]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul/li_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes"")][2]/li[19]/article[1]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Estreno"")][1]_RELOC",class nameEstreno_SEL,xpath//html/body/div[3]/div/div/div/main/ul[2]/li[19]/article/a/span_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes"")][2]/li[12]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[12]_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes"")][2]/li[3]/article[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description"")][1]/p[2]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[3]/article/div/p[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" Search"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" DpdwCnt"")][1]_RELOC",class nameDpdwCnt_SEL,xpath//html/body/div[3]/header/div/div/div/div[2]/nav/div/div_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListEpisodios"")][1]/li[20]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Capi"")][1]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul/li[20]/a/span[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" Search"")]_RELOC",class nameSearch_SEL,xpath//html/body/div[3]/header/div/div/div/div[2]/nav/div_SEL,"//main[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes"")][2]/li[14]/article[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description"")][1]/p[1]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[14]/article/div/p_SEL
0,20210923001636,1,20,1,1,2,1,1,0,24,1,1,4,1,1,1,1,80,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,15,1,0,1,0,1,1,2,2,1,1,1,1,2,0,2
1,20210924215413,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,77,1,1,1,1,1,1,1,0,71,1,0,0,1,44,0,16,0,0,1,0,1,1,2,2,1,1,1,1,2,0,2
2,20210925191007,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,68,1,1,1,1,1,1,1,0,71,1,0,0,1,44,0,13,0,0,1,0,1,1,2,2,1,1,1,1,2,0,2
3,20210926051944,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,67,1,1,1,1,1,1,1,0,71,1,0,0,1,44,0,13,0,0,1,0,1,1,2,2,1,1,1,1,2,0,2
4,20210927110325,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,0,66,0,1,1,1,1,1,1,0,71,1,0,0,1,44,0,13,0,0,1,0,1,1,2,2,1,1,1,1,2,0,2
5,20210930082940,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,0,62,0,1,1,1,1,1,1,0,71,1,0,0,1,44,0,9,0,0,1,0,1,1,2,2,1,1,1,1,2,0,2
6,20211003205646,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,66,1,1,1,1,1,1,1,0,71,1,0,0,1,44,0,17,0,0,1,0,1,1,2,2,1,1,1,1,2,0,2
7,20211004221523,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,69,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,20,1,0,1,0,1,1,2,2,1,1,1,1,2,0,2
8,20211005005249,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,69,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,20,1,0,1,0,1,1,2,2,1,1,1,1,2,0,2
9,20211006040808,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,70,1,1,1,1,1,1,1,0,71,1,0,0,1,44,0,21,0,0,1,0,1,1,2,2,1,1,1,1,2,0,2
10,20211007022330,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,81,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,22,0,0,1,0,1,1,2,2,1,1,1,1,2,0,2
11,20211008102552,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,85,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,23,1,0,1,0,1,1,2,2,1,1,1,1,2,0,2
12,20211009175036,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,91,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,24,1,0,1,0,1,1,2,2,1,1,1,1,2,0,2
13,20211010232859,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,95,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,24,1,0,1,0,1,1,2,2,1,1,1,1,2,0,2
14,20211011113514,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,95,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,24,1,0,1,0,1,1,2,2,1,1,1,1,2,0,2
15,20211012214712,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,98,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,24,1,0,1,0,1,1,2,2,1,1,1,1,2,0,2
16,20211014071816,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,98,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,24,1,0,1,0,1,1,2,2,1,1,1,1,2,0,2
17,20211017193456,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,99,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,24,1,0,1,0,1,1,2,2,1,1,1,1,2,0,2
18,20211019024927,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,98,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,24,1,0,1,0,1,1,2,2,1,1,1,1,2,0,2
19,20211023181625,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,96,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,24,1,0,1,0,1,1,2,2,1,1,1,1,2,0,2
20,20211026034047,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,96,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,24,1,0,1,0,1,1,2,2,1,1,1,1,2,0,2
21,20211027232824,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,96,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,24,1,0,1,0,1,1,2,2,1,1,1,1,2,0,2
22,20211102055242,1,20,1,1,2,1,1,0,24,1,0,4,1,1,1,1,96,1,1,1,1,1,1,1,0,71,1,0,1,1,44,0,24,1,0,1,0,1,1,2,2,1,1,1,1,2,0,2
