,Timestamp,"//*[@style=""background-image: url('http://wayback.archive-it.org/all/20220228073033im_/https://usa.inquirer.net/wp-content/blogs.dir/62/files/2022/02/The-Greater-Fool-Theory-Everything-to-Know-022522-550x275.jpg');""]//*[@id=""buzz-info""]_RELOC",idbuzz-info_SEL,"xpath//*[@id=""buzz-info""]_SEL","//*[@id=""sm_follow_us""]_RELOC",idsm_follow_us_SEL,"xpath//*[@id=""sm_follow_us""]_SEL","//*[@id=""subchannels""]/ul/li[6]_RELOC","xpath//*[@id=""subchannels""]/ul/li[6]_SEL",//footer/section/ul/li[4]/ul/li[10]_RELOC,xpath//html/body/footer/section/ul/li[4]/ul/li[10]_SEL,"//*[@id=""track_radyo""]_RELOC",idtrack_radyo_SEL,class namechbox_SEL,"xpath//*[@id=""track_radyo""]_SEL","//*[@id=""track_inqpop""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" items "")][1]_RELOC",class nameitems_SEL,"xpath//*[@id=""track_inqpop""]/div[3]_SEL","//*[@style=""clear:both;""]_RELOC",xpath//html/body/footer/div_SEL,"//*[@id=""track_fb_report""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" acc_ch "")][1]_RELOC",class nameacc_ch_SEL,"xpath//*[@id=""track_fb_report""]/div[7]_SEL","//*[@id=""sm_bullets""]_RELOC",idsm_bullets_SEL,"xpath//*[@id=""sm_bullets""]_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://entertainment.inquirer.net/files/2022/02/2022-02-20T164857Z_1_LYNXMPEI1J095_RTROPTP_4_FILM-UNCHARTED-1536x1024.jpg);""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-l-overlay "")][1]/a/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-l-head "")][1]_RELOC",class nameflx-l-head_SEL,"xpath//*[@id=""flx-r-ep""]/div[5]/div/a/div[2]_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://entertainment.inquirer.net/files/2022/02/09551274-58BC-4999-B58E-CD2CCEA8B230.jpeg);""]_RELOC",class nameflx-leftbox_SEL,"xpath//*[@id=""flx-gl-left""]/div[5]_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://newsinfo.inquirer.net/files/2021/12/edsa12082021-768x512.png);""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-l-overlay "")][1]/a/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-m-cat "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" newsinfo_clr "")][1]_RELOC",class namenewsinfo_clr_SEL,"xpath//*[@id=""flx-gl-left""]/div[2]/div/a/div[1]/span_SEL","//*[@id=""fview-parent""]/*[@id=""op-columns-box""][2]//*[@id=""op-byline""]_RELOC",idop-byline_SEL,"xpath//*[@id=""op-byline""]_SEL","//*[@id=""track_sports""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" clrbar "")][1]_RELOC",class nameclrbar_SEL,"xpath//*[@id=""track_sports""]/div[1]_SEL","//*[@id=""fv-ed-box""]_RELOC",idfv-ed-box_SEL,"xpath//*[@id=""fv-ed-box""]_SEL","//*[@id=""track_fb_report""]/div[2]_RELOC","xpath//*[@id=""track_fb_report""]/div[2]_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://newsinfo.inquirer.net/files/2022/02/isko-willie.png);""]_RELOC","xpath//*[@id=""flx-gl-left""]/div[1]_SEL","//*[@id=""blogo""]_RELOC",idblogo_SEL,"xpath//*[@id=""blogo""]_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://newsinfo.inquirer.net/files/2022/02/WhatsApp-Image-2022-02-28-at-2.09.17-PM.jpeg);""]_RELOC","xpath//*[@id=""flx-gl-left""]/div[4]_SEL","//*[@style=""background-image: url(http://wayback.archive-it.org/all/20220228073033im_/https://newsinfo.inquirer.net/files/2022/02/000_324486H-768x512.jpg);""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-m-overlay "")][1]/a/*[contains(concat("" "", normalize-space(@class), "" ""), "" flx-m-cat "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" newsinfo_clr "")][1]_RELOC","xpath//*[@id=""flx-gl-mid""]/div[3]/div/a/div[1]/span_SEL"
0,20220302232839,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,12,1,0,13,1,0,12,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
1,20220303225625,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,12,1,0,13,1,0,11,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
2,20220304234017,0,4,4,1,1,1,1,1,1,1,1,1,16,1,1,30,1,1,1,0,15,0,1,1,1,0,12,1,0,13,1,0,11,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
3,20220306232832,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,12,1,0,13,1,0,11,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
4,20220307235340,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,12,1,0,13,1,0,13,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
5,20220309234011,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,1,16,1,1,1,1,0,13,1,0,14,1,0,15,1,1,2,2,1,2,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
6,20220310232905,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,12,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
7,20220311145138,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,1,16,1,1,1,1,0,13,1,0,14,1,0,12,1,1,2,2,1,2,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
8,20220312232954,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,12,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
9,20220314154509,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,14,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
10,20220317214022,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,10,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
11,20220318215744,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,7,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
12,20220319232319,0,4,4,1,1,1,1,1,1,1,1,1,16,1,1,24,1,1,1,0,15,0,1,1,1,0,13,1,0,14,1,0,12,1,1,2,2,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1
13,20220320235409,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,1,16,1,1,1,1,0,13,1,0,14,1,0,14,1,1,2,2,1,2,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
14,20220322235128,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,14,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
15,20220325232822,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,1,16,1,1,1,1,0,13,1,0,14,1,0,13,1,1,2,2,1,2,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
16,20220326232819,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,14,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
17,20220328232815,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,1,16,1,1,1,1,0,13,1,0,14,1,0,13,1,1,2,2,1,2,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
18,20220401233106,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,11,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
19,20220402232922,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,14,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
20,20220404233341,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,1,16,1,1,1,1,0,13,1,0,14,1,0,15,1,1,2,2,1,2,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
21,20220405233519,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,1,16,1,1,1,1,0,13,1,0,14,1,0,15,1,1,2,2,1,2,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
22,20220406235359,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,1,16,1,1,1,1,0,13,1,0,14,1,0,15,1,1,2,2,1,2,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
23,20220410235903,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,17,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
24,20220411233348,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,14,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
25,20220412232819,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,1,16,1,1,1,1,0,13,1,0,14,1,0,15,1,1,2,2,1,2,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
26,20220413233353,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,14,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
27,20220414232844,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,10,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
28,20220417232812,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,1,16,1,1,1,1,0,13,1,0,14,1,0,8,1,1,2,2,1,2,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
29,20220418232815,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,15,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
30,20220420180540,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,13,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
31,20220421230841,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,14,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
32,20220423232823,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,13,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
33,20220424232850,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,8,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
34,20220425232811,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,13,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
35,20220426232831,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,1,16,1,1,1,1,0,13,1,0,14,1,0,15,1,1,2,2,1,2,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
36,20220427232948,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,1,16,1,1,1,1,0,13,1,0,14,1,0,17,1,1,2,2,1,2,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
37,20220428233515,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,0,16,0,1,1,1,0,13,1,0,14,1,0,14,1,1,2,2,1,2,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
38,20220502233108,0,4,4,1,1,1,1,1,1,1,1,1,17,1,1,48,1,1,1,1,16,1,1,1,1,0,13,1,0,14,1,0,16,1,1,2,2,1,2,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
