,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" all-categories "")]/ul[1]/li[39]_RELOC",xpath//html/body/div/div/main/aside/div/div[2]/ul/li[39]_SEL,"//*[@data-video-id=""21804846""]/div[1]/div[1]/div[2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" metric-text "")][1]_RELOC",class namemetric-text_SEL,xpath//html/body/div/div/main/article/div[5]/div[3]/div[30]/div/div/div[2]/span_SEL,"//*[@data-video-id=""19446679""]/div[1]/div[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" metric-text "")][1]_RELOC",xpath//html/body/div/div/main/article/div[5]/div[3]/div[23]/div/div/div/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" all-categories "")]/ul[1]/li[33]_RELOC",xpath//html/body/div/div/main/aside/div/div[2]/ul/li[33]_SEL,"//*[@data-video-id=""20188570""]/div[1]/div[1]_RELOC",class namevideo-thumb-info__metrics_SEL,xpath//html/body/div/div/main/article/div[5]/div[3]/div[19]/div/div_SEL,"//*[@data-video-id=""18753222""]/div[1]/div[1]_RELOC",xpath//html/body/div/div/main/article/div[5]/div[3]/div[15]/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" section-container "")]_RELOC",class namewidth-wrap_SEL,xpath//html/body/div/header/div/div_SEL,"//*[@data-sprite=""https://thumb-v1.xhcdn.com/a/bmPLdcovs3CgLD-359nzJw/020/168/711/240x135.s.jpg""]/div[1]/span[1]_RELOC",xpath//html/body/div/div/main/article/div[5]/div[3]/div[28]/a/div/span_SEL,"//*[@data-video-id=""21903933""]/div[1]/div[1]/div[1]_RELOC",class namevideo-thumb-info__metric-container_SEL,xpath//html/body/div/div/main/article/div[5]/div[3]/div[2]/div/div/div_SEL,"//*[@data-id=""80648""]/a[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" item-name "")][1]_RELOC",class nameitem-name_SEL,xpath//html/body/div/div/main/article/div[6]/div/div/ul/li[20]/a/span_SEL,"//*[@data-subscribers=""39877""]_RELOC",class namesub-button_SEL,xpath//html/body/div/div/main/article/div[8]/div[2]/ul/li[4]/div[2]/button_SEL,"//*[@data-sprite=""https://thumb-v4.xhcdn.com/a/xJaVseZRg8T4c5quffxgSA/021/804/404/526x298.s.webp""]/span[1]_RELOC",class namethumb-image-container__badge_SEL,xpath//html/body/div/div/main/article/div[5]/div[3]/div[4]/a/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" categories-list "")]_RELOC",class namecategories-list_SEL,xpath//html/body/div/div/main/aside/div_SEL,"//*[@data-video-id=""21921887""]_RELOC",class namethumb-list__item_SEL,xpath//html/body/div/div/main/article/div[5]/div[3]/div[25]_SEL,"//*[@data-video-id=""9218521""]/div[1]/div[1]/div[2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" metric-text "")][1]_RELOC",xpath//html/body/div/div/main/article/div[5]/div[3]/div[9]/div/div/div[2]/span_SEL,"//*[@data-video-id=""21904001""]/div[1]/div[1]/div[2]_RELOC",xpath//html/body/div/div/main/article/div[5]/div[3]/div[7]/div/div/div[2]_SEL,"//*[@data-video-id=""21906501""]_RELOC",xpath//html/body/div/div/main/article/div[5]/div[3]/div[21]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" counter-subscription-nav "")]_RELOC",class namenav-item_SEL,xpath//html/body/div/header/nav/div/ul/li[2]_SEL,"//*[@data-block=""related-pornstar""]/div[2]/ul[1]/li[1]/div[1]_RELOC",class namepreview_SEL,xpath//html/body/div/div/main/article/div[8]/div[2]/ul/li/div_SEL,"//*[@data-video-id=""19446679""]/div[1]_RELOC",class namevideo-thumb-info_SEL,xpath//html/body/div/div/main/article/div[5]/div[3]/div[23]/div_SEL
0,20220217120629,1,1,1,94,1,1,2,1,1,1,47,1,1,1,1,1,1,1,1,1,113,2,1,20,1,1,20,1,1,26,1,1,1,1,1,141,1,1,1,1,1,1,1,1,1,2,1,16,16,1,48,1
1,20220218170242,1,1,0,94,1,0,2,1,1,0,47,1,0,1,1,1,1,0,1,0,113,2,0,20,1,0,20,1,0,31,1,1,1,1,0,141,1,0,1,0,1,0,1,1,1,2,1,16,16,0,48,1
2,20220219165912,1,1,0,94,1,0,2,1,1,0,47,1,0,1,1,1,1,0,1,0,113,2,1,20,1,0,20,1,0,29,1,1,1,1,0,141,1,0,1,0,1,0,1,1,1,2,1,16,16,0,48,1
3,20220220142900,1,1,0,94,1,0,2,1,1,0,47,1,0,1,1,1,1,0,1,0,113,2,1,20,1,0,20,1,0,22,1,1,1,1,0,141,1,0,1,0,1,0,1,1,1,2,1,16,16,0,48,1
4,20220221232355,1,1,0,94,1,0,2,1,1,0,47,1,0,1,1,1,1,0,1,0,113,2,1,20,1,0,20,1,0,26,0,1,1,1,1,141,1,0,1,0,1,0,1,1,1,2,1,16,16,0,48,1
5,20220222164430,1,1,0,94,1,0,2,1,1,0,47,1,0,1,1,1,1,0,1,0,113,2,0,20,1,0,20,1,0,28,1,1,1,1,0,141,1,0,1,0,1,0,1,1,1,2,1,16,16,0,48,1
6,20220223153157,1,1,0,94,1,0,2,1,1,0,47,1,1,1,1,1,1,0,1,0,113,2,1,20,1,0,20,1,0,26,0,1,1,1,0,141,1,0,1,0,1,0,1,1,1,2,1,16,16,0,48,1
7,20220224194727,1,1,0,94,1,0,2,1,1,0,47,1,0,1,1,1,1,0,1,0,113,2,1,20,1,0,20,1,1,26,0,1,1,1,1,141,1,0,1,0,1,0,1,1,1,2,1,16,16,0,48,1
8,20220225104529,1,1,0,94,1,0,2,1,1,0,47,1,0,1,1,1,1,0,1,0,113,2,1,20,1,0,28,1,0,30,1,1,1,1,0,141,1,0,1,0,1,0,1,1,1,2,1,24,16,0,48,1
9,20220226151221,1,1,0,94,1,0,2,1,1,0,47,1,0,1,1,1,1,0,1,0,113,2,1,20,1,0,27,1,0,28,1,1,1,1,0,141,1,0,1,0,1,0,1,1,1,2,1,24,16,0,48,1
10,20220227201311,1,1,0,94,1,0,2,1,1,0,47,1,0,1,1,1,1,0,1,0,113,2,0,20,1,0,27,1,0,38,1,1,1,1,0,141,1,0,1,0,1,0,1,1,1,2,1,24,16,0,48,1
11,20220228234457,1,1,0,94,1,0,2,1,1,0,47,1,1,1,1,1,1,0,1,0,113,2,1,20,1,0,27,1,0,25,1,1,1,1,0,141,1,0,1,0,1,0,1,1,1,2,1,24,16,0,48,1
12,20220301223152,1,1,0,94,1,0,2,1,1,0,47,1,0,1,1,1,1,0,1,0,113,2,1,20,1,0,27,1,0,24,1,1,1,1,0,141,1,0,1,0,1,0,1,1,1,2,1,24,16,0,48,1
13,20220302212906,1,1,0,94,1,0,2,1,1,0,47,1,0,1,1,1,1,0,1,0,113,2,0,20,1,0,27,1,0,28,0,1,1,1,0,141,1,0,1,0,1,0,1,1,1,2,1,24,16,0,48,1
14,20220303214651,1,1,0,94,1,0,2,1,1,0,47,1,0,1,1,1,1,0,1,0,113,2,0,20,1,0,27,1,0,28,0,1,1,1,0,141,1,0,1,0,1,0,1,1,1,2,1,24,16,0,48,1
15,20220305173545,1,1,0,94,1,0,2,1,1,0,47,1,0,1,1,1,1,0,1,0,113,2,0,20,1,0,27,1,0,37,1,1,1,1,0,141,1,0,1,0,1,0,1,1,1,2,1,24,16,0,48,1
