,0
0,20220305214320
1,20220314215209
2,20220326151214
3,20220331214658
4,20220404212805
5,20220418103353
6,20220511053712
7,20220512030251
8,20220513035904
9,20220514035425
10,20220515213330
11,20220517052515
12,20220518060447
13,20220520110958
14,20220522152523
15,20220523084557
16,20220525122614
17,20220526125158
18,20220529230821
19,20220530180742
20,20220602202330
21,20220611210134
22,20220615225339
23,20220617125815
24,20220619235751
25,20220620234523
26,20220621155218
27,20220624171433
28,20220625175422
29,20220704213846
30,20220705215346
31,20220706222311
32,20220707225524
33,20220709234607
34,20220710235952
35,20220712194542
36,20220713201335
37,20220714222707
38,20220715050204
39,20220717234829
40,20220718071410
41,20220719230938
42,20220720182745
43,20220722201907
44,20220723125149
45,20220724230351
46,20220725170146
47,20220728183149
48,20220730194103
49,20220801203253
50,20220802205724
51,20220806073640
52,20220808202029
53,20220809190209
54,20220810220801
55,20220811152632
56,20220812202506
57,20220813201157
58,20220815221848
59,20220817202819
60,20220818081422
61,20220819102927
62,20220820163857
63,20220821224738
64,20220823143628
65,20220827200718
66,20220901162041
67,20220902205159
68,20220907100459
69,20220911233648
70,20220912132928
71,20220913134250
72,20220915123036
73,20220918223551
74,20220921141603
