,0
0,20200627171113
1,20200628171115
2,20200629171115
3,20200630171111
4,20200701171115
5,20200702171111
6,20200703171029
7,20200704171114
8,20200705171029
9,20200706171122
10,20200707171114
11,20200708171111
12,20200709171115
13,20200710171113
14,20200711171114
15,20200712171030
16,20200713171113
17,20200714171114
18,20200715171119
19,20200716171118
20,20200717171030
21,20200718171116
22,20200719171112
23,20200720171031
24,20200721171030
25,20200722171030
26,20200723171030
27,20200724171030
28,20200725171115
29,20200726171030
30,20200727171110
31,20200728171030
32,20200729171121
33,20200730171115
34,20200731171030
35,20200801171112
36,20200802171125
37,20200803171030
38,20200804171111
39,20200805182657
40,20200807170721
41,20200808170142
42,20200809170321
43,20200810170253
44,20200811170241
45,20200812170307
46,20200813170310
47,20200814170301
48,20200815170354
49,20200816170451
50,20200817170215
51,20200818170619
52,20200819170427
53,20200820170525
54,20200821170359
55,20200822170501
56,20200823170456
57,20200824170513
58,20200825170506
59,20200826170518
60,20200827170445
61,20200828170712
62,20200829170141
63,20200830170612
64,20200831170623
65,20200901170559
66,20200902170628
67,20200903170644
68,20200904170643
69,20200905170825
70,20200906170833
71,20200907170859
72,20200908170808
73,20200909170735
74,20200910171006
75,20200911170908
76,20200912171138
77,20200913170838
78,20200914170817
79,20200915170955
80,20200916171117
81,20200917171234
82,20200918171244
83,20200919171434
84,20200920171530
85,20200921171204
86,20200922171117
87,20200923171056
88,20200924171216
89,20200925171254
90,20200926171135
91,20200927171240
92,20200928171105
93,20200929171348
94,20200930171311
95,20201001183703
96,20201004042245
97,20201006181704
98,20201007181817
99,20201008182149
100,20201009181741
101,20201010181325
102,20201011172311
103,20201012173355
104,20201013182840
105,20201014182413
106,20201015182309
107,20201016172634
108,20201017182100
109,20201018181834
110,20201019172544
111,20201020182509
112,20201021182413
113,20201022182634
114,20201023172155
115,20201024184106
116,20201025194514
117,20201026192712
118,20201027182400
119,20201028193732
120,20201029192547
121,20201030192230
122,20201031190632
123,20201101184349
124,20201102182047
125,20201103182122
126,20201104191109
127,20201105185620
128,20201106182444
129,20201107185055
130,20201108182022
131,20201109185356
132,20201110183322
133,20201111191545
134,20201112191159
135,20201113184750
136,20201114190032
137,20201115190613
138,20201116182001
139,20201117190911
140,20201118191134
141,20201119190136
142,20201120190905
143,20201121184009
144,20201122185800
145,20201123192959
146,20201124190509
147,20201125185525
148,20201126185636
149,20201127185950
150,20201128181706
151,20201129185646
152,20201130190114
153,20201201185233
154,20201202192537
155,20201203190004
156,20201204191822
157,20201205190248
158,20201206181704
159,20201207192255
160,20201208182615
161,20201209191159
162,20201210185950
163,20201211185940
164,20201212183903
165,20201213191820
166,20201214191425
167,20201215184708
168,20201216184527
169,20201217193231
170,20201218185054
171,20201219183132
172,20201220191233
173,20201221184410
174,20201222192001
175,20201223191804
176,20201224185826
177,20201225183646
178,20201226190602
179,20201227184658
180,20201228185549
181,20201229190532
182,20201230190410
183,20201231191428
184,20210107054828
185,20210112080454
186,20210204061914
187,20210302154524
188,20210303193628
189,20210304114922
190,20210311031510
191,20210312085545
192,20210317200201
193,20210324185102
194,20210628064954
195,20210909102106
196,20210919204515
197,20211227091823
198,20220525095909
