,Timestamp,//body[1]/div[3]/div[1]_RELOC,class namemodal_SEL,xpath//html/body/div[3]/div_SEL,"//*[@id=""id-854f85f2b7699cc3ffe92dfd99eb0f6c""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aem-Grid"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" text"")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" cmp-text"")][1]/p[1]_RELOC","xpath//*[@id=""id-854f85f2b7699cc3ffe92dfd99eb0f6c""]/div/div[2]/div/p_SEL","//*[@id=""id-8d5c3e28ad575e0e9a0c32b97a08a639""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dexter-FlexContainer-Items"")][1]_RELOC",class namedexter-FlexContainer-Items_SEL,"xpath//*[@id=""id-8d5c3e28ad575e0e9a0c32b97a08a639""]/div_SEL","//*[@id=""edu-terms-modalDescription""]_RELOC",idedu-terms-modalDescription_SEL,class namehide-all_SEL,"xpath//*[@id=""edu-terms-modalDescription""]_SEL","//*[@id=""id-80382d12a07c771d607e962421cc16da""]//*[contains(concat("" "", normalize-space(@class), "" ""), "" aem-Grid"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" text"")][1]_RELOC",class nametext_SEL,"xpath//*[@id=""id-80382d12a07c771d607e962421cc16da""]/div/div_SEL","//*[@id=""id-854f85f2b7699cc3ffe92dfd99eb0f6c""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aem-Grid"")][1]_RELOC",class nameaem-Grid_SEL,"xpath//*[@id=""id-854f85f2b7699cc3ffe92dfd99eb0f6c""]/div_SEL","//*[@id=""modalContainer_modal_responsive-grid_position""]_RELOC",idmodalContainer_modal_responsive-grid_position_SEL,class namedexter-Position_SEL,"xpath//*[@id=""modalContainer_modal_responsive-grid_position""]_SEL","//*[@data-conf-delay=""0""]_RELOC",class namedexter-Modal_overlay_SEL,xpath//html/body/div[3]/div/div_SEL,"//*[@id=""id-62c96bc393c9f6749b9df57cc26f8552""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aem-Grid"")][1]_RELOC","xpath//*[@id=""id-62c96bc393c9f6749b9df57cc26f8552""]/div_SEL","//*[@id=""id-366846fbc7101425d9b3722f9884fc28""]_RELOC",idid-366846fbc7101425d9b3722f9884fc28_SEL,"xpath//*[@id=""id-366846fbc7101425d9b3722f9884fc28""]_SEL","//*[@daa-ll=""See plans and pricing""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" spectrum-Button-label"")][1]_RELOC",class namespectrum-Button-label_SEL,"xpath//*[@id=""id-8842dc5d0a47664a7d66365589f97b12""]/div/div[3]/div/a/span_SEL","//*[@id=""pod18""]/div[1]_RELOC","xpath//*[@id=""pod18""]/div_SEL","//*[@id=""id-1ca22076f938b60dfb631d30bf0538a2""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aem-Grid"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" cta"")][8]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dexter-Cta"")][1]_RELOC",class namedexter-Cta_SEL,"xpath//*[@id=""id-1ca22076f938b60dfb631d30bf0538a2""]/div/div[8]/div_SEL","//*[@id=""languageNavigation""]_RELOC",class namedexter-Modal_SEL,idlanguageNavigation_SEL,"xpath//*[@id=""languageNavigation""]_SEL","//*[@id=""id-b789b59401648636e3aa0d30e7da3a21""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aem-Grid"")][1]_RELOC","xpath//*[@id=""id-b789b59401648636e3aa0d30e7da3a21""]/div_SEL",//ul[1]/li[47]_RELOC,"xpath//*[@id=""languageNavigation""]/nav/ul/li[47]_SEL","//*[@id=""pod1""]_RELOC",idpod1_SEL,class namedexter-FlexContainer_SEL,"xpath//*[@id=""pod1""]_SEL","//*[@id=""id-4ce366db70ecaac8648e91fa15109f6d""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aem-Grid"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" text"")][1]_RELOC","xpath//*[@id=""id-4ce366db70ecaac8648e91fa15109f6d""]/div/div_SEL","//*[@id=""id-1ca22076f938b60dfb631d30bf0538a2""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" aem-Grid"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" cta"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dexter-Cta"")][1]_RELOC","xpath//*[@id=""id-1ca22076f938b60dfb631d30bf0538a2""]/div/div[2]/div_SEL",//ul[1]/li[57]_RELOC,"xpath//*[@id=""languageNavigation""]/nav/ul/li[57]_SEL"
0,20220220225111,1,2,1,1,1,1,30,1,1,1,4,1,1,1,1,1,29,1,1,1,20,1,1,1,1,1,1,1,1,1,1,17,1,1,1,0,13,1,1,1,1,1,1,1,1,1,1,1,9,1,1,5,1,1,1,1
1,20220221234317,1,2,1,1,1,1,30,1,1,1,4,1,1,1,1,1,29,1,1,1,20,1,1,1,1,1,1,1,1,1,1,17,1,1,1,0,13,1,1,1,1,1,1,1,1,1,1,1,9,1,1,5,1,1,1,1
2,20220222232927,1,2,1,0,0,1,30,1,1,1,4,1,1,50,1,0,21,0,0,0,1,0,1,1,1,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
3,20220223232334,1,2,1,0,0,1,30,1,1,1,4,1,1,50,1,0,21,0,0,0,1,0,1,1,1,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
4,20220224215822,1,2,1,0,0,1,30,1,1,1,4,1,1,50,1,0,21,0,0,0,1,0,1,1,3,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
5,20220225231852,1,2,1,0,0,1,30,1,1,1,4,1,1,50,1,0,21,0,0,0,1,0,1,1,3,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
6,20220226235921,1,2,1,0,0,1,30,1,1,1,4,1,1,50,1,0,21,0,0,0,1,0,1,1,3,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
7,20220227231305,1,2,1,0,0,1,30,1,1,1,4,1,1,50,1,0,21,0,0,0,1,0,1,1,3,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
8,20220228234439,1,2,1,0,0,1,30,1,1,1,4,1,1,50,1,0,21,0,0,0,1,0,1,1,1,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
9,20220301235957,1,2,1,0,0,1,30,1,1,1,4,1,1,50,1,0,21,0,0,0,1,0,1,1,1,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
10,20220302235129,1,2,1,0,0,1,30,1,1,1,4,1,1,50,1,0,21,0,0,0,1,0,1,1,1,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
11,20220303224216,1,2,1,0,0,1,30,1,1,1,4,1,1,50,1,0,21,0,0,0,1,0,1,1,3,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
12,20220304233216,1,2,1,0,0,1,30,1,1,1,4,1,1,50,1,0,21,0,0,0,1,0,1,1,3,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
13,20220305230330,1,2,1,0,0,1,30,1,1,1,4,1,1,50,1,0,21,0,0,0,1,0,1,1,1,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
14,20220306235501,1,2,1,0,0,1,30,1,1,1,4,1,1,50,1,0,21,0,0,0,1,0,1,1,1,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
15,20220307231210,1,2,1,0,0,1,30,1,1,1,4,1,1,50,1,0,21,0,0,0,1,0,1,1,1,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
16,20220308235951,1,2,1,0,0,1,30,1,1,1,4,1,1,50,1,0,21,0,0,0,1,0,1,1,1,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
17,20220309234344,1,2,1,0,0,1,30,1,1,1,4,1,1,1,1,0,21,0,0,0,1,0,1,1,1,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
18,20220310223741,1,2,1,0,0,1,30,1,1,1,4,1,1,1,1,0,21,0,0,0,1,0,1,1,3,0,0,0,0,0,0,17,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,9,1,0,0,0,0,1,1
