,Timestamp,"//*[@data-id=""8e9dce854c264d85a7f9f4015936225f""]/div[1]/ul[1]/li[2]/ul[1]/li[2]/a[2]/span[1]_RELOC",class named-block_SEL,xpath//html/body/header/div/div/nav/ul/li[3]/div/ul/li[2]/ul/li[2]/a[2]/span_SEL,//footer[1]/nav[1]/div[2]_RELOC,class namecol-xs-6_SEL,"xpath//*[@id=""footer-static""]/nav/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" js-card-clickable "")]/div[2]_RELOC",class namecol-xs-12_SEL,"xpath//*[@id=""ADP_eecdd63ac9934027ab49d92dc6545f84""]/section/div/div[2]_SEL","//*[@id=""panel_cd1e7f942544470a9cd9e3c3930a06ba""]/li[2]/ul[1]/li[5]_RELOC","xpath//*[@id=""panel_cd1e7f942544470a9cd9e3c3930a06ba""]/li[2]/ul/li[5]_SEL","//*[@id=""fxb_dd631d0e-2600-4acd-8688-170b4638c7a5_FormItemId""]_RELOC",idfxb_dd631d0e-2600-4acd-8688-170b4638c7a5_FormItemId_SEL,namefxb.dd631d0e-2600-4acd-8688-170b4638c7a5.FormItemId_SEL,"xpath//*[@id=""fxb_dd631d0e-2600-4acd-8688-170b4638c7a5_FormItemId""]_SEL","//*[@id=""fxb_d0366632-6f9a-4118-b8f9-208cf19968ec_Fields_7374b484-e6d0-44c5-b48d-20051dc3937b__Value""]_RELOC",class namehiddenField_SEL,idfxb_d0366632-6f9a-4118-b8f9-208cf19968ec_Fields_7374b484-e6d0-44c5-b48d-20051dc3937b__Value_SEL,namefxb.d0366632-6f9a-4118-b8f9-208cf19968ec.Fields[7374b484-e6d0-44c5-b48d-20051dc3937b].Value_SEL,"xpath//*[@id=""fxb_d0366632-6f9a-4118-b8f9-208cf19968ec_Fields_7374b484-e6d0-44c5-b48d-20051dc3937b__Value""]_SEL","//*[@id=""panel_9136eb3a08dc4de69304ef1937176ff6""]/li[2]/ul[1]/li[2]/a[1]/span[1]_RELOC",class nameblack_SEL,"xpath//*[@id=""panel_9136eb3a08dc4de69304ef1937176ff6""]/li[2]/ul/li[2]/a/span_SEL","//*[@id=""panel_b7ac9cb3368041d1aacb2e1851b4b131""]/li[2]/ul[1]/li[4]/a[1]/span[1]_RELOC","xpath//*[@id=""panel_b7ac9cb3368041d1aacb2e1851b4b131""]/li[2]/ul/li[4]/a/span_SEL","//*[@id=""panel_72cd38d42dd0445aa52cd7faabadbc5a""]/li[2]/ul[1]/li[5]/a[1]/span[1]_RELOC","xpath//*[@id=""panel_72cd38d42dd0445aa52cd7faabadbc5a""]/li[2]/ul/li[5]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" visible-xs-inline "")]_RELOC",class namehamburger_SEL,xpath//html/body/header/div/div/div/div/button_SEL,//footer[1]/nav[1]/div[1]_RELOC,"xpath//*[@id=""footer-static""]/nav/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" quote-form "")]_RELOC",class namecontainer-fluid_SEL,"xpath//*[@id=""ph-body""]/div[7]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" img-icon "")]/div[3]/div[1]/div[1]_RELOC",class namecard-body_SEL,"xpath//*[@id=""ADP_a0e9a65ef96a48fd9947d92f2f08af05""]/section/div/div[3]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" state "")]/label[3]/span[1]_RELOC","xpath//*[@id=""fxb_d0366632-6f9a-4118-b8f9-208cf19968ec_c006c521-52dd-4c6e-9f13-31b055d23783""]/div[3]/label[3]/span_SEL","//*[@id=""panel_de8e42b607be4d7ca93c03c67e9ae187""]/li[1]_RELOC",class namepanel-left_SEL,"xpath//*[@id=""panel_de8e42b607be4d7ca93c03c67e9ae187""]/li_SEL","//*[@id=""fxb_d0366632-6f9a-4118-b8f9-208cf19968ec_Fields_Index_a17c9a55-681e-4261-9371-01774519120a""]_RELOC",idfxb_d0366632-6f9a-4118-b8f9-208cf19968ec_Fields_Index_a17c9a55-681e-4261-9371-01774519120a_SEL,namefxb.d0366632-6f9a-4118-b8f9-208cf19968ec.Fields.Index_SEL,"xpath//*[@id=""fxb_d0366632-6f9a-4118-b8f9-208cf19968ec_Fields_Index_a17c9a55-681e-4261-9371-01774519120a""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" legal-links "")]/li[1]_RELOC","xpath//*[@id=""footer-static""]/div/div[2]/ul[2]/li_SEL","//*[@id=""panel_b7ac9cb3368041d1aacb2e1851b4b131""]/li[2]/ul[1]/li[9]/a[1]/span[1]_RELOC","xpath//*[@id=""panel_b7ac9cb3368041d1aacb2e1851b4b131""]/li[2]/ul/li[9]/a/span_SEL","//*[@id=""panel_72cd38d42dd0445aa52cd7faabadbc5a""]/li[2]/ul[1]/li[5]_RELOC","xpath//*[@id=""panel_72cd38d42dd0445aa52cd7faabadbc5a""]/li[2]/ul/li[5]_SEL","//*[@data-sc-field-key=""D4A335D1B7CE419DB7F96EE8B35FCC7D""]/label[2]/input[1]_RELOC",namefxb.dd631d0e-2600-4acd-8688-170b4638c7a5.Fields[617b4d09-4fe9-463f-b538-8fa5f996469d].Value_SEL,"xpath//*[@id=""fxb_dd631d0e-2600-4acd-8688-170b4638c7a5_a40590ec-676b-47f4-a19e-fdc91321715e""]/div[8]/label[2]/input_SEL"
0,20211118220408,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
1,20211119180556,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
2,20211121213359,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
3,20211122230915,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
4,20211123230050,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
5,20211124180127,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
6,20211125182442,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
7,20211126215351,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
8,20211127003234,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
9,20211128211038,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
10,20211129223026,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
11,20211130235235,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
12,20211201195328,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
13,20211202233625,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
14,20211203183645,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
15,20211204195730,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
16,20211205212521,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
17,20211206214212,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
18,20211207212716,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
19,20211208144308,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
20,20211209205758,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
21,20211210221847,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,True
