,Timestamp,"//*[@data-id=""8e9dce854c264d85a7f9f4015936225f""]/div[1]/ul[1]/li[2]/ul[1]/li[2]/a[2]/span[1]_RELOC",class named-block_SEL,xpath//html/body/header/div/div/nav/ul/li[3]/div/ul/li[2]/ul/li[2]/a[2]/span_SEL,//footer[1]/nav[1]/div[2]_RELOC,class namecol-xs-6_SEL,"xpath//*[@id=""footer-static""]/nav/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" js-card-clickable "")]/div[2]_RELOC",class namecol-xs-12_SEL,"xpath//*[@id=""ADP_eecdd63ac9934027ab49d92dc6545f84""]/section/div/div[2]_SEL","//*[@id=""panel_cd1e7f942544470a9cd9e3c3930a06ba""]/li[2]/ul[1]/li[5]_RELOC","xpath//*[@id=""panel_cd1e7f942544470a9cd9e3c3930a06ba""]/li[2]/ul/li[5]_SEL","//*[@id=""fxb_dd631d0e-2600-4acd-8688-170b4638c7a5_FormItemId""]_RELOC",idfxb_dd631d0e-2600-4acd-8688-170b4638c7a5_FormItemId_SEL,namefxb.dd631d0e-2600-4acd-8688-170b4638c7a5.FormItemId_SEL,"xpath//*[@id=""fxb_dd631d0e-2600-4acd-8688-170b4638c7a5_FormItemId""]_SEL","//*[@id=""fxb_d0366632-6f9a-4118-b8f9-208cf19968ec_Fields_7374b484-e6d0-44c5-b48d-20051dc3937b__Value""]_RELOC",class namehiddenField_SEL,idfxb_d0366632-6f9a-4118-b8f9-208cf19968ec_Fields_7374b484-e6d0-44c5-b48d-20051dc3937b__Value_SEL,namefxb.d0366632-6f9a-4118-b8f9-208cf19968ec.Fields[7374b484-e6d0-44c5-b48d-20051dc3937b].Value_SEL,"xpath//*[@id=""fxb_d0366632-6f9a-4118-b8f9-208cf19968ec_Fields_7374b484-e6d0-44c5-b48d-20051dc3937b__Value""]_SEL","//*[@id=""panel_9136eb3a08dc4de69304ef1937176ff6""]/li[2]/ul[1]/li[2]/a[1]/span[1]_RELOC",class nameblack_SEL,"xpath//*[@id=""panel_9136eb3a08dc4de69304ef1937176ff6""]/li[2]/ul/li[2]/a/span_SEL","//*[@id=""panel_b7ac9cb3368041d1aacb2e1851b4b131""]/li[2]/ul[1]/li[4]/a[1]/span[1]_RELOC","xpath//*[@id=""panel_b7ac9cb3368041d1aacb2e1851b4b131""]/li[2]/ul/li[4]/a/span_SEL","//*[@id=""panel_72cd38d42dd0445aa52cd7faabadbc5a""]/li[2]/ul[1]/li[5]/a[1]/span[1]_RELOC","xpath//*[@id=""panel_72cd38d42dd0445aa52cd7faabadbc5a""]/li[2]/ul/li[5]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" visible-xs-inline "")]_RELOC",class namehamburger_SEL,xpath//html/body/header/div/div/div/div/button_SEL,//footer[1]/nav[1]/div[1]_RELOC,"xpath//*[@id=""footer-static""]/nav/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" quote-form "")]_RELOC",class namecontainer-fluid_SEL,"xpath//*[@id=""ph-body""]/div[7]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" img-icon "")]/div[3]/div[1]/div[1]_RELOC",class namecard-body_SEL,"xpath//*[@id=""ADP_a0e9a65ef96a48fd9947d92f2f08af05""]/section/div/div[3]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" state "")]/label[3]/span[1]_RELOC","xpath//*[@id=""fxb_d0366632-6f9a-4118-b8f9-208cf19968ec_c006c521-52dd-4c6e-9f13-31b055d23783""]/div[3]/label[3]/span_SEL","//*[@id=""panel_de8e42b607be4d7ca93c03c67e9ae187""]/li[1]_RELOC",class namepanel-left_SEL,"xpath//*[@id=""panel_de8e42b607be4d7ca93c03c67e9ae187""]/li_SEL","//*[@id=""fxb_d0366632-6f9a-4118-b8f9-208cf19968ec_Fields_Index_a17c9a55-681e-4261-9371-01774519120a""]_RELOC",idfxb_d0366632-6f9a-4118-b8f9-208cf19968ec_Fields_Index_a17c9a55-681e-4261-9371-01774519120a_SEL,namefxb.d0366632-6f9a-4118-b8f9-208cf19968ec.Fields.Index_SEL,"xpath//*[@id=""fxb_d0366632-6f9a-4118-b8f9-208cf19968ec_Fields_Index_a17c9a55-681e-4261-9371-01774519120a""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" legal-links "")]/li[1]_RELOC","xpath//*[@id=""footer-static""]/div/div[2]/ul[2]/li_SEL","//*[@id=""panel_b7ac9cb3368041d1aacb2e1851b4b131""]/li[2]/ul[1]/li[9]/a[1]/span[1]_RELOC","xpath//*[@id=""panel_b7ac9cb3368041d1aacb2e1851b4b131""]/li[2]/ul/li[9]/a/span_SEL","//*[@id=""panel_72cd38d42dd0445aa52cd7faabadbc5a""]/li[2]/ul[1]/li[5]_RELOC","xpath//*[@id=""panel_72cd38d42dd0445aa52cd7faabadbc5a""]/li[2]/ul/li[5]_SEL","//*[@data-sc-field-key=""D4A335D1B7CE419DB7F96EE8B35FCC7D""]/label[2]/input[1]_RELOC",namefxb.dd631d0e-2600-4acd-8688-170b4638c7a5.Fields[617b4d09-4fe9-463f-b538-8fa5f996469d].Value_SEL,"xpath//*[@id=""fxb_dd631d0e-2600-4acd-8688-170b4638c7a5_a40590ec-676b-47f4-a19e-fdc91321715e""]/div[8]/label[2]/input_SEL"
0,20211118220408,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
1,20211119180556,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
2,20211121213359,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
3,20211122230915,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
4,20211123230050,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
5,20211124180127,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
6,20211125182442,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
7,20211126215351,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
8,20211127003234,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
9,20211128211038,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
10,20211129223026,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
11,20211130235235,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
12,20211201195328,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
13,20211202233625,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
14,20211203183645,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
15,20211204195730,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
16,20211205212521,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
17,20211206214212,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
18,20211207212716,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
19,20211208144308,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
20,20211209205758,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
21,20211210221847,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
22,20211213221648,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
23,20211214221757,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
24,20211215185742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,20211216204533,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
26,20211217221543,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
27,20211218222753,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
28,20211219195747,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
29,20211220234457,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
30,20211221073836,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
31,20211222063655,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
32,20211223164334,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
33,20211224004617,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
34,20211227194840,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
35,20211228025646,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
36,20211229165745,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
37,20211231070140,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
38,20220103143905,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
39,20220104232717,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
40,20220105195521,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
41,20220106053629,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
42,20220108225343,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
43,20220111235957,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
44,20220112085251,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
45,20220113125825,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
46,20220114050457,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
47,20220117163403,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
48,20220118220825,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
49,20220119233240,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
50,20220121001859,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
51,20220123093532,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
52,20220124203226,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
53,20220125003942,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,9,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
54,20220126234938,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,10,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
55,20220127175041,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,10,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
56,20220130172040,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,10,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
57,20220131213629,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,10,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
58,20220201140907,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,1,23,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,11,1,1,1,1,43,2,1,1,13,1,1,5,1,1,1,1,1,2,1
59,20220202142550,1,6,1,1,3,1,1,3,1,1,1,1,1,1,1,0,23,0,0,0,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,11,1,1,0,1,43,2,0,0,13,0,1,5,1,1,1,1,1,2,1
