,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListEpisodios "")]/li[12]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[1]/li[12]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListEpisodios "")]/li[18]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[1]/li[18]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" Mid "")]_RELOC",class nameMid_SEL,xpath//html/body/div[3]/header/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes "")]/li[10]/article/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description "")][1]/p[2]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[10]/article/div/p[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListSdbr "")]/li[34]_RELOC",xpath//html/body/div[3]/div/div/div/aside/div/div[2]/ul/li[34]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes "")]/li[11]/article/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description "")][1]/p[2]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[11]/article/div/p[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes "")]/li[16]/article/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description "")][1]_RELOC",class nameDescription_SEL,xpath//html/body/div[3]/div/div/div/main/ul[2]/li[16]/article/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListEpisodios "")]/li[13]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[1]/li[13]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes "")]/li[15]/article/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description "")][1]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[15]/article/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes "")]/li[18]/article/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description "")][1]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[18]/article/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListEpisodios "")]/li[5]/a/*[contains(concat("" "", normalize-space(@class), "" ""), "" Capi "")][1]_RELOC",class nameCapi_SEL,xpath//html/body/div[3]/div/div/div/main/ul[1]/li[5]/a/span[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" Body "")]_RELOC",class nameBody_SEL,xpath//html/body/div[3]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes "")]/li[1]/article/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description "")][1]/p[1]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[1]/article/div/p[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes "")]/li[4]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListEpisodios "")]/li[12]/a/*[contains(concat("" "", normalize-space(@class), "" ""), "" Capi "")][1]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[1]/li[12]/a/span[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes "")]/li[12]/article/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description "")][1]/p[1]/span[2]_RELOC",class nameVts_SEL,xpath//html/body/div[3]/div/div/div/main/ul[2]/li[12]/article/div/p[1]/span[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes "")]/li[17]/article/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description "")][1]/p[2]_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[17]/article/div/p[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes "")]/li[4]/article/a/*[contains(concat("" "", normalize-space(@class), "" ""), "" Estreno "")][1]/span_RELOC",xpath//html/body/div[3]/div/div/div/main/ul[2]/li[4]/article/a/span/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListAnimes "")]/li[4]/article/*[contains(concat("" "", normalize-space(@class), "" ""), "" Description "")][1]/p[1]/span[1]_RELOC",class nameType_SEL,xpath//html/body/div[3]/div/div/div/main/ul[2]/li[4]/article/div/p[1]/span[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ListSdbr "")]/li[11]_RELOC",xpath//html/body/div[3]/div/div/div/aside/div/div[2]/ul/li[11]_SEL
0,20210923001636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,80,1,1,1
1,20210924215413,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,0,0,1,77,1,1,1
2,20210925191007,1,1,1,1,1,1,1,1,1,0,0,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,0,0,1,68,1,1,1
3,20210926051944,1,1,1,1,1,1,1,1,1,0,0,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,0,0,1,67,1,1,1
4,20210927110325,1,1,1,1,1,1,1,1,1,0,0,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,0,0,1,66,1,1,1
5,20210930082940,1,1,1,1,1,1,1,1,1,0,0,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,0,0,1,62,1,1,1
6,20211003205646,1,1,1,1,1,1,1,1,1,0,0,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,66,1,1,1
7,20211004221523,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,69,1,1,1
8,20211005005249,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,69,1,1,1
9,20211006040808,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,70,1,1,1
10,20211007022330,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,81,1,1,1
11,20211008102552,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,85,1,1,1
12,20211009175036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,91,1,1,1
13,20211010232859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,95,1,1,1
14,20211011113514,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,95,1,1,1
15,20211012214712,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,98,1,1,1
16,20211014071816,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,98,1,1,1
17,20211017193456,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,99,1,1,1
18,20211019024927,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,98,1,1,1
19,20211023181625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,96,1,1,1
20,20211026034047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,96,1,1,1
21,20211027232824,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,96,1,1,1
22,20211102055242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,25,1,1,1,1,1,1,96,1,1,1
