,0
0,20220308235256
1,20220310234122
2,20220313231954
3,20220319232308
4,20220321225829
5,20220324234733
6,20220326233801
7,20220329224330
8,20220331235032
9,20220401233201
10,20220402235224
11,20220403235156
12,20220406234755
13,20220409233647
14,20220411231142
15,20220415231806
16,20220416233020
17,20220419233504
18,20220420234015
19,20220421234853
20,20220427233226
21,20220501235958
22,20220502230350
23,20220503234136
24,20220504230124
25,20220505230549
26,20220506234811
27,20220507235903
28,20220509234809
29,20220510231857
30,20220511232042
31,20220512221836
32,20220513230125
33,20220514221107
34,20220515233659
35,20220516232605
36,20220517232739
37,20220518235950
38,20220519235712
39,20220520233651
40,20220521230351
41,20220522235528
42,20220523235442
43,20220524233811
44,20220525233347
45,20220526235326
46,20220527230842
47,20220528233537
48,20220529235833
49,20220530221249
50,20220531233908
51,20220601232422
52,20220602231615
53,20220603202752
54,20220604234458
55,20220605235843
56,20220606224226
57,20220607235228
58,20220608224741
59,20220609212921
60,20220610232220
61,20220611221349
62,20220612232815
63,20220613220037
64,20220614235657
65,20220615235556
66,20220616231438
67,20220617230453
68,20220618231813
69,20220619231012
70,20220620232606
71,20220621232152
72,20220622234101
73,20220623235154
74,20220624231253
75,20220625234359
76,20220626235657
77,20220627234218
78,20220628220854
79,20220629233432
80,20220630220451
81,20220701234002
82,20220702234257
83,20220703232644
84,20220704233407
85,20220705233932
86,20220706235235
87,20220707234127
88,20220708225833
89,20220709223534
90,20220710225346
91,20220711230416
92,20220712233827
93,20220713235243
94,20220714234317
95,20220715235906
96,20220716232019
97,20220717235247
98,20220718235254
99,20220719230020
100,20220720234923
101,20220721233523
102,20220722235354
103,20220723234914
104,20220724233057
105,20220725224919
106,20220726233653
107,20220727234157
108,20220728231839
109,20220729234552
110,20220730233809
111,20220731232549
112,20220801235516
113,20220802235701
114,20220803235955
115,20220804230104
116,20220805235248
117,20220806224429
118,20220807232725
119,20220808232200
120,20220809234429
121,20220810200326
122,20220811222806
123,20220812231657
124,20220813221745
125,20220814231657
126,20220815232225
127,20220816235415
128,20220817221451
129,20220818234642
130,20220819233943
131,20220820223508
132,20220821233150
133,20220822235919
134,20220823234537
135,20220824225615
136,20220825232152
137,20220826231436
138,20220827235312
139,20220828232830
140,20220829232356
141,20220830235218
142,20220831235904
143,20220901234416
144,20220902235656
145,20220903235735
146,20220904234517
147,20220905235420
148,20220906233728
149,20220907233015
150,20220908233355
151,20220909225607
152,20220910233120
153,20220911232852
154,20220912234142
155,20220913220451
156,20220914232328
157,20220915234035
158,20220916232925
159,20220917235732
160,20220918234559
161,20220919235244
162,20220920054047
163,20220922032926
