,Timestamp,//main[1]/div[1]/div[18]/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/div[2]/div[1]/dl[1]/div[1]_RELOC,class namessrcss-8d0yke-MetadataStripItem_SEL,"xpath//*[@id=""main-content""]/div/div[18]/div/div/ul/li/div/div/div/div[2]/div/dl/div_SEL",//main[1]/div[1]/div[18]/div[1]/div[1]/ul[1]/li[1]/div[1]_RELOC,class namessrcss-lhuji8-Promo_SEL,"xpath//*[@id=""main-content""]/div/div[18]/div/div/ul/li/div_SEL",//main[1]/div[1]/div[4]/div[1]/div[1]/div[1]/div[1]/h2[1]/a[1]/span[1]_RELOC,class namessrcss-1j1oyxe-IconContainer_SEL,"xpath//*[@id=""main-content""]/div/div[4]/div/div/div/div/h2/a/span_SEL","//main[1]/div[1]/div[6]/div[1]/div[1]/ul[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-1r7nvnf-ListItem"")][3]/div[1]/div[1]/div[1]/div[2]/div[1]/dl[1]/div[1]/dd[1]/span[1]_RELOC",class namessrcss-8g95ls-MetadataSnippet_SEL,"xpath//*[@id=""main-content""]/div/div[6]/div/div/ul/li[3]/div/div/div/div[2]/div/dl/div/dd/span_SEL",//main[1]/div[1]/div[15]/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[2]/div[1]/div[1]_RELOC,class namessrcss-1wsf921-PageTypeWrapper_SEL,"xpath//*[@id=""main-content""]/div/div[15]/div/div/ul/li/div/div/div[2]/div/div_SEL","//main[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-1ediodu-Container"")][2]/div[1]/div[1]/ul[1]/li[2]/div[1]/div[1]/div[2]/div[1]/div[1]/span[1]_RELOC",class namessrcss-o5pw9a-Placeholder_SEL,"xpath//*[@id=""main-content""]/div/div[8]/div/div/ul/li[2]/div/div/div[2]/div/div/span_SEL",//header[1]/div[3]_RELOC,"xpath//*[@id=""header-content""]/div[3]_SEL",//main[1]/div[1]/div[19]/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/div[1]/a[1]/span[1]_RELOC,"xpath//*[@id=""main-content""]/div/div[19]/div/div/ul/li/div/div/div/div/a/span_SEL","//main[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-17f6w9v-Container"")][7]/div[1]/div[1]/ul[1]/li[3]/div[1]/div[1]_RELOC",class namessrcss-y4q8z6-PromoSwitchLayoutAtBreakpoints_SEL,"xpath//*[@id=""main-content""]/div/div[12]/div/div/ul/li[3]/div/div_SEL",//main[1]/div[1]/div[4]/div[1]/div[1]/ul[1]/li[3]/div[1]/div[1]/div[1]/div[2]/div[1]_RELOC,"xpath//*[@id=""main-content""]/div/div[4]/div/div/ul/li[3]/div/div/div/div[2]/div_SEL","//main[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-s9xgpu-StaticLinks"")][3]/div[1]/nav[1]/div[1]/ul[1]/li[5]/div[1]/div[1]/div[1]/div[1]/a[1]/span[1]/p[1]_RELOC",class namessrcss-6arcww-PromoHeadline_SEL,"xpath//*[@id=""main-content""]/div/div[23]/div/nav/div/ul/li[5]/div/div/div/div/a/span/p_SEL",//main[1]/div[1]/div[3]/div[1]/div[1]/ul[1]/li[2]/div[1]/div[1]/div[2]/div[1]/div[1]/span[1]_RELOC,"xpath//*[@id=""main-content""]/div/div[3]/div/div/ul/li[2]/div/div/div[2]/div/div/span_SEL","//main[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-1ediodu-Container"")][1]/div[1]/div[1]/ul[1]/li[2]/div[1]/div[1]/div[1]/div[1]_RELOC",class namessrcss-1cbga70-Stack_SEL,"xpath//*[@id=""main-content""]/div/div[2]/div/div/ul/li[2]/div/div/div/div_SEL","//main[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-1ediodu-Container"")][2]/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[2]_RELOC",class namessrcss-z60stg-PromoImageContainer_SEL,"xpath//*[@id=""main-content""]/div/div[8]/div/div/ul/li/div/div/div[2]_SEL","//main[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-17f6w9v-Container"")][7]/div[1]/div[1]/ul[1]/li[3]/div[1]_RELOC","xpath//*[@id=""main-content""]/div/div[12]/div/div/ul/li[3]/div_SEL","//main[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-1ediodu-Container"")][1]/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]_RELOC",class namessrcss-1gi6l8c-PromoContent_SEL,"xpath//*[@id=""main-content""]/div/div[2]/div/div/ul/li/div/div/div_SEL",//main[1]/div[1]/div[5]/div[1]/div[1]/ul[1]/li[2]/div[1]/div[1]/div[1]/div[1]/a[1]/span[1]/p[1]/span[1]_RELOC,"xpath//*[@id=""main-content""]/div/div[5]/div/div/ul/li[2]/div/div/div/div/a/span/p/span_SEL","//main[1]/div[1]/div[13]/div[1]/div[1]/ul[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-rs7w2i-ListItem"")][1]/div[1]/div[1]/div[1]/div[2]/div[1]/dl[1]/div[2]/dd[1]/span[1]_RELOC","xpath//*[@id=""main-content""]/div/div[13]/div/div/ul/li/div/div/div/div[2]/div/dl/div[2]/dd/span_SEL",//main[1]/div[1]/div[5]/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/div[1]/a[1]/span[1]/p[1]_RELOC,"xpath//*[@id=""main-content""]/div/div[5]/div/div/ul/li/div/div/div/div/a/span/p_SEL",//main[1]/div[1]/div[7]/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[2]/div[1]/div[1]_RELOC,class namessrcss-fec6qv-ImageWrapper_SEL,"xpath//*[@id=""main-content""]/div/div[7]/div/div/ul/li/div/div/div[2]/div/div_SEL"
0,20211129235245,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,True,True,False,False,True,True,True,True,True,False,True,False,False
1,20211130232856,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,False
2,20211201235345,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
3,20211202234027,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
4,20211203215831,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
5,20211204230223,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
6,20211205232623,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
7,20211206221613,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
8,20211207232356,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
9,20211208231615,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
10,20211209233533,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
11,20211210234152,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
12,20211211231611,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
13,20211212231616,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
14,20211213235937,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
15,20211214235550,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
16,20211215235709,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
17,20211216235352,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
18,20211217225514,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
19,20211218234203,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
20,20211219231630,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
21,20211220234356,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
22,20211221222159,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
23,20211222231645,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
24,20211223231628,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
25,20211224231646,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
26,20211225233627,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
27,20211226231622,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
28,20211227235652,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
29,20211228233037,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
30,20211229235637,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
31,20211230234607,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
32,20211231231623,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,False
33,20220101235256,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
34,20220102231610,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
35,20220103235515,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
36,20220104231728,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
37,20220105231855,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
