,Timestamp,//main[1]/div[1]/div[18]/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/div[2]/div[1]/dl[1]/div[1]_RELOC,class namessrcss-8d0yke-MetadataStripItem_SEL,"xpath//*[@id=""main-content""]/div/div[18]/div/div/ul/li/div/div/div/div[2]/div/dl/div_SEL",//main[1]/div[1]/div[18]/div[1]/div[1]/ul[1]/li[1]/div[1]_RELOC,class namessrcss-lhuji8-Promo_SEL,"xpath//*[@id=""main-content""]/div/div[18]/div/div/ul/li/div_SEL",//main[1]/div[1]/div[4]/div[1]/div[1]/div[1]/div[1]/h2[1]/a[1]/span[1]_RELOC,class namessrcss-1j1oyxe-IconContainer_SEL,"xpath//*[@id=""main-content""]/div/div[4]/div/div/div/div/h2/a/span_SEL","//main[1]/div[1]/div[6]/div[1]/div[1]/ul[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-1r7nvnf-ListItem"")][3]/div[1]/div[1]/div[1]/div[2]/div[1]/dl[1]/div[1]/dd[1]/span[1]_RELOC",class namessrcss-8g95ls-MetadataSnippet_SEL,"xpath//*[@id=""main-content""]/div/div[6]/div/div/ul/li[3]/div/div/div/div[2]/div/dl/div/dd/span_SEL",//main[1]/div[1]/div[15]/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[2]/div[1]/div[1]_RELOC,class namessrcss-1wsf921-PageTypeWrapper_SEL,"xpath//*[@id=""main-content""]/div/div[15]/div/div/ul/li/div/div/div[2]/div/div_SEL","//main[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-1ediodu-Container"")][2]/div[1]/div[1]/ul[1]/li[2]/div[1]/div[1]/div[2]/div[1]/div[1]/span[1]_RELOC",class namessrcss-o5pw9a-Placeholder_SEL,"xpath//*[@id=""main-content""]/div/div[8]/div/div/ul/li[2]/div/div/div[2]/div/div/span_SEL",//header[1]/div[3]_RELOC,"xpath//*[@id=""header-content""]/div[3]_SEL",//main[1]/div[1]/div[19]/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/div[1]/a[1]/span[1]_RELOC,"xpath//*[@id=""main-content""]/div/div[19]/div/div/ul/li/div/div/div/div/a/span_SEL","//main[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-17f6w9v-Container"")][7]/div[1]/div[1]/ul[1]/li[3]/div[1]/div[1]_RELOC",class namessrcss-y4q8z6-PromoSwitchLayoutAtBreakpoints_SEL,"xpath//*[@id=""main-content""]/div/div[12]/div/div/ul/li[3]/div/div_SEL",//main[1]/div[1]/div[4]/div[1]/div[1]/ul[1]/li[3]/div[1]/div[1]/div[1]/div[2]/div[1]_RELOC,"xpath//*[@id=""main-content""]/div/div[4]/div/div/ul/li[3]/div/div/div/div[2]/div_SEL","//main[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-s9xgpu-StaticLinks"")][3]/div[1]/nav[1]/div[1]/ul[1]/li[5]/div[1]/div[1]/div[1]/div[1]/a[1]/span[1]/p[1]_RELOC",class namessrcss-6arcww-PromoHeadline_SEL,"xpath//*[@id=""main-content""]/div/div[23]/div/nav/div/ul/li[5]/div/div/div/div/a/span/p_SEL",//main[1]/div[1]/div[3]/div[1]/div[1]/ul[1]/li[2]/div[1]/div[1]/div[2]/div[1]/div[1]/span[1]_RELOC,"xpath//*[@id=""main-content""]/div/div[3]/div/div/ul/li[2]/div/div/div[2]/div/div/span_SEL","//main[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-1ediodu-Container"")][1]/div[1]/div[1]/ul[1]/li[2]/div[1]/div[1]/div[1]/div[1]_RELOC",class namessrcss-1cbga70-Stack_SEL,"xpath//*[@id=""main-content""]/div/div[2]/div/div/ul/li[2]/div/div/div/div_SEL","//main[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-1ediodu-Container"")][2]/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[2]_RELOC",class namessrcss-z60stg-PromoImageContainer_SEL,"xpath//*[@id=""main-content""]/div/div[8]/div/div/ul/li/div/div/div[2]_SEL","//main[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-17f6w9v-Container"")][7]/div[1]/div[1]/ul[1]/li[3]/div[1]_RELOC","xpath//*[@id=""main-content""]/div/div[12]/div/div/ul/li[3]/div_SEL","//main[1]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-1ediodu-Container"")][1]/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]_RELOC",class namessrcss-1gi6l8c-PromoContent_SEL,"xpath//*[@id=""main-content""]/div/div[2]/div/div/ul/li/div/div/div_SEL",//main[1]/div[1]/div[5]/div[1]/div[1]/ul[1]/li[2]/div[1]/div[1]/div[1]/div[1]/a[1]/span[1]/p[1]/span[1]_RELOC,"xpath//*[@id=""main-content""]/div/div[5]/div/div/ul/li[2]/div/div/div/div/a/span/p/span_SEL","//main[1]/div[1]/div[13]/div[1]/div[1]/ul[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" ssrcss-rs7w2i-ListItem"")][1]/div[1]/div[1]/div[1]/div[2]/div[1]/dl[1]/div[2]/dd[1]/span[1]_RELOC","xpath//*[@id=""main-content""]/div/div[13]/div/div/ul/li/div/div/div/div[2]/div/dl/div[2]/dd/span_SEL",//main[1]/div[1]/div[5]/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/div[1]/a[1]/span[1]/p[1]_RELOC,"xpath//*[@id=""main-content""]/div/div[5]/div/div/ul/li/div/div/div/div/a/span/p_SEL",//main[1]/div[1]/div[7]/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[2]/div[1]/div[1]_RELOC,class namessrcss-fec6qv-ImageWrapper_SEL,"xpath//*[@id=""main-content""]/div/div[7]/div/div/ul/li/div/div/div[2]/div/div_SEL"
0,20211129235245,1,59,3,1,56,3,1,5,1,0,59,1,1,8,5,1,56,1,1,1,1,3,0,56,1,1,1,1,56,1,1,1,1,125,3,1,56,3,0,1,1,56,6,1,1,1,1,1,3,1,56,3
1,20211130232856,1,54,3,1,56,3,1,5,1,0,54,1,1,14,4,1,56,2,1,1,1,3,0,56,1,1,1,1,56,1,1,1,1,125,3,1,56,3,0,1,1,56,6,1,1,0,0,1,3,1,56,3
2,20211201235345,1,57,3,1,56,3,1,5,1,0,57,1,1,11,4,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,5
3,20211202234027,1,57,3,1,56,3,1,5,1,0,57,1,1,6,3,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,3
4,20211203215831,1,53,3,1,56,3,1,5,1,0,53,1,1,8,3,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,3
5,20211204230223,1,53,3,1,56,3,1,5,1,0,53,1,1,9,4,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,4
6,20211205232623,1,52,3,1,56,3,1,5,1,0,52,1,1,7,4,1,56,1,1,1,1,3,0,56,1,1,1,1,56,0,1,1,1,125,3,1,56,3,0,1,1,56,6,0,0,0,0,0,0,1,56,3
7,20211206221613,1,54,3,1,56,3,1,5,1,0,54,1,1,9,4,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,3
8,20211207232356,1,55,3,1,56,3,1,5,1,0,55,1,1,9,4,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,3
9,20211208231615,1,55,3,1,56,3,1,5,1,0,55,1,1,11,5,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,3
10,20211209233533,1,56,3,1,56,3,1,5,1,0,56,1,1,7,3,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,3
11,20211210234152,1,56,3,1,56,3,1,5,1,0,56,1,1,8,4,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,3
12,20211211231611,1,52,3,1,56,3,1,5,1,0,52,1,1,13,4,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,4
13,20211212231616,1,56,3,1,56,3,1,5,1,0,56,1,1,7,4,1,56,1,1,1,1,3,0,56,1,1,1,1,56,0,1,1,1,125,3,1,56,3,0,1,1,56,6,0,0,0,0,0,0,1,56,3
14,20211213235937,1,56,3,1,56,3,1,5,1,0,56,1,1,11,5,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,3
15,20211214235550,1,57,3,1,56,3,1,5,1,0,57,1,1,15,5,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,3
16,20211215235709,1,55,3,1,56,3,1,5,1,0,55,1,1,10,4,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,3
17,20211216235352,1,56,3,1,56,3,1,5,1,0,56,1,1,8,3,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,4
18,20211217225514,1,57,3,1,59,3,1,6,1,0,57,2,1,16,4,1,59,1,1,1,1,3,0,59,1,1,1,1,59,0,1,1,1,132,3,1,59,3,0,1,1,59,6,0,0,0,0,0,0,1,59,4
19,20211218234203,1,53,3,1,56,3,1,5,1,0,53,1,1,17,6,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,4
20,20211219231630,1,52,3,1,56,3,1,5,1,0,52,1,1,16,3,1,56,1,1,1,1,3,0,56,1,1,1,1,56,0,1,1,1,125,3,1,56,3,0,1,1,56,6,0,0,0,0,0,0,1,56,4
21,20211220234356,1,56,3,1,56,3,1,5,1,0,56,1,1,12,4,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,3
22,20211221222159,1,53,3,1,56,3,1,5,1,0,53,1,1,9,3,1,56,1,1,1,1,3,0,56,1,1,1,1,56,0,1,1,1,125,3,1,56,3,0,1,1,56,6,0,0,0,0,0,0,1,56,3
23,20211222231645,1,57,3,1,56,3,1,5,1,0,57,1,1,11,4,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,3
24,20211223231628,1,53,3,1,56,3,1,5,1,0,53,1,1,8,3,1,56,1,1,1,1,3,0,56,0,1,1,1,56,0,1,1,1,125,3,1,56,3,0,0,1,56,6,0,0,0,0,0,0,1,56,3
25,20211224231646,1,58,3,1,58,3,1,5,1,0,58,1,0,10,0,1,58,1,1,1,1,3,0,56,1,1,1,1,58,0,1,1,1,129,3,1,58,3,0,1,1,58,6,0,0,0,0,0,0,1,58,3
