,Timestamp,"//header[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" grid-container "")][1]_RELOC",class namegrid-container_SEL,xpath//html/body/div[3]/div[2]/header/div_SEL,"//*[@id=""menu-item-4557""]_RELOC",idmenu-item-4557_SEL,class namemenu-item_SEL,"xpath//*[@id=""menu-item-4557""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" accordion "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" accordion-item "")][4]/*[contains(concat("" "", normalize-space(@class), "" ""), "" accordion-content "")][1]_RELOC",class nameaccordion-content_SEL,"xpath//*[@id=""post-52""]/div/section[10]/div/div[2]/div/div/div[4]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" entry-content "")]/*[@style=""background-image:url(/all/20211205223115im_/https://bitly.com/);background-color:""][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" grid-container "")][1]_RELOC","xpath//*[@id=""post-52""]/div/section[4]/div_SEL","//*[@id=""text-5""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" textwidget "")][1]/p[1]_RELOC","xpath//*[@id=""text-5""]/div/p_SEL","//*[@id=""menu-item-3818""]_RELOC",idmenu-item-3818_SEL,class namefeatures-menu_SEL,"xpath//*[@id=""menu-item-3818""]_SEL","//*[@id=""menu-item-71""]_RELOC",idmenu-item-71_SEL,class namebutton_SEL,"xpath//*[@id=""menu-item-71""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" owl-theme "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" testimnial-item "")][4]/*[contains(concat("" "", normalize-space(@class), "" ""), "" wrapper "")][1]_RELOC",class namewrapper_SEL,"xpath//*[@id=""post-52""]/div/section[6]/div/div[2]/div/div/div[4]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" accordion "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" accordion-item "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" accordion-content "")][1]/p[5]_RELOC","xpath//*[@id=""post-52""]/div/section[10]/div/div[2]/div/div/div/div/p[5]_SEL","//*[@id=""menu-item-4568""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" menu-image-title-after "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" menu-image-title "")][1]_RELOC",class namemenu-image-title-after_SEL,"xpath//*[@id=""menu-item-4568""]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" show-on-pricing "")]_RELOC",class nameshow-on-pricing_SEL,"xpath//*[@id=""custom_html-2""]/div/section/div/div/div/div[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" hide-for-medium-only "")]_RELOC",class namecell_SEL,xpath//html/body/div[3]/div[2]/footer/div/div/div[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" owl-theme "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" testimnial-item "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" wrapper "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" testimonial-owner "")][1]_RELOC",class nametestimonial-owner_SEL,"xpath//*[@id=""post-52""]/div/section[6]/div/div[2]/div/div/div[2]/div/div[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" owl-theme "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" testimnial-item "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" wrapper "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" testimonial-imgs "")][1]_RELOC",class nametestimonial-imgs_SEL,"xpath//*[@id=""post-52""]/div/section[6]/div/div[2]/div/div/div/div/div_SEL","//*[@id=""menu-item-76""]_RELOC",idmenu-item-76_SEL,"xpath//*[@id=""menu-item-76""]_SEL","//*[@id=""menu-item-3995""]_RELOC",idmenu-item-3995_SEL,"xpath//*[@id=""menu-item-3995""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" off-canvas-content "")]_RELOC",class nameoff-canvas-content_SEL,xpath//html/body/div[3]/div[2]_SEL,"//footer[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" grid-container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" inner-footer "")][1]_RELOC",class nameinner-footer_SEL,xpath//html/body/div[3]/div[2]/footer/div/div_SEL,"//*[@id=""menu-item-4559""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" menu-image-title-after "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" menu-image-title "")][1]_RELOC","xpath//*[@id=""menu-item-4559""]/a/span_SEL","//footer[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" grid-container "")][1]_RELOC",xpath//html/body/div[3]/div[2]/footer/div_SEL
0,20211207235509,1,15,0,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,2,1,0,8,0,1,1,1,24,2,1,1,1,1,1,0,0,8,0,0,8,8,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,0
1,20211211212903,1,15,0,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,2,1,0,8,0,1,1,1,24,2,1,1,1,1,1,0,0,8,0,0,8,8,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,0
2,20211213235950,1,15,0,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,2,1,0,8,0,1,1,1,24,2,1,1,1,1,1,0,0,8,0,0,8,8,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,0
3,20211214233916,1,15,0,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,2,1,0,8,0,1,1,1,24,2,1,1,1,1,1,0,0,8,0,0,8,8,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,0
4,20211215235217,1,15,0,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,2,1,0,8,0,1,1,1,24,2,1,1,1,1,1,0,0,8,0,0,8,8,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,0
5,20211216234644,1,15,0,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,2,1,0,8,0,1,1,1,24,2,1,1,1,1,1,0,0,8,0,0,8,8,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,0
6,20211217234512,1,15,0,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,2,1,0,8,0,1,1,1,24,2,1,1,1,1,1,0,0,8,0,0,8,8,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,0
7,20211218233627,1,15,0,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,2,1,0,8,0,1,1,1,24,2,1,1,1,1,1,0,0,8,0,0,8,8,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,0
8,20211220233652,1,15,0,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,2,1,0,8,0,1,1,1,24,2,1,1,1,1,1,0,0,8,0,0,8,8,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,0
9,20220112230543,1,15,0,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,2,1,0,8,0,1,1,1,24,2,1,1,1,1,1,1,0,8,0,0,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
10,20220113235757,1,15,0,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,2,1,0,8,0,1,1,1,24,2,1,1,1,1,1,0,0,8,0,0,8,8,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0
11,20220114233456,1,15,0,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,2,1,0,8,0,1,1,1,24,2,1,1,1,1,1,0,0,8,0,0,8,8,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0
12,20220118234858,1,15,0,1,1,1,1,1,5,1,0,1,1,1,1,1,1,1,1,1,2,1,0,8,0,1,1,1,24,2,1,1,1,1,1,0,0,8,0,0,8,8,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0
