,Timestamp,"//*[@about=""/node/41276""]/span[1]_RELOC","xpath//*[@id=""block-box-shiny-content""]/div[8]/div/div/div[2]/div/div/div[3]/div/a/span_SEL","//*[@id=""block-menu-v2-submenu-row--7""]/div[2]_RELOC",class namemain-nav--subgroup_SEL,"xpath//*[@id=""block-menu-v2-submenu-row--7""]/div[2]_SEL","//*[@id=""block-menu-v2-submenu-row--5""]/div[2]/ul[1]/li[3]_RELOC",class namemain-nav--item_SEL,"xpath//*[@id=""block-menu-v2-submenu-row--5""]/div[2]/ul/li[3]_SEL","//*[@data-glide-dir=""=0""]_RELOC",class nameglide__bullet_SEL,"xpath//*[@id=""block-box-shiny-content""]/div[8]/div[2]/button_SEL","//*[@id=""block-menu-v2-submenu-row--5""]/div[2]_RELOC","xpath//*[@id=""block-menu-v2-submenu-row--5""]/div[2]_SEL","//*[@id=""block-menu-v2-submenu-row""]/div[1]/ul[2]/li[1]/a[1]/div[1]/span[1]_RELOC",class namemain-nav--child-item--title_SEL,"xpath//*[@id=""block-menu-v2-submenu-row""]/div/ul[2]/li/a/div/span_SEL","//*[@about=""/node/76306""]_RELOC",class namemodule-76306_SEL,"xpath//*[@id=""block-box-shiny-content""]/div[7]_SEL","//*[@aria-label=""Solutions""]_RELOC",class namemain-nav--primary-item_SEL,"xpath//*[@id=""block-menu-v2-item--2""]/button_SEL","//*[@style=""background-color: #FFFFFF;""]/div[1]/div[1]/div[1]/div[1]_RELOC",class namenavigation-spotlight--content_SEL,"xpath//*[@id=""block-menu-v2-submenu--6""]/div/div/div/div_SEL","//*[@aria-labelledby=""footer-mobile""]/li[1]_RELOC",class namefooter--mobile__column_SEL,"xpath//*[@id=""block-box-shiny-footerlinks-v2-mobile""]/div/ul/li_SEL","//*[@id=""block-box-shiny-footerlinks-v2""]/li[5]/ul[1]/li[1]/ul[1]/li[9]_RELOC","xpath//*[@id=""block-box-shiny-footerlinks-v2""]/li[5]/ul/li/ul/li[9]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" logo-stripe--row "")]/div[5]/div[1]_RELOC",class nameanim-wrapper_SEL,"xpath//*[@id=""block-box-shiny-content""]/div[2]/div/div[2]/div[5]/div_SEL","//*[@id=""block-menu-v2-submenu-row--2""]/div[2]/ul[1]/li[5]/a[1]/div[1]_RELOC","xpath//*[@id=""block-menu-v2-submenu-row--2""]/div[2]/ul/li[5]/a/div_SEL","//*[@aria-labelledby=""footer-mobile""]/li[1]/ul[1]/ul[1]/li[6]_RELOC","xpath//*[@id=""block-box-shiny-footerlinks-v2-mobile""]/div/ul/li/ul/ul/li[6]_SEL","//*[@id=""block-box-shiny-footerlinks-v2""]/li[3]/ul[1]/li[1]/ul[1]/li[1]_RELOC","xpath//*[@id=""block-box-shiny-footerlinks-v2""]/li[3]/ul/li/ul/li_SEL","//*[@id=""block-menu-v2-submenu-row--7""]_RELOC",idblock-menu-v2-submenu-row--7_SEL,class namemain-nav--row_SEL,"xpath//*[@id=""block-menu-v2-submenu-row--7""]_SEL","//*[@id=""block-menu-v2-submenu-row""]_RELOC",idblock-menu-v2-submenu-row_SEL,"xpath//*[@id=""block-menu-v2-submenu-row""]_SEL","//*[@id=""block-menu-v2-submenu-row--2""]/div[2]/ul[1]/li[4]/a[1]/div[1]_RELOC","xpath//*[@id=""block-menu-v2-submenu-row--2""]/div[2]/ul/li[4]/a/div_SEL","//*[@aria-labelledby=""footer-mobile""]/li[1]/ul[1]/ul[1]/li[7]_RELOC","xpath//*[@id=""block-box-shiny-footerlinks-v2-mobile""]/div/ul/li/ul/ul/li[7]_SEL","//*[@aria-labelledby=""footer-mobile""]/li[1]/ul[1]/ul[1]/li[2]_RELOC","xpath//*[@id=""block-box-shiny-footerlinks-v2-mobile""]/div/ul/li/ul/ul/li[2]_SEL"
0,20220307175247,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,1,2,2,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
1,20220308173135,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,1,2,2,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
2,20220309225747,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,1,2,2,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
3,20220312214750,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,0,2,2,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
4,20220313201246,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,0,2,2,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
5,20220316170522,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,0,2,2,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
6,20220318185715,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,0,2,4,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
7,20220319153925,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,0,2,4,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
8,20220320084850,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,0,2,4,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
9,20220321190733,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,0,2,4,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
10,20220322155122,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,0,2,4,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
11,20220323185709,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,0,2,4,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
12,20220325181506,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,0,2,4,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
13,20220326215050,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,0,2,4,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
14,20220327220354,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,0,2,4,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
15,20220328234732,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,0,2,4,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
16,20220329211912,1,2,1,8,1,1,39,1,1,2,2,1,1,1,39,8,1,1,1,1,3,1,0,2,4,1,2,2,1,1,1,9,1,1,2,1,2,1,6,1,1,10,1,1,1,1,1,2,1,2,1,2
