,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" O8yWKw "")]/li[3]/div[1]_RELOC",class name_6_YRmw_SEL,"xpath//*[@id=""root""]/div/main/div[5]/div/div/ul/li[3]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" kkLD2A "")]//*[@tabindex=""-1""]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" eLB6bw "")][1]/ul[1]/li[58]/a[1]/div[1]/span[1]/span[1]_RELOC",class name_1LFr0Q_SEL,"xpath//*[@id=""root""]/div/div[5]/div[2]/footer/div/div/div/div/div/span/div/div/div[2]/ul/li[58]/a/div/span/span_SEL","//*[@style=""transform:translateY(0px);min-height:0px""]/div[1]//*[@tabindex=""-1""]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" eLB6bw "")][1]/ul[1]/li[34]/a[1]/div[1]/span[1]/span[1]_RELOC","xpath//*[@id=""root""]/div/div[5]/div/footer/div/div/div/div/div/div/span/div/div/div[2]/ul/li[34]/a/div/span/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" QyW-aA "")]/div[5]_RELOC",class name_6WahTQ_SEL,"xpath//*[@id=""root""]/div/main/div[3]/div/div/div/div[3]/div/div[5]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" an_NAA "")]/li[4]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/ul[1]/li[6]_RELOC",class nameL6S-tg_SEL,"xpath//*[@id=""root""]/div/div[3]/div/div[2]/header/div[3]/nav/ul/li[4]/div/div[2]/div/div/div/div/ul/li[6]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" kkLD2A "")]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" _9Lyqvw "")][1]/div[1]_RELOC",class namekV7DUQ_SEL,"xpath//*[@id=""root""]/div/div[5]/div[2]/footer/div/div/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" O8yWKw "")]/li[3]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" _4oqa3w "")][1]/a[1]/div[1]_RELOC",class name_-pFsfA_SEL,"xpath//*[@id=""root""]/div/main/div[5]/div/div/ul/li[3]/div/div[2]/a/div_SEL","//*[@data-num-thumbnails=""15""]/div[1]/div[1]/div[1]/div[1]/div[1]_RELOC",class nameoDHgrA_SEL,"xpath//*[@id=""root""]/div/main/div[3]/div/div/div/div[3]/div/div[6]/div/div/div/div/div/div/div/div/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" an_NAA "")]/li[6]/div[1]//*[@style=""left:-0px""]/div[1]/div[1]/div[5]/ul[1]/li[1]/div[1]/a[1]/div[1]/div[1]/div[1]/div[1]_RELOC",class namef77EhQ_SEL,"xpath//*[@id=""root""]/div/div[3]/div/div[2]/header/div[3]/nav/ul/li[6]/div/div[2]/div/div/div/div[5]/ul/li/div/a/div/div/div/div_SEL","//*[@style=""transform:translateY(0px);min-height:0px""]/div[1]//*[@tabindex=""-1""]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" eLB6bw "")][1]/ul[1]/li[27]_RELOC","xpath//*[@id=""root""]/div/div[5]/div/footer/div/div/div/div/div/div/span/div/div/div[2]/ul/li[27]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" oZDgBA "")]/div[2]/div[1]/div[1]/ul[1]/li[6]_RELOC",class name_M4uTQ_SEL,"xpath//*[@id=""root""]/div/div[5]/div/footer/div/nav/div[2]/div/div/ul/li[6]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" uGmi4w "")]/div[3]/button[1]/div[1]_RELOC",class nameZyDd4A_SEL,"xpath//*[@id=""root""]/div/main/div/div/div/div[2]/div[3]/div/div/div/div[3]/button/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" l_XVfA "")]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" Sn2Zbw "")][1]/div[2]/div[5]/div[1]/div[1]/article[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" _9uvTPg "")][1]/div[1]_RELOC",class nameJyB_vw_SEL,"xpath//*[@id=""root""]/div/main/div[6]/div/div[2]/div[2]/div[5]/div/div/article/div[2]/div_SEL","//*[@style=""transform:translateY(0px);min-height:0px""]/div[1]/div[3]_RELOC",class namelr2JSw_SEL,"xpath//*[@id=""root""]/div/div[5]/div/footer/div/div/div/div[3]_SEL","//*[@style=""transform:translateY(0px);min-height:0px""]/div[1]//*[@aria-expanded=""false""]/div[1]_RELOC",class nameFJSIWg_SEL,"xpath//*[@id=""root""]/div/div[5]/div/footer/div/div/div/div/div/div/div/button/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" an_NAA "")]/li[1]/div[1]/a[1]/span[1]/div[1]/span[1]/*[@aria-hidden=""true""][1]_RELOC",class namehdz69w_SEL,"xpath//*[@id=""root""]/div/div[3]/div/div[2]/header/div[3]/nav/ul/li/div/a/span/div/span/span[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" kkLD2A "")]//*[@tabindex=""-1""]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" eLB6bw "")][1]/ul[1]/li[96]/a[1]/div[1]_RELOC",class namevH6Kyg_SEL,"xpath//*[@id=""root""]/div/div[5]/div[2]/footer/div/div/div/div/div/span/div/div/div[2]/ul/li[96]/a/div_SEL","//*[@style=""transform:translateY(0px);min-height:0px""]/div[1]//*[@tabindex=""-1""]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" eLB6bw "")][1]/ul[1]/li[37]/a[1]/div[1]_RELOC","xpath//*[@id=""root""]/div/div[5]/div/footer/div/div/div/div/div/div/span/div/div/div[2]/ul/li[37]/a/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" an_NAA "")]/li[4]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/ul[1]/li[7]_RELOC","xpath//*[@id=""root""]/div/div[3]/div/div[2]/header/div[3]/nav/ul/li[4]/div/div[2]/div/div/div/div/ul/li[7]_SEL","//*[@style=""transform:translateY(0px);min-height:0px""]/div[1]//*[@tabindex=""-1""]/div[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" eLB6bw "")][1]/ul[1]/li[24]/a[1]/div[1]/span[1]/span[1]_RELOC","xpath//*[@id=""root""]/div/div[5]/div/footer/div/div/div/div/div/div/span/div/div/div[2]/ul/li[24]/a/div/span/span_SEL"
0,20220203223538,1,3,1,1,210,1,1,1,1,6,1,1,280,1,1,72,1,1,37,1,1,54,1,1,15,1,1,1,1,96,1,1,8,1,1,22,1,1,2,1,1,2,1,1,6,5,1,263,1,1,1,1,1,1,1
1,20220204234750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20220205192414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,20220206210321,1,3,1,1,208,1,1,1,1,6,1,1,278,1,1,72,1,1,37,1,1,54,1,1,15,1,1,1,1,96,1,1,8,1,1,22,1,1,2,1,1,2,1,1,6,5,1,261,1,1,1,1,1,1,1
4,20220207224611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,20220208233447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20220209235635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20220210232536,1,3,1,1,208,1,1,1,1,6,1,1,278,1,1,72,1,1,37,1,1,54,1,1,15,1,1,1,1,94,1,1,8,1,1,22,1,1,2,1,1,2,1,1,6,5,1,261,1,1,1,1,1,1,1
8,20220211230054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20220212223420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20220213210732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,20220214230622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,20220215204718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,20220216222518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,20220217235630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,20220218193905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20220219191131,1,3,1,1,208,1,1,1,1,6,1,1,278,1,1,72,1,1,37,1,1,54,1,1,15,1,1,1,1,94,1,1,8,1,1,22,1,1,2,1,1,2,1,1,6,5,1,261,1,1,1,1,1,1,1
17,20220220221900,1,3,1,1,208,1,1,1,1,6,1,1,278,1,1,72,1,1,37,1,1,54,1,1,15,1,1,1,1,94,1,1,8,1,1,22,1,1,2,1,1,2,1,1,6,5,1,261,1,1,1,1,1,1,1
18,20220221235650,1,3,1,1,208,1,1,1,1,6,1,1,278,1,1,72,1,1,37,1,1,54,1,1,15,1,1,1,1,94,1,1,8,1,1,22,1,1,2,1,1,2,1,1,6,5,1,261,1,1,1,1,1,1,1
19,20220222234020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20220223233649,1,3,1,1,208,1,1,1,1,6,1,1,278,1,1,72,1,1,37,1,1,54,1,1,15,1,1,1,1,94,1,1,8,1,1,22,1,1,2,1,1,2,1,1,6,5,1,261,1,1,1,1,1,1,1
21,20220224235319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,20220225222532,1,3,1,1,208,1,1,1,1,6,1,1,278,1,1,72,1,1,37,1,1,54,1,1,15,1,1,1,1,94,1,1,8,1,1,22,1,1,2,1,1,2,1,1,6,5,1,261,1,1,1,1,1,1,1
23,20220226231641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,20220227224751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,20220228234816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,20220301213248,1,3,1,1,208,1,1,1,1,6,1,1,278,1,1,52,1,1,37,1,1,54,1,1,15,1,1,1,1,94,1,1,8,1,1,22,1,1,2,1,1,2,1,1,6,5,1,261,1,1,1,1,1,1,1
