,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__module-footer__section--container"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__module-footer__section--tiles"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" seo-content"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" seocontent"")][2]//*[@aria-hidden=""true""]_RELOC",class namefooter__module-footer__section--tile__icon_SEL,xpath//html/body/div/footer/div/div[2]/div/div/div[2]/div/div/div[2]/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" header-navigation__contact--links"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" header-navigation__contact--link"")][3]_RELOC",class nameheader-navigation__contact--link_SEL,xpath//html/body/div/noscript/div/div/div/header/section[2]/section/section[2]/nav/ul/li[3]_SEL,"//*[@id=""product-customer-service""]//*[@data-pt-name=""hd_sm_fs_findatm""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__secondary__prim--title"")][1]_RELOC",class namesidemenunav__secondary__prim--title_SEL,"xpath//*[@id=""product-customer-service""]/div/ul[2]/li[3]/a/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" homepageheader"")]_RELOC",class namehomepageheader_SEL,xpath//html/body/div/noscript/div/div/div_SEL,"//*[@id=""product-sidenav-3""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__secondary__prim"")][1]/ul[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__secondary__prim--link"")][7]_RELOC",class namesidemenunav__secondary__prim--link_SEL,"xpath//*[@id=""product-sidenav-3""]/div/ul/li[7]_SEL","//*[@id=""contact-2""]/*[@role=""menu""][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" header-navigation__dropdown--last-link"")][1]_RELOC",class nameheader-navigation__dropdown--last-link_SEL,"xpath//*[@id=""contact-2""]/ul/li[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" country-banner__wrapper__text"")]_RELOC",class namecountry-banner__wrapper__text_SEL,xpath//html/body/div/div[2]/div/div/div/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" country-banner__wrapper__dismiss--btn"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" accessible-text"")][1]_RELOC",class nameaccessible-text_SEL,xpath//html/body/div/div[2]/div/div/div/div[2]/a/span[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" disclosuremodal"")]_RELOC",class namedisclosuremodal_SEL,xpath//html/body/div/div[6]_SEL,"//*[@id=""product-sidenav-1""]//*[@data-pt-name=""hd_sm_fs_compsav""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__secondary__prim--title"")][1]_RELOC","xpath//*[@id=""product-sidenav-1""]/div/ul/li[2]/a/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" browser-message__content--supported"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" browser-message__desc"")][1]_RELOC",class namebrowser-message__desc_SEL,xpath//html/body/div/div/div/div/div/div/div[2]/div[2]_SEL,"//*[@id=""product-sidenav-1""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__secondary__prim"")][1]/ul[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__secondary__prim--link"")][1]_RELOC","xpath//*[@id=""product-sidenav-1""]/div/ul/li[3]_SEL","//*[@data-id=""product-customer-service""]_RELOC",class namesidemenunav__prim--links_SEL,"xpath//*[@id=""side-menu-header""]/section[4]/div[2]/ul/li[2]/button_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__module-footer__section--container"")]_RELOC",class namefooter__module-footer__section--container_SEL,xpath//html/body/div/footer/div/div[2]/div/div/div[2]_SEL,"//*[@data-speedbump-type=""default""]_RELOC",class nameglobal-overlay_SEL,xpath//html/body/div/div[7]/div_SEL,"//footer[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" footer"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" feature-container"")][2]_RELOC",class namefeature-container_SEL,xpath//html/body/div/footer/div/div[3]_SEL,"//*[@id=""side-menu-header""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__section"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__prim"")][1]/ul[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" sidemenunav__prim--link"")][1]_RELOC",class namesidemenunav__prim--link_SEL,"xpath//*[@id=""side-menu-header""]/section[3]/div/ul/li_SEL","//*[@id=""product-customer-service""]_RELOC",idproduct-customer-service_SEL,class namesidemenunav__secondary--section__submenu_SEL,"xpath//*[@id=""product-customer-service""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__module-footer__section__followus--links"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__module-footer__section__followus--link"")][2]_RELOC",class namefooter__module-footer__section__followus--link_SEL,xpath//html/body/div/footer/div/div/div/div/div[2]/ul/li[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__module-footer__section--footer-links"")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" footer__module-footer__section--footer-link"")][7]_RELOC",class namefooter__module-footer__section--footer-link_SEL,xpath//html/body/div/footer/div/div[3]/div/div/div/ul/li[7]_SEL
0,20220313211027,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
1,20220314234406,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
2,20220315234530,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
3,20220316231609,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
4,20220317233032,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
5,20220318213822,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
6,20220319205848,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
7,20220320191506,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
8,20220321234146,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
9,20220322223346,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
10,20220323201727,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
11,20220324222521,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
12,20220325233359,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
13,20220326223557,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
14,20220327210559,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
15,20220328235555,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
16,20220329195751,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
17,20220330234259,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
18,20220331225854,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
19,20220401221315,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
20,20220402233158,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,14,1,1,1,1,0,0,1,2,1,0,0,0,59,0,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,1,6,1,1,13,1
