,Timestamp,"//*[@id=""modalID""]//*[@role=""document""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-body"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-body-content"")][1]/p[1]_RELOC","xpath//*[@id=""modalID""]/div/div[2]/div[2]/div/div[2]/p_SEL","//*[@id=""citi-modal-8240""]/*[@tabindex=""-1""][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" cdk-visually-hidden"")][1]_RELOC",class namecdk-visually-hidden_SEL,"xpath//*[@id=""citi-modal-8240""]/div/div_SEL","//app-module-one[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" mod-one"")][1]_RELOC",class namemod-one_SEL,id_SEL,"xpath//*[@id=""""]_SEL","//citi-input[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-xs-12"")][1]/div[1]/div[1]/div[1]_RELOC","xpath//*[@id=""modal""]/div/div[2]/div[2]/div/div[2]/div/div/citi-input/div/div/div/div_SEL","//citi-jamp[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" fillHeight"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" alignmentEl"")][1]_RELOC",class namealignmentEl_SEL,"xpath//*[@id=""maincontent""]/div/div/div/app-landingpage/div/citi-simple-layout/div/app-hero/div/div/nga-login/citi-jamp/div/div_SEL","//*[@id=""maincontent""]/div[1]/div[1]/div[1]_RELOC",class nameappbody_SEL,"xpath//*[@id=""maincontent""]/div/div/div_SEL","//*[@id=""qrCodeModal_Nga""]/*[@tabindex=""-1""][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-content"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-footer"")][1]_RELOC",class namemodal-footer_SEL,"xpath//*[@id=""qrCodeModal_Nga""]/div/div[2]/div[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" ct-banner-alert-box"")]_RELOC",class namect-banner-alert-box_SEL,"xpath//*[@id=""clearuser-alert-id""]/citi-banner-alert/div/div_SEL","//citi-showcase[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" showcase"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container-fluid"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" text-center"")][1]/citi-text-header[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" hidden"")][1]_RELOC",class namehidden_SEL,"xpath//*[@id=""threeUpContainer""]/citi-showcase/section/div/div/citi-text-header/span_SEL","//*[@id=""clearUserIdModal""]/*[@tabindex=""-1""][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-content"")][1]_RELOC",class namemodal-content_SEL,"xpath//*[@id=""clearUserIdModal""]/div/div[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" heroContainer"")]/div[1]_RELOC","xpath//*[@id=""maincontent""]/div/div/div/app-landingpage/div/citi-simple-layout/div/app-hero/div/div_SEL","//*[@id=""qrCodeModal_Nga""]//*[@role=""document""]_RELOC","xpath//*[@id=""qrCodeModal_Nga""]/div/div[2]/div[2]_SEL","//citi-showcase[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" showcase"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container-fluid"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-xs-12"")][1]_RELOC",class namecol-xs-12_SEL,"xpath//*[@id=""threeUpContainer""]/citi-showcase/section/div/div[2]/div/div[3]_SEL","//*[@role=""main""]_RELOC","xpath//*[@id=""maincontent""]/div/div/div/app-landingpage/div_SEL","//*[@id=""modOneContainer""]_RELOC",idmodOneContainer_SEL,class namecontainer_SEL,"xpath//*[@id=""modOneContainer""]_SEL","//*[@id=""qrCodeModal_Nga""]/*[@tabindex=""-1""][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-content"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-header"")][1]_RELOC",class namemodal-header_SEL,"xpath//*[@id=""qrCodeModal_Nga""]/div/div[2]/div_SEL","//*[@id=""citi-modal-8240""]/*[@tabindex=""-1""][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-content"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-footer"")][1]_RELOC","xpath//*[@id=""citi-modal-8240""]/div/div[2]/div[3]_SEL","//citi-signon2[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" theme-light"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" username-input"")][1]_RELOC",class nameusername-input_SEL,"xpath//*[@id=""logInForm""]/form/div/citi-signon2/section/div[2]/div_SEL","//*[@idstr=""safeMode""]/div[1]_RELOC","xpath//*[@id=""maincontent""]/div/div/div/app-landingpage/div/citi-simple-layout/div/app-hero/div/div/nga-login/citi-modal[2]/div_SEL","//*[@id=""safeMode""]/*[@tabindex=""-1""][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-content"")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" modal-header"")][1]_RELOC","xpath//*[@id=""safeMode""]/div/div[2]/div_SEL"
0,20220319084601,1,1,1,12,3,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,1,1,1,1,2,1,1,1,3
1,20220320190859,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
2,20220321095002,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
3,20220322205342,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
4,20220323181320,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
5,20220324190449,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
6,20220325183009,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
7,20220326200705,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
8,20220327213212,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
9,20220328222609,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
10,20220329225002,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
11,20220330233646,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
12,20220331233441,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
13,20220401234016,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
14,20220402211943,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
15,20220403190521,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
16,20220404215644,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
17,20220405220452,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
18,20220406233527,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
19,20220407222612,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
20,20220408230359,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
21,20220409220023,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
22,20220410224331,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
23,20220411223745,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
24,20220412232206,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
25,20220413231452,1,1,0,12,0,1,1,0,3,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,5,1,1,6,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,6,3,0,0,1,1,2,1,1,1,3
