,0
0,20220105093052
1,20220113081620
2,20220128091813
3,20220129223158
4,20220204205826
5,20220207200436
6,20220208232502
7,20220215150423
8,20220225140933
9,20220226152309
10,20220227164400
11,20220228184053
12,20220301192129
13,20220306003729
14,20220313121436
15,20220315173727
16,20220317070614
17,20220318120947
18,20220321093218
19,20220323133152
20,20220327000233
21,20220328201024
22,20220329063621
23,20220330054511
24,20220331182829
25,20220402202251
26,20220408160301
27,20220411135226
28,20220415154321
29,20220417172003
30,20220418175538
31,20220419185603
32,20220420191541
33,20220421213300
34,20220423203859
35,20220426222751
36,20220427230417
37,20220428232130
38,20220429234847
39,20220502041341
40,20220503045110
41,20220504054724
42,20220506065321
43,20220507072542
44,20220512174030
45,20220513112627
46,20220516122909
47,20220522163521
48,20220523181555
49,20220524190203
50,20220525184315
51,20220526190208
52,20220529212745
53,20220530213157
54,20220531214206
55,20220602224710
56,20220609165033
57,20220610200840
58,20220612195641
59,20220614211448
60,20220626092207
61,20220628213323
62,20220630090342
63,20220707154209
64,20220709200023
65,20220710235334
66,20220719024740
67,20220722093637
68,20220724214546
69,20220725234943
70,20220726224506
71,20220728234704
72,20220730004021
73,20220731155602
74,20220801102406
75,20220802025746
76,20220803032904
77,20220804101719
78,20220805042735
79,20220807074748
80,20220808060643
81,20220809064526
82,20220810071206
83,20220812081557
84,20220814092340
85,20220815124240
86,20220816114441
87,20220818170100
88,20220820091101
89,20220822044108
