,0
0,20220201232701
1,20220204235247
2,20220213235256
3,20220215191343
4,20220216225912
5,20220221235339
6,20220222145247
7,20220228162422
8,20220307235542
9,20220308235150
10,20220313235116
11,20220328235136
12,20220406225222
13,20220427235131
14,20220428215146
15,20220501235127
16,20220502235133
17,20220503235114
18,20220504235114
19,20220505235332
20,20220506235131
21,20220507225149
22,20220508235127
23,20220511145424
24,20220512235114
25,20220513235110
26,20220514235147
27,20220515235318
28,20220516235114
29,20220517225128
30,20220518235128
31,20220519235202
32,20220520235145
33,20220521235226
34,20220522225115
35,20220523235104
36,20220524235109
37,20220525235107
38,20220526235134
39,20220527235141
40,20220528235122
41,20220529235143
42,20220530235159
43,20220531235128
44,20220601235124
45,20220602235121
46,20220603235147
47,20220604235142
48,20220605235108
49,20220606235113
50,20220607225211
51,20220608232629
52,20220609135136
53,20220610235148
54,20220611235119
55,20220612235132
56,20220613235134
57,20220614215738
58,20220615172721
59,20220616224928
60,20220619235114
61,20220620235050
62,20220621235313
63,20220622235045
64,20220623235044
65,20220624230126
66,20220625235217
67,20220626235118
68,20220627225109
69,20220628235100
70,20220629225332
71,20220630222116
72,20220701112909
73,20220702235146
74,20220703235223
75,20220704200600
76,20220705224054
77,20220706231015
78,20220707204735
79,20220708235725
80,20220709235100
81,20220710225127
82,20220711144740
83,20220712003049
84,20220713230038
85,20220721120149
86,20220722111534
87,20220723213239
88,20220724222105
89,20220725222242
90,20220726201853
91,20220727212306
92,20220728220323
93,20220801222255
94,20220802233825
95,20220803235547
96,20220804235740
97,20220805232241
98,20220806174903
99,20220807222950
100,20220808221915
101,20220809161930
102,20220810220656
103,20220811224808
104,20220812235332
105,20220813231225
106,20220814235406
107,20220815235030
108,20220816235029
109,20220817235036
110,20220818235052
111,20220819135040
