,0
0,20211228114005
1,20211230143755
2,20220103195047
3,20220107112705
4,20220109110348
5,20220111143408
6,20220112155230
7,20220113185256
8,20220114061710
9,20220116145908
10,20220117145144
11,20220118204106
12,20220124213424
13,20220125215228
14,20220126235301
15,20220127000031
16,20220128102655
17,20220129223329
18,20220131194716
19,20220201205224
20,20220202120844
21,20220203004731
22,20220204091347
23,20220205051853
24,20220206060446
25,20220208121602
26,20220209024404
27,20220210044347
28,20220211055537
29,20220212092814
30,20220213144105
31,20220214155657
32,20220215201214
33,20220216080611
34,20220217161227
35,20220218142723
36,20220219143938
37,20220220001120
38,20220221123439
39,20220222161342
40,20220223104106
41,20220224153646
42,20220225102513
43,20220226115420
44,20220227163424
45,20220228145316
46,20220301172425
47,20220302182300
48,20220303201400
49,20220304224644
50,20220305235513
51,20220307010348
52,20220308012343
53,20220309125010
54,20220310163051
55,20220311170152
56,20220312180423
57,20220313200838
58,20220315003633
59,20220317131850
60,20220318041039
61,20220319060416
62,20220320084400
63,20220321101306
64,20220322115300
65,20220323132129
66,20220324153842
67,20220325172710
68,20220326210254
69,20220327220126
70,20220328234141
71,20220329210810
72,20220330215659
73,20220331230102
74,20220401072112
75,20220402005052
76,20220403122243
77,20220404030214
78,20220405211859
79,20220406052018
80,20220408165151
81,20220409170655
82,20220410173857
83,20220411180352
84,20220412184010
85,20220413194807
86,20220414202927
87,20220415210730
88,20220416214617
89,20220417221413
90,20220418230924
91,20220419235014
92,20220421143302
93,20220422011658
94,20220423204520
95,20220424113308
96,20220425235000
97,20220426051447
98,20220427055240
99,20220428161528
100,20220429073233
101,20220430085204
102,20220501071143
103,20220502075717
104,20220503083153
105,20220504102503
106,20220505160810
107,20220506205424
108,20220507205758
109,20220508001917
110,20220509162159
111,20220510171905
112,20220511173015
113,20220512214111
114,20220513223219
115,20220514225116
116,20220515233748
117,20220517000413
118,20220518013238
119,20220519180802
120,20220520174306
121,20220521152735
122,20220522062501
123,20220523183244
124,20220524074151
125,20220525083821
126,20220526110641
127,20220527121216
128,20220528134619
129,20220529121933
130,20220530135649
131,20220531145052
132,20220601162646
133,20220602200634
134,20220603203130
135,20220604204936
136,20220605211515
137,20220606214708
138,20220607223235
139,20220608231133
140,20220609234948
141,20220611010222
142,20220612011931
143,20220613023209
144,20220614031250
145,20220615190752
146,20220616161518
147,20220618210406
148,20220621065314
149,20220622152010
150,20220624090008
151,20220625191351
152,20220629150523
153,20220630162044
154,20220701042520
155,20220705164231
156,20220707185909
157,20220709011225
158,20220710141255
159,20220711195522
160,20220715125648
161,20220716190018
162,20220722050328
163,20220723112202
164,20220724121302
165,20220725161051
166,20220726162633
167,20220727202351
168,20220729014332
169,20220730025636
170,20220731073509
171,20220801081950
172,20220802142052
173,20220803150305
174,20220804155925
175,20220805165556
176,20220806193410
177,20220807175749
178,20220808181804
179,20220809211116
180,20220810214653
181,20220811090054
182,20220812000534
183,20220813025349
184,20220814070443
185,20220815074612
186,20220816083223
187,20220817092051
188,20220818112424
