,0
0,20220219052912
1,20220221090027
2,20220223183308
3,20220224160419
4,20220225165049
5,20220226133919
6,20220227223103
7,20220228200414
8,20220301182731
9,20220302231926
10,20220304214151
11,20220305215531
12,20220306210845
13,20220307184820
14,20220308231800
15,20220309233640
16,20220310185631
17,20220311221529
18,20220312155920
19,20220314231400
20,20220315213307
21,20220316191733
22,20220317205542
23,20220318174324
24,20220320215404
25,20220321153906
26,20220322233739
27,20220323195405
28,20220324235239
29,20220325231008
30,20220326095523
31,20220327233753
32,20220328155901
33,20220330221635
34,20220331205346
35,20220401191208
36,20220402224818
37,20220403175337
38,20220404215940
39,20220405225606
40,20220406211410
41,20220407155415
42,20220408155057
43,20220411154606
44,20220412221957
45,20220413233908
46,20220414203715
47,20220416123049
48,20220417213052
49,20220418205920
50,20220419221913
51,20220420233428
52,20220422162407
53,20220423222156
54,20220424201423
55,20220425224418
56,20220427234107
57,20220428200830
58,20220429200113
59,20220501235235
60,20220503235307
61,20220504175610
62,20220505224016
63,20220506195316
64,20220508222629
65,20220509140351
66,20220510130459
67,20220511194940
68,20220512200712
69,20220514214639
70,20220515215211
71,20220516205029
72,20220518225820
73,20220520201823
74,20220521205744
75,20220522235707
76,20220523232935
77,20220524165422
78,20220525223607
79,20220526232320
80,20220527231708
81,20220530173107
82,20220531220158
83,20220601181147
84,20220604214106
85,20220605234344
86,20220606221911
87,20220607233251
88,20220608143004
89,20220609190857
90,20220611214549
91,20220612213656
92,20220614234603
93,20220617225709
94,20220618230930
95,20220619233449
96,20220622191759
97,20220623202654
98,20220624213502
99,20220625230803
100,20220626220336
101,20220627223603
102,20220628203810
103,20220629230608
104,20220630231911
105,20220702220828
106,20220703223857
107,20220706233820
108,20220707201647
109,20220708195514
110,20220709220807
111,20220710194037
112,20220711235551
113,20220712212922
114,20220713224718
115,20220714211338
116,20220715215455
117,20220716193112
118,20220717215555
119,20220718213834
120,20220719233601
121,20220720214435
122,20220721183448
123,20220722083025
124,20220723200736
125,20220724222244
126,20220725204734
127,20220726204135
128,20220727230832
129,20220728223020
130,20220729225257
131,20220730203133
132,20220731234942
133,20220801234921
134,20220803200235
135,20220804204107
136,20220805224911
137,20220806233338
138,20220807231319
139,20220808212126
140,20220810214917
141,20220812205758
142,20220814210600
143,20220815214312
144,20220816232143
145,20220818190439
146,20220820200908
147,20220821232344
148,20220822190649
149,20220823213328
150,20220824193150
151,20220825200207
152,20220827230520
153,20220828190955
154,20220829220216
155,20220831185705
156,20220903235257
157,20220904224410
158,20220906225042
159,20220907204434
160,20220910233043
161,20220911233054
162,20220912231512
163,20220914231733
164,20220915200344
165,20220916231616
166,20220917232146
167,20220918232726
168,20220919200552
169,20220920200111
