,0
0,20220203141816
1,20220204101721
2,20220205191747
3,20220206231748
4,20220211230854
5,20220213233716
6,20220216225706
7,20220228180638
8,20220306234558
9,20220310232535
10,20220312235445
11,20220314233835
12,20220315181656
13,20220316234825
14,20220317231718
15,20220322234101
16,20220327224602
17,20220328234107
18,20220331232053
19,20220401234325
20,20220402230013
21,20220403233630
22,20220404233932
23,20220405224409
24,20220406215010
25,20220407223803
26,20220408172212
27,20220409200156
28,20220410235958
29,20220411224701
30,20220412235426
31,20220413234949
32,20220414230756
33,20220415225958
34,20220416201701
35,20220417235633
36,20220418232904
37,20220419234048
38,20220420234447
39,20220421224153
40,20220422231322
41,20220423231756
42,20220424224644
43,20220425220332
44,20220426231404
45,20220427225140
46,20220428171544
47,20220429210407
48,20220430230403
49,20220501233748
50,20220502160406
51,20220503235846
52,20220504212910
53,20220505221520
54,20220506233507
55,20220507222730
56,20220508200335
57,20220509201814
58,20220510231725
59,20220511234206
60,20220512224658
61,20220513234001
62,20220514213303
63,20220515225840
64,20220516230000
65,20220517221141
66,20220518213503
67,20220519234341
68,20220520225914
69,20220521234616
70,20220522231201
71,20220523233541
72,20220524232911
73,20220525204802
74,20220526223815
75,20220527220347
76,20220528220206
77,20220529234144
78,20220530202227
79,20220531224411
80,20220601213215
81,20220602214211
82,20220603223823
83,20220604234333
84,20220605224720
85,20220606233744
86,20220607204327
87,20220608185543
88,20220609225002
89,20220610225908
90,20220611193300
91,20220612203601
92,20220613192511
93,20220614214701
94,20220615225222
95,20220616235330
96,20220617220429
97,20220618201802
98,20220619195115
99,20220620173515
100,20220621234958
101,20220622235423
102,20220623230856
103,20220624222057
104,20220625235916
105,20220626184408
106,20220627233617
107,20220628174156
108,20220629234819
109,20220630183322
110,20220701230906
111,20220702192556
112,20220703173910
113,20220704222222
114,20220705230027
115,20220706233450
116,20220707225841
117,20220708235056
118,20220709224024
119,20220710225031
120,20220711230349
121,20220712235414
122,20220713233315
123,20220714120754
124,20220715152151
125,20220716123611
126,20220717152556
127,20220718062641
128,20220719130914
129,20220720121036
130,20220721183236
131,20220722235212
132,20220723221505
133,20220724221717
134,20220725234535
135,20220726224205
136,20220727214648
137,20220728193918
138,20220729222405
139,20220730215545
140,20220731234201
141,20220801224334
142,20220802234712
143,20220803212133
144,20220804235922
145,20220805234758
146,20220806202643
147,20220807151752
148,20220808230730
149,20220809170816
150,20220810225102
151,20220811173545
152,20220812233043
153,20220813220727
154,20220814224911
155,20220815235724
156,20220816222559
157,20220817224247
158,20220818173918
159,20220819014923
160,20220820061601
161,20220821112458
