,0
0,20220305225717
1,20220322231923
2,20220324134013
3,20220325231956
4,20220326094025
5,20220328124256
6,20220329133528
7,20220330203905
8,20220331224912
9,20220401223109
10,20220402231043
11,20220413082440
12,20220424204337
13,20220425161031
14,20220426164808
15,20220427234554
16,20220428181849
17,20220429183732
18,20220430192437
19,20220501200436
20,20220502204626
21,20220503153143
22,20220515223536
23,20220516224748
24,20220520211532
25,20220611210816
26,20220612215020
27,20220613222124
28,20220614225732
29,20220615235642
30,20220616234452
31,20220617190003
32,20220618214719
33,20220619233144
34,20220620213037
35,20220621234706
36,20220622234335
37,20220623235641
38,20220624191503
39,20220626234029
40,20220627223307
41,20220714205629
42,20220715204217
43,20220716223903
44,20220717194943
45,20220718211452
46,20220719222702
47,20220720164944
48,20220721104402
49,20220722205700
50,20220723210823
51,20220726192756
52,20220830234908
53,20220831203556
54,20220914191608
55,20220915225634
56,20220916202923
57,20220917210909
58,20220918212308
59,20220919234442
60,20220920004957
