,0
0,20211022222456
1,20211023161924
2,20211024074814
3,20211026072859
4,20211027045839
5,20211030212955
6,20211101070109
7,20211102030340
8,20211104081641
9,20211108031031
10,20211109062039
11,20211111050409
12,20211112032726
13,20211113080957
14,20211114092422
15,20211115012308
16,20211116114643
17,20211117230329
18,20211118134723
19,20211120150911
20,20211122064539
21,20211123055436
22,20211124104641
23,20211126045119
24,20211127071148
25,20211128101755
26,20211129074026
27,20211202101727
28,20211203091505
29,20211205060157
30,20211207061822
31,20211208120208
32,20211210180151
33,20211211055954
34,20211213223914
35,20211215024745
36,20211216140651
37,20211217160806
38,20211219040704
39,20211220035316
40,20211221222455
41,20211222063051
42,20211223062846
43,20211224071155
44,20211225125942
45,20211228233215
46,20220102110400
47,20220104105338
48,20220105020134
49,20220107121840
50,20220108165001
51,20220109120820
52,20220110002732
53,20220111132804
54,20220112081431
55,20220113120134
56,20220114073708
57,20220116142743
58,20220118002624
59,20220119060247
60,20220120142020
61,20220121154235
62,20220122164759
63,20220123031902
64,20220124205410
65,20220125195739
66,20220126152155
67,20220127041526
68,20220130160952
69,20220131103549
70,20220201202935
71,20220202190534
72,20220204135832
73,20220205112109
74,20220206113925
75,20220207054716
76,20220209201415
77,20220210170709
78,20220214105211
79,20220216220350
80,20220217211021
81,20220222103824
82,20220224223058
83,20220225071341
84,20220228065659
85,20220303210350
86,20220304220546
87,20220305160554
88,20220306104728
89,20220307143350
90,20220308222537
91,20220309211457
92,20220311224845
93,20220312151149
94,20220313122738
95,20220314105919
96,20220315221945
97,20220317041619
98,20220318060525
99,20220319130016
100,20220320133107
101,20220321160837
102,20220323101704
103,20220324161124
104,20220326004855
105,20220327101145
106,20220328123228
107,20220331181637
108,20220401141713
109,20220402202754
110,20220403043753
111,20220404003335
112,20220406211731
113,20220409065422
114,20220413182730
115,20220416071346
116,20220423144341
117,20220424055644
118,20220428105151
119,20220429124206
120,20220430093707
121,20220502133706
122,20220505040653
123,20220507093109
124,20220508153405
125,20220509041102
126,20220510054547
127,20220513134607
128,20220514150328
129,20220515065856
130,20220516102600
131,20220517083428
132,20220518121453
133,20220519110718
134,20220520234734
135,20220522103431
136,20220525053819
137,20220527131115
138,20220528080908
139,20220529194906
140,20220530171910
141,20220531233553
142,20220602071713
143,20220604112339
144,20220605125050
145,20220611113735
146,20220612154747
147,20220613114611
148,20220615074737
149,20220616071738
150,20220618033728
151,20220619020238
152,20220620114830
153,20220621053905
154,20220622041645
155,20220624053500
156,20220625170439
157,20220626103101
158,20220705122222
159,20220706112249
160,20220707113432
161,20220709102732
162,20220710063252
163,20220711120611
164,20220712055900
165,20220714122959
166,20220717072859
167,20220718001634
168,20220719145707
169,20220724233304
170,20220725072100
171,20220726160419
172,20220727203216
173,20220730072547
174,20220801085631
175,20220802023732
176,20220803062249
177,20220809100852
178,20220810044012
179,20220813062849
180,20220814162231
181,20220815113403
182,20220816111913
183,20220817134703
184,20220819094745
185,20220822071847
186,20220824085110
187,20220902031516
188,20220905022911
189,20220911054448
190,20220912115637
191,20220914111854
192,20220916071031
193,20220918054136
