,0
0,20220310161700
1,20220311224106
2,20220312230413
3,20220313235139
4,20220314233922
5,20220315235606
6,20220316234124
7,20220317190425
8,20220318173059
9,20220319235323
10,20220320234820
11,20220321230631
12,20220322054337
13,20220323203630
14,20220324134014
15,20220325234736
16,20220326172951
17,20220327225355
18,20220328235834
19,20220329231118
20,20220330112606
21,20220331221036
22,20220401210248
23,20220402231211
24,20220403214925
25,20220404115505
26,20220405234337
27,20220406215247
28,20220407162948
29,20220408154126
30,20220409211758
31,20220410212401
32,20220411203414
33,20220412205821
34,20220413004413
35,20220414230517
36,20220415231603
37,20220416170719
38,20220417234310
39,20220418224003
40,20220419072713
41,20220420170402
42,20220421173812
43,20220422235605
44,20220423205942
45,20220424225551
46,20220425104907
47,20220426231858
48,20220427175158
49,20220428194057
50,20220429202719
51,20220430213432
52,20220501234042
53,20220502111211
54,20220503104321
55,20220504164411
56,20220505232450
57,20220506203046
58,20220507215826
59,20220508205824
60,20220509180928
61,20220510203453
62,20220511205552
63,20220512220446
64,20220513225634
65,20220514220850
66,20220515235749
67,20220516231502
68,20220517195858
69,20220518112251
70,20220519191513
71,20220520201958
72,20220521173626
73,20220522214602
74,20220523195159
75,20220524213324
76,20220525072627
77,20220526155835
78,20220527195922
79,20220528194124
80,20220529201955
81,20220530192956
82,20220531224440
83,20220601161511
84,20220602194654
85,20220603202938
86,20220604234101
87,20220605221703
88,20220606154056
89,20220607182738
90,20220608222505
91,20220609215147
92,20220610220250
93,20220611190400
94,20220612204318
95,20220613215650
96,20220614210331
97,20220615211025
98,20220616204817
99,20220617204931
100,20220618224754
101,20220619232216
102,20220620225736
103,20220621230329
104,20220622232000
105,20220623233224
106,20220624224449
107,20220625221504
108,20220626234320
109,20220627194243
110,20220628214034
111,20220629110812
112,20220630212508
113,20220701212341
114,20220702131939
115,20220703193115
116,20220704104505
117,20220705220602
118,20220706225503
119,20220707175721
120,20220708222832
121,20220709233401
122,20220710225944
123,20220711192019
124,20220712223058
125,20220713185732
126,20220714210113
127,20220715204236
128,20220716212000
129,20220717222715
130,20220718154722
131,20220719200931
132,20220720182033
133,20220721113645
134,20220722082003
135,20220723185915
136,20220724215808
137,20220725234516
138,20220726185308
139,20220727194245
140,20220728165941
141,20220729113648
142,20220730162253
143,20220731092155
144,20220801101639
145,20220802233501
146,20220803165019
147,20220804154157
148,20220805085849
149,20220806165404
150,20220808214540
151,20220809193849
152,20220810163755
153,20220811073918
154,20220812135950
155,20220813234745
156,20220814041212
157,20220815161723
158,20220816195545
159,20220818211903
160,20220819233917
161,20220820173455
162,20220821193231
163,20220822195938
164,20220823204127
165,20220824012531
166,20220825140625
167,20220826194310
168,20220827184711
169,20220828205321
170,20220829212047
171,20220830215653
172,20220831220602
173,20220901223433
174,20220902222734
175,20220903223915
176,20220904230720
177,20220905180914
178,20220906224100
179,20220907062826
180,20220908063854
181,20220909071309
182,20220910115326
183,20220911152113
184,20220912225921
185,20220913231543
186,20220914160831
187,20220915104923
188,20220916160807
189,20220917154426
190,20220918223102
191,20220919181714
192,20220920140601
193,20220921161859
194,20220922144131
195,20220923110051
