,0
0,20220420185858
1,20220421215150
2,20220422202809
3,20220423205128
4,20220424205708
5,20220425212949
6,20220426221934
7,20220427225801
8,20220428172216
9,20220429183045
10,20220430184925
11,20220501192643
12,20220502174614
13,20220503181834
14,20220504185841
15,20220505205512
16,20220506223753
17,20220507215134
18,20220508210837
19,20220509212738
20,20220510214540
21,20220511222321
22,20220512223823
23,20220513231837
24,20220514235508
25,20220515234556
26,20220516042305
27,20220517224853
28,20220518232125
29,20220519215233
30,20220520222054
31,20220521222435
32,20220522223942
33,20220523232110
34,20220524181648
35,20220525081651
36,20220526191002
37,20220527101604
38,20220528210115
39,20220529205455
40,20220530123558
41,20220531144513
42,20220601003733
43,20220603063852
44,20220604074453
45,20220606004718
46,20220607090753
47,20220608085156
48,20220609171837
49,20220610184815
50,20220611114035
51,20220612123920
52,20220613213844
53,20220614110831
54,20220615115754
55,20220616115542
56,20220622124645
57,20220623174940
58,20220624163911
59,20220625213043
60,20220701142009
61,20220707100145
62,20220708055719
63,20220710195058
64,20220723201257
65,20220724203936
66,20220725215510
67,20220726233737
68,20220727155906
69,20220728150553
70,20220729161238
71,20220730013018
72,20220802032853
73,20220804042222
74,20220805200355
75,20220808192926
76,20220809070153
77,20220810112749
78,20220813154510
79,20220816180033
80,20220817184442
81,20220818184939
82,20220819145730
83,20220820195758
84,20220821164301
85,20220822173526
86,20220824205233
87,20220825224415
88,20220827231005
89,20220828232358
90,20220829212215
91,20220830205948
92,20220831003418
93,20220901004839
94,20220902012956
95,20220903021820
96,20220904060333
97,20220905030245
98,20220906032249
99,20220907041237
100,20220908042734
101,20220912060052
102,20220913073006
