,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" icon-service "")]_RELOC",class nameiconfont_SEL,"xpath//*[@id=""hw-navbar""]/ul/li[2]/div/div/div[4]/div/div/div[2]/a/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" copy-text "")]/ul[1]/li[3]_RELOC",xpath//html/body/footer/div[2]/div/div/ul/li[3]_SEL,"//*[@onclick=""ga('send','event', 'corp_hp_clicks', 'box_row2_right', 'watch_gt3');""]/div[1]/div[1]_RELOC",class namemask_SEL,xpath//html/body/div[4]/div[2]/div[3]/div[4]/a/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" new-font-box "")]/div[1]/div[1]/ul[1]/li[6]_RELOC",class namecol-md-3_SEL,"xpath//*[@id=""hw-navbar""]/ul/li/div/div/div[3]/div/div/div/ul/li[6]_SEL","//*[@data-target=""#header-list-5""]/div[1]_RELOC",class nameline_SEL,"xpath//*[@id=""hw-navbar""]/ul/li[3]/div/div/div[3]/div/div[2]/h3/div_SEL","//*[@id=""header-list-6""]/ul[1]/li[3]_RELOC","xpath//*[@id=""header-list-6""]/ul/li[3]_SEL","//*[@id=""header-list-10""]/ul[1]/li[2]_RELOC","xpath//*[@id=""header-list-10""]/ul/li[2]_SEL",//button[1]/span[3]_RELOC,class nameicon-bar_SEL,xpath//html/body/header/div/div/div/button/span[3]_SEL,"//*[@id=""header-list-14""]/ul[1]/li[3]_RELOC","xpath//*[@id=""header-list-14""]/ul/li[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" worldwide-contact "")]/ul[1]/li[8]_RELOC","xpath//*[@id=""worldwide""]/div/ul/li[8]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" js-search-keyword-pc "")]/ul[1]/li[3]_RELOC",xpath//html/body/div[3]/div[2]/ul/li[3]_SEL,"//*[@id=""header-list-8""]_RELOC",class namelist-nav_SEL,idheader-list-8_SEL,"xpath//*[@id=""header-list-8""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" worldwide-contact "")]/ul[1]/li[3]_RELOC","xpath//*[@id=""worldwide""]/div/ul/li[3]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" btn-shop "")]/div[1]/span[3]_RELOC",xpath//html/body/header/div/div/div[3]/div/div/span[3]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" nav-container "")]_RELOC",class namecontainer_SEL,xpath//html/body/header/div/div_SEL,"//*[@id=""header-list-9""]/ul[1]/li[6]_RELOC","xpath//*[@id=""header-list-9""]/ul/li[6]_SEL","//*[@id=""footer-search""]_RELOC",class namesearch-box_SEL,idfooter-search_SEL,"xpath//*[@id=""footer-search""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" worldwide-contact "")]/ul[1]/li[18]/span[1]_RELOC","xpath//*[@id=""worldwide""]/div/ul/li[18]/span_SEL","//*[@onclick=""ga('send', 'event', 'corp_hp_clicks', 'box_row3_left', 'global_recruitment');""]/div[1]/div[1]_RELOC",xpath//html/body/div[4]/div[2]/div[3]/div[5]/a/div/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" navbar-nav "")]/li[6]/div[1]/div[1]_RELOC",class namenav-ani_SEL,"xpath//*[@id=""hw-navbar""]/ul/li[6]/div/div_SEL"
0,20220320161437,1,22,3,1,1,1,15,5,1,9,10,1,18,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,6,1
1,20220321230639,1,22,3,1,1,1,15,5,1,9,10,1,18,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,6,1
2,20220322232719,1,22,3,1,1,1,15,5,1,9,10,1,18,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,6,1
3,20220323135454,1,22,3,1,1,1,15,5,1,9,10,1,18,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,6,1
4,20220324174216,1,22,3,1,1,1,15,5,1,9,10,1,18,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,6,1
5,20220325225125,1,22,3,1,1,1,15,5,1,9,10,1,18,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,6,1
6,20220326222242,1,22,3,1,1,1,15,5,1,9,10,1,18,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,6,1
7,20220327220808,1,22,3,1,1,1,15,5,1,9,10,1,18,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,6,1
8,20220328080011,1,22,3,1,1,1,15,5,1,9,10,1,18,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,6,1
9,20220329235143,1,22,3,1,1,1,15,5,1,9,10,1,18,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,6,1
10,20220330090159,1,22,3,1,1,1,15,0,1,9,10,1,18,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,19,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,6,1
11,20220331220704,1,22,3,1,1,1,15,5,1,9,10,1,18,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,6,1
12,20220401175434,1,22,3,1,1,1,15,5,1,9,10,1,18,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,6,1
13,20220402210206,1,22,3,1,1,1,15,5,1,9,10,1,18,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,6,1
14,20220404125846,1,22,3,1,1,1,15,5,1,9,10,1,18,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,6,1
