,0
0,20220411162038
1,20220412142402
2,20220413113957
3,20220414164947
4,20220415123925
5,20220416233926
6,20220417230125
7,20220418142221
8,20220419200739
9,20220420173103
10,20220421193042
11,20220422203347
12,20220423194505
13,20220424191118
14,20220425194020
15,20220426203934
16,20220427210910
17,20220428224734
18,20220429222220
19,20220430221818
20,20220501231719
21,20220502233500
22,20220503155742
23,20220504230547
24,20220505230224
25,20220506230309
26,20220507194441
27,20220508230653
28,20220509205922
29,20220510233032
30,20220511210910
31,20220512221750
32,20220513232123
33,20220514223259
34,20220515224043
35,20220516230909
36,20220517172153
37,20220518181241
38,20220519194153
39,20220520224434
40,20220521220606
41,20220522231057
42,20220523182441
43,20220524213143
44,20220525222447
45,20220526220940
46,20220527184437
47,20220528193030
48,20220529212219
49,20220530185811
50,20220531194746
51,20220601223202
52,20220602210338
53,20220603212336
54,20220604215423
55,20220605232738
56,20220606225753
57,20220607233133
58,20220608230703
59,20220609222906
60,20220610233455
61,20220611235838
62,20220612222227
63,20220613225234
64,20220614214321
65,20220615235145
66,20220616171409
67,20220617163330
68,20220618120414
69,20220619132733
70,20220620161724
71,20220621015215
72,20220622235112
73,20220623213749
74,20220624234929
75,20220625224907
76,20220626185012
77,20220627183941
78,20220628112654
79,20220629011654
80,20220630014345
81,20220701132016
82,20220702232827
83,20220703235518
84,20220705173755
85,20220706015641
86,20220707162917
87,20220708185206
88,20220709111946
89,20220710222058
90,20220711165016
91,20220712171052
92,20220713145554
93,20220714222342
94,20220715131903
95,20220716122455
96,20220717221356
97,20220718081417
98,20220719084942
99,20220720225923
100,20220721095926
101,20220722181815
102,20220723102358
103,20220724220212
104,20220725170108
105,20220726235635
106,20220727213132
107,20220728235617
108,20220729232017
109,20220730233541
110,20220731233510
111,20220801234059
112,20220802220320
113,20220803165150
114,20220804213247
115,20220805211146
116,20220806123206
117,20220807202153
118,20220808155606
119,20220809192722
120,20220810202332
121,20220811221446
122,20220812215331
123,20220813223608
124,20220814213706
125,20220815224546
126,20220816185437
127,20220817141122
128,20220818195320
129,20220819000327
130,20220820125029
131,20220821044235
132,20220822051850
