,0
0,20220228231834
1,20220301213230
2,20220302232839
3,20220303225625
4,20220304234017
5,20220305232928
6,20220307235340
7,20220308232732
8,20220309234011
9,20220310232905
10,20220311145138
11,20220312232954
12,20220314154509
13,20220315215410
14,20220316200449
15,20220319232319
16,20220320235409
17,20220321234433
18,20220324234017
19,20220325232822
20,20220327232938
21,20220329234443
22,20220331232834
23,20220403233459
24,20220404233341
25,20220405233519
26,20220407234703
27,20220408234345
28,20220409232845
29,20220410235903
30,20220411233348
31,20220412232819
32,20220415232929
33,20220416232815
34,20220417232812
35,20220418232815
36,20220419160250
37,20220421230841
38,20220422184134
39,20220423232823
40,20220425232811
41,20220430232824
42,20220501232851
43,20220503232933
44,20220505222911
45,20220506232826
46,20220508232810
47,20220509232558
48,20220510235944
49,20220512232930
50,20220513232831
51,20220514232807
52,20220515232848
53,20220517232850
54,20220518232846
55,20220520232811
56,20220521232831
57,20220522232827
58,20220525232813
59,20220529232821
60,20220607212904
61,20220610232833
62,20220620232812
63,20220624233023
64,20220625223031
65,20220628222822
66,20220703232038
67,20220704200634
68,20220706222529
69,20220708235745
70,20220709234440
71,20220713210331
72,20220715144335
73,20220722195924
74,20220724220302
75,20220725152232
76,20220726132256
77,20220728162904
78,20220729153823
79,20220802234345
80,20220809230735
81,20220812224145
82,20220821232816
83,20220905235208
84,20220908235238
85,20220912235225
