,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" top-banner "")]_RELOC",class nametop-banner_SEL,xpath//[document]/body/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" navbar-nav "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dropdown "")][3]_RELOC",class namedropdown_SEL,"xpath//*[@id=""bs-navbar""]/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" merchants "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content "")][1]/p[1]_RELOC",xpath//[document]/body/div[5]/div/div[2]/div/div/div[2]/p_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" logo "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" logo-capt "")][1]_RELOC",class namelogo-capt_SEL,xpath//[document]/body/div[3]/div/div/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-link "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-md-6 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-md-6 "")][2]_RELOC",class namecol-md-6_SEL,xpath//[document]/body/div[6]/div/div/div/div/div[2]_SEL,"//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/li[18]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[18]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" warehouse "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content-txt "")][1]_RELOC",class namestat-content-txt_SEL,xpath//[document]/body/div[5]/div/div[2]/div/div[4]/div[2]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" sr-only "")]_RELOC",class namesr-only_SEL,xpath//[document]/body/div[4]/div/div/div/span/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-link "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-md-6 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]_RELOC",class namerow_SEL,xpath//[document]/body/div[6]/div/div/div/div_SEL,"//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" indent-menu "")][6]_RELOC",class nameindent-menu_SEL,"xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[11]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" navigation "")]_RELOC",class namenavigation_SEL,xpath//[document]/body/div[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" navbar-nav "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dropdown "")][2]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[3]_SEL","//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/li[14]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[14]_SEL","//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/li[8]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[8]_SEL","//*[@id=""wm-media-curtain""]_RELOC",idwm-media-curtain_SEL,"xpath//*[@id=""wm-media-curtain""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" sidebar "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" warehouse "")][4]_RELOC",class namestat_SEL,xpath//[document]/body/div[5]/div/div[2]/div/div[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" collapsed "")]/span[4]_RELOC",class nameicon-bar_SEL,xpath//[document]/body/div[4]/div/div/div/span/span[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" warehouse "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content "")][1]_RELOC",class namestat-content_SEL,xpath//[document]/body/div[5]/div/div[2]/div/div[4]/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-link "")]_RELOC",class namefooter-link_SEL,xpath//[document]/body/div[6]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" container-fluid "")]_RELOC",class namecontainer-fluid_SEL,xpath//[document]/body/div[7]/div_SEL
0,20210416161115,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
1,20210417115020,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
2,20210418175159,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
3,20210419043353,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
4,20210420225516,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
5,20210421021625,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
6,20210422122808,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
7,20210424104336,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
8,20210425102054,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
9,20210426022739,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
10,20210427101826,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
11,20210428071008,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
12,20210429234807,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
13,20210430235953,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
14,20210501224552,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
15,20210502071614,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
16,20210503171731,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
17,20210504095711,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
18,20210505012003,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
