,0
0,20220125130907
1,20220222202959
2,20220307165017
3,20220311103556
4,20220315000143
5,20220318104031
6,20220329141645
7,20220401142332
8,20220408160235
9,20220411215922
10,20220415192413
11,20220427150604
12,20220428073830
13,20220429122438
14,20220430112746
15,20220501014427
16,20220502074547
17,20220503102411
18,20220504144951
19,20220505165744
20,20220506175637
21,20220507055747
22,20220508042807
23,20220509032906
24,20220510023645
25,20220511043935
26,20220512111910
27,20220513115436
28,20220517154007
29,20220518194404
30,20220519114954
31,20220520115417
32,20220521161806
33,20220522125724
34,20220523071835
35,20220524152757
36,20220525141257
37,20220606075806
38,20220607103523
39,20220609060731
40,20220610084130
41,20220615115450
42,20220616125156
43,20220617034458
44,20220618185202
45,20220621085527
46,20220622111842
47,20220624085511
48,20220625134310
49,20220627074130
50,20220628034750
51,20220629144236
52,20220630070617
53,20220701114636
54,20220712223839
55,20220713223533
56,20220714210852
57,20220718122421
58,20220719225720
59,20220720204801
60,20220722055803
61,20220723100540
62,20220728084040
63,20220729045647
64,20220730065047
65,20220731134705
66,20220801103430
67,20220804043741
