,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-catList_cell--interior- "")]/ul/li[1]_RELOC",class namep-catList_items_item_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[4]/div/div/ul[8]/li[1]/a/ul/li[1]_SEL,"//*[@onclick=""onclickcatalyst_togroupsite('waku_top_exp_E_93032_3151');""]/div[2]/p[2]_RELOC",class namec-feed_lines_ttl_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[15]/div[2]/a/div[2]/p[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking "")]/ul/*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking_cont "")][3]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-positioning "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking_-bb-_item "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking_-bb-_item_price "")][1]/span[3]_RELOC",class namep-ranking_-bb-_item_price_par_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[2]/div[3]/ul/li[3]/div/div[1]/p[4]/span[3]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_in "")]/div[26]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_cell "")][1]_RELOC",class namec-feed_cell_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[26]/div[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_in "")]/div[7]_RELOC",class namec-feed_row_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[7]_SEL,"//*[@onclick=""onclickcatalyst_togroupsite('waku_top_exp_E_92912_3151');""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_lines "")][1]/p[1]_RELOC",class namep-cat_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[22]/div[3]/a/div[2]/p[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-catList_cell--outdoor- "")]/ul/li[5]_RELOC",xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[4]/div/div/ul[5]/li[2]/a/ul/li[5]_SEL,"//*[@onclick=""onclickcatalyst_togroupsite('waku_top_exp_E_91714_3151');""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_lines "")][1]/p[1]_RELOC",xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[23]/div[3]/a/div[2]/p[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-list2-2column "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-list2_wrap "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-list2_row "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-list2_cell "")][1]_RELOC",class namec-list2_cell_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[6]/div[3]/div/ul[2]/li[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-catList_cell--game- "")]/ul/li[2]_RELOC",xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[4]/div/div/ul[10]/li[1]/a/ul/li[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_in "")]/div[2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_cell "")][1]_RELOC",xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[2]/div[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" s-biggerlink "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking_wrap "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking_cont "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-positioning "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking_cont_item "")][1]/p[2]/span[2]_RELOC",class namec-num_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[2]/div[3]/div[2]/ol/li[2]/div/div[1]/p[2]/span[2]_SEL,"//*[@onclick=""onclickcatalyst_togroupsite('waku_top_exp_E_92913_3151');""]/div[2]/p[2]_RELOC",xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[19]/div[2]/a/div[2]/p[2]_SEL,"//*[@onclick=""onclickcatalyst_togroupsite('waku_top_exp_E_92768_3151');""]/div[2]/p[2]_RELOC",xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[25]/div[1]/a/div[2]/p[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking "")]/ul/*[contains(concat("" "", normalize-space(@class), "" ""), "" p-ranking_cont "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-positioning "")][1]_RELOC",class namec-positioning_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[2]/div[3]/ul/li[1]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_in "")]/div[16]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_cell "")][2]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_item "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_lines "")][1]/p[1]_RELOC",xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[16]/div[2]/a/div[2]/p[1]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-map-outbound "")]/ul/li[3]_RELOC",class namep-inform_item_SEL,xpath//html/body/div[1]/div[1]/div[3]/div[2]/ul/li[3]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" l-h_campaignTtl "")]_RELOC",class namel-h_campaignTtl_SEL,xpath//html/body/div[1]/div[1]/div[1]/div/div[1]/p_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" c-feed_in "")]/div[12]/div[2]/a/div[2]/div_RELOC",class namec-feed_lines_icons_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[7]/div[1]/div[12]/div[2]/a/div[2]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" p-catList_ttl--contactlens- "")]_RELOC",class namep-catList_ttl_SEL,xpath//html/body/div[1]/div[1]/div[2]/div[1]/div/div[4]/div/div/ul[9]/li[1]/a/p_SEL
0,20220219220423,1,233,1,0,71,1,1,4,1,1,83,1,1,28,1,1,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,1,1,1,1,1,1,24,1,1,1,1,10,1,1,1,1,0,6,0,1,1,1
1,20220224110031,1,233,1,0,70,1,1,4,1,1,83,1,1,28,1,0,82,1,1,1,1,1,1,25,1,1,1,1,1,1,6,1,0,1,1,1,1,24,1,1,1,1,10,1,1,1,1,0,6,0,1,1,1
2,20220227170904,1,233,1,0,76,1,1,4,1,1,83,1,1,28,1,0,1,1,1,1,1,1,1,25,1,1,1,1,1,1,6,1,0,1,1,1,1,24,1,1,1,1,10,1,1,1,1,0,3,0,1,1,1
3,20220228162429,1,233,1,0,75,1,1,4,1,1,83,1,1,28,1,0,1,1,1,1,1,1,1,25,1,1,1,1,1,1,6,1,0,1,1,1,1,24,1,1,1,1,10,1,1,1,1,0,3,0,1,1,1
4,20220301180124,1,233,1,0,70,1,1,4,0,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,1,1,1,1,10,1,1,1,1,0,6,0,1,1,1
5,20220302222512,1,233,1,0,64,1,1,4,0,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,1,1,1,1,10,1,1,1,1,0,8,0,1,1,1
6,20220305215836,1,233,1,0,68,1,1,4,0,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,1,1,1,1,10,1,1,1,1,0,6,0,1,1,1
7,20220306233654,1,233,1,0,72,1,1,4,0,1,83,1,1,28,1,0,1,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,1,1,1,1,10,1,1,1,1,0,3,0,1,1,1
8,20220307182112,1,233,1,0,72,1,1,4,0,1,83,1,1,28,1,0,1,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,1,1,1,1,10,1,1,1,1,0,3,0,1,1,1
9,20220308204149,1,233,1,0,68,1,1,4,0,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,1,1,1,1,10,1,1,1,1,0,6,0,1,1,1
10,20220311202413,1,233,1,0,65,1,1,4,0,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,1,1,1,1,10,1,1,1,1,1,8,1,1,1,1
11,20220312233424,1,233,1,0,69,1,1,4,0,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,1,1,1,1,10,1,1,1,1,0,6,0,1,1,1
12,20220314130442,1,233,1,0,72,1,1,4,0,1,83,1,1,28,1,0,1,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,1,1,1,1,10,1,0,0,0,0,3,0,1,1,1
13,20220318192144,1,233,1,0,64,1,1,4,0,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,0,1,1,1,10,1,0,0,0,0,9,0,1,1,1
14,20220319233144,1,233,1,0,68,1,1,4,0,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,0,1,1,1,10,1,0,0,0,0,6,0,1,1,1
15,20220320231528,1,233,1,0,72,1,1,4,0,1,83,1,1,28,1,0,1,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,0,1,1,1,10,1,0,0,0,0,3,0,1,1,1
16,20220322060913,1,233,0,0,73,0,1,4,0,1,83,0,1,28,0,0,1,0,1,0,1,0,1,25,0,1,0,1,0,1,6,0,0,0,0,0,1,24,0,1,0,1,10,0,0,0,0,0,2,0,1,1,0
17,20220323092154,1,233,0,0,69,0,1,4,0,1,83,0,1,28,0,0,83,0,1,0,1,0,1,25,0,1,0,1,0,1,6,0,0,0,0,0,1,24,0,1,0,1,10,0,0,0,0,0,6,0,1,1,0
18,20220325145829,1,233,1,0,65,1,1,4,0,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,0,1,1,1,10,1,0,0,0,0,9,0,1,1,1
19,20220326234819,1,233,1,0,70,1,1,4,0,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,0,1,1,1,10,1,0,0,0,0,6,0,1,1,1
20,20220328141928,1,233,1,0,70,1,1,4,0,1,83,1,1,28,1,0,1,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,0,1,1,1,10,1,0,0,0,0,3,0,1,1,1
21,20220329233828,1,233,1,0,65,1,1,4,0,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,1,1,1,1,10,1,0,0,0,0,6,0,1,1,1
22,20220330204255,1,233,1,0,60,1,1,4,0,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,1,1,1,1,10,1,0,0,0,1,9,1,1,1,1
23,20220402162715,1,233,1,0,66,1,1,4,0,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,1,1,1,1,10,1,0,0,0,0,6,0,1,1,1
24,20220403141053,1,233,1,0,71,1,1,4,0,1,83,1,1,28,1,0,1,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,1,1,1,1,10,1,0,0,0,0,3,0,1,1,1
25,20220405200706,1,233,1,0,67,1,1,4,0,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,1,1,1,1,10,1,1,1,1,0,6,0,1,1,1
26,20220406230620,1,233,1,0,64,1,1,4,0,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,0,0,1,0,1,1,24,1,1,1,1,10,1,1,1,1,1,8,1,1,1,1
27,20220407083346,1,233,1,0,64,1,1,4,1,1,83,1,1,28,1,0,83,1,1,1,1,1,1,25,1,1,1,1,1,1,6,1,0,1,0,1,1,24,1,1,1,1,10,1,1,1,1,0,9,0,1,1,1
