,0
0,20220214234913
1,20220222220101
2,20220223233026
3,20220224233156
4,20220225233109
5,20220226233051
6,20220227233049
7,20220228204544
8,20220301213141
9,20220302233055
10,20220303223139
11,20220304221901
12,20220305233056
13,20220306233051
14,20220307230128
15,20220308235251
16,20220309233054
17,20220310233101
18,20220311191107
19,20220312234318
20,20220313233046
21,20220314231113
22,20220315232347
23,20220316192110
24,20220317183710
25,20220318194954
26,20220319212110
27,20220320234444
28,20220321235627
29,20220322231850
30,20220323233058
31,20220324224305
32,20220325233029
33,20220326233034
34,20220327233831
35,20220328233044
36,20220329223432
37,20220330221330
38,20220331233211
39,20220401233115
40,20220402233101
41,20220403233023
42,20220404233035
43,20220405233037
44,20220406221040
45,20220407233038
46,20220408233056
47,20220409233020
48,20220410233039
49,20220411233025
50,20220412233048
51,20220413233038
52,20220414233034
53,20220415233024
54,20220416233936
55,20220417233024
56,20220418233030
57,20220419210839
58,20220420201345
59,20220421224007
60,20220422210807
61,20220423233045
62,20220424233032
63,20220425233046
64,20220426233023
65,20220427232851
66,20220428233939
67,20220429233944
68,20220430234350
69,20220501233020
70,20220502233200
71,20220503233014
72,20220504233031
73,20220505233336
74,20220506235834
75,20220507235136
76,20220508233027
77,20220509231446
78,20220510233103
79,20220511222249
80,20220512233020
81,20220513233033
82,20220514235455
83,20220515234540
84,20220516233041
85,20220517233112
86,20220518233016
87,20220521233019
88,20220522233010
89,20220523233020
90,20220524233025
91,20220525233056
92,20220526233029
93,20220527233016
94,20220528233039
95,20220529233027
96,20220530233045
97,20220531233047
98,20220601233023
99,20220602233025
100,20220603233025
101,20220604233042
102,20220605233053
103,20220606233042
104,20220607235219
105,20220608232719
106,20220609210659
107,20220610234631
108,20220611233029
109,20220612233008
110,20220613233048
111,20220614191714
112,20220615210945
113,20220616203137
114,20220617202513
115,20220618233619
116,20220619223110
117,20220620233017
118,20220621233136
119,20220622233105
120,20220623233022
121,20220624233233
122,20220625223054
123,20220626233019
124,20220627233042
125,20220628233042
126,20220629233631
127,20220630224109
128,20220701194817
129,20220702233051
130,20220703233030
131,20220704230742
132,20220705225312
133,20220706235626
134,20220707221218
135,20220708232032
136,20220709233109
137,20220710233015
138,20220711211123
139,20220712220359
140,20220713222642
141,20220714224715
142,20220715194650
143,20220716200032
144,20220717204408
145,20220718083700
146,20220719194259
147,20220720093320
148,20220721192636
149,20220722204954
150,20220723192606
151,20220724222228
152,20220725202153
153,20220726202523
154,20220727220522
155,20220730203018
156,20220731202619
157,20220801212430
158,20220802230314
159,20220803234113
160,20220804232807
161,20220807220023
162,20220808222216
163,20220809224832
164,20220810225203
165,20220811213222
166,20220812224131
167,20220813233127
168,20220814223042
169,20220815235637
170,20220816233036
171,20220817233025
172,20220818233053
173,20220819204342
174,20220820200959
175,20220821195146
