,Timestamp,"//*[@id=""productivity-apps""]/header[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bound "")][1]/h1[1]/span[1]_RELOC","xpath//*[@id=""productivity-apps""]/header/div/h1/span_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" links "")]/li[6]_RELOC",xpath//html/body/footer/div/div/div/ul/li[6]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" mobile "")]/li[2]_RELOC",xpath//html/body/nav/div/ul[3]/li[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" features "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bound "")][1]/ul[1]/li[1]_RELOC","xpath//*[@id=""security""]/div/div[2]/div/ul/li_SEL","//*[@data-position=""6""]_RELOC",class namesingle-app_SEL,"xpath//*[@id=""productivity-apps""]/div/div/div/div/div[6]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" features "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bound "")][1]/ul[1]/li[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" text "")][1]_RELOC",class nametext_SEL,"xpath//*[@id=""security""]/div/div[2]/div/ul/li/span_SEL","//*[@data-position=""5""]_RELOC","xpath//*[@id=""productivity-apps""]/div/div/div/div/div[5]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" desktop "")]//*[@data-m=""{""cN"":""PLAYSTORE"",""sN"":""P10"",""pV"":""1""}""]/span[1]_RELOC",xpath//html/body/nav/div/ul[2]/li[2]/a/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" check-in-to-flights "")]/*[@aria-hidden=""true""][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" mini-states "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" fill "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" triptych "")][1]_RELOC",class nametriptych_SEL,"xpath//*[@id=""time-management""]/div[3]/div/div[2]/div/div/div/div_SEL","//*[@id=""a-simple-experience""]/header[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" text "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bound "")][1]_RELOC",class namebound_SEL,"xpath//*[@id=""a-simple-experience""]/header/div[2]/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" above-fold "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" plate "")][1]_RELOC",class nameplate_SEL,xpath//html/body/header/div/div/section/div_SEL,"//*[@id=""security""]/*[contains(concat("" "", normalize-space(@class), "" ""), "" scenery "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" primary "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bound "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" text "")][1]/p[1]_RELOC","xpath//*[@id=""security""]/div/div/div/div[2]/p_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" create-personal-events "")]_RELOC",class namescenario_SEL,"xpath//*[@id=""time-management""]/div[3]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" fine-print "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bound "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" primary "")][1]_RELOC",class nameprimary_SEL,xpath//html/body/footer/div/div_SEL,"//*[@data-src=""http://wayback.archive-it.org/all/20220113231806oe_/https://ow2.res.office365.com/owalanding/2021.11.10.01/images/mother-and-child-reunion.jpg""]_RELOC",class nameart_SEL,"xpath//*[@id=""time-management""]/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" essay "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" bound "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" description "")][1]_RELOC",class namedescription_SEL,"xpath//*[@id=""time-management""]/div[2]/div/div_SEL","//*[@aria-labelledby=""one-place-feature-title-b""]_RELOC","xpath//*[@id=""a-simple-experience""]/div/div/div/div[2]/ul/li[2]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" default "")]_RELOC",class namedefault_SEL,"xpath//*[@id=""a-simple-experience""]/div/div/div/div[2]/ul/li_SEL","//*[@data-bg=""url(https://ow2.res.office365.com/owalanding/2021.11.10.01/images/outlook-mobile-apps-ios.jpg)""]_RELOC",class nameartwork_SEL,"xpath//*[@id=""mobile-speedbump""]/div/div/div_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" legal "")]_RELOC",class namelegal_SEL,xpath//html/body/footer/div/div/div_SEL
0,20220113230650,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,1,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
1,20220114225912,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
2,20220115195058,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
3,20220116232458,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
4,20220117235646,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
5,20220118232117,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
6,20220119211722,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
7,20220120232925,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
8,20220121233237,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
9,20220122225856,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
10,20220123224154,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
11,20220124231920,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
12,20220125232546,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
13,20220126234803,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
14,20220127202848,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
15,20220128235444,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
16,20220129225223,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
17,20220130231241,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
18,20220131225840,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
19,20220201234556,1,2,1,1,1,1,1,4,1,6,1,1,8,4,1,1,0,1,1,2,1,1,24,1,1,24,1,1,1,1,1,2,1,6,1,0,40,3,1,2,1,1,2,1,1,10,1,40,2,1,1,1
