,timeRELOC,timeSEL
0,669287,1001
1,404663,0
2,576311,1207
3,707258,0
4,893575,1032
5,616902,415
6,278942,0
7,357521,1005
8,333563,1001
9,149332,993
10,507572,0
11,311210,1007
12,507581,992
13,485611,1007
14,642345,1000
15,274283,0
16,691286,1032
17,927935,1002
18,603612,0
19,304898,998
20,374149,0
21,318691,1001
22,524055,999
23,262030,0
24,245755,1002
25,740465,0
26,577667,999
27,251121,0
28,722700,1002
29,161732,0
30,263429,0
31,454503,0
32,383170,997
33,282082,0
34,181533,0
35,248018,1000
36,248349,0
37,434160,0
38,297569,0
39,263026,1020
40,624224,0
41,235658,0
42,611434,1009
43,671778,302
44,369668,0
45,520417,0
46,311221,1007
47,363442,0
48,854285,0
49,257290,0
