,timeRELOC,timeSEL
0,291505,0
1,42357,0
2,84968,999
3,310036,90
4,132087,0
5,194813,0
6,312349,0
7,253210,0
8,332737,0
9,220151,0
10,4015,0
11,43679,0
12,316200,0
13,2000,1490
14,20940,0
15,29295,0
16,56708,0
17,4002,0
18,263967,0
19,92910,0
20,159292,0
21,265909,1001
22,15188,0
23,16998,0
24,32541,0
25,134807,0
26,234018,0
27,60826,0
28,32242,0
29,272183,0
30,207606,1012
31,32280,0
32,192943,0
33,16000,0
34,108266,993
35,96184,0
36,331915,0
37,141485,0
38,173612,0
39,317560,992
40,26995,0
41,102629,0
42,252170,0
43,27119,1002
44,136791,0
45,34165,0
46,272178,0
47,139703,0
48,366844,1005
49,128082,0
