,timeRELOC,timeSEL
0,31180,0
1,34671,0
2,7011,0
3,42159,0
4,7997,1047
5,6257,0
6,31847,0
7,4019,0
8,986,0
9,4926,0
10,7073,0
11,5003,0
12,940,0
13,8989,0
14,46493,0
15,7021,0
16,92922,1000
17,124621,0
18,122809,0
19,7991,0
20,185850,0
21,9000,0
22,47102,0
23,11613,0
24,49209,999
25,49515,0
26,11640,0
27,8999,0
28,53318,0
29,12001,0
30,10629,0
31,3000,0
32,125708,0
33,93432,1000
34,1411,0
35,9000,0
36,45247,0
37,7639,0
38,50662,0
39,44625,0
40,10574,0
41,42450,0
42,43722,1000
43,37613,0
44,40116,0
45,7017,0
46,48917,0
47,7917,0
48,40081,0
49,5110,0
