,timeRELOC,timeSEL
0,228180,0
1,759325,1000
2,602152,0
3,874163,0
4,614457,1463
5,356320,470
6,641558,1044
7,302180,998
8,537044,1003
9,228049,0
10,665135,999
11,217224,0
12,722884,998
13,625311,0
14,670619,1001
15,395971,0
16,623988,0
17,538753,1008
18,523444,490
19,169054,986
20,649127,553
21,507958,546
22,460245,538
23,656530,638
24,113136,0
25,366488,1039
26,325993,0
27,617850,0
28,624051,0
29,693229,989
30,257365,0
31,251748,1016
32,248479,868
33,570331,0
34,454701,1428
35,341542,205
36,448498,1098
37,441273,501
38,690760,183
39,375581,0
40,236863,1073
41,495005,0
42,239602,0
43,235399,1007
44,351230,0
45,737704,0
46,443766,999
47,494136,0
48,141799,0
49,429246,1004
