,timeRELOC,timeSEL
0,108174,0
1,12001,0
2,9999,0
3,38572,0
4,184566,0
5,11999,0
6,233249,0
7,20207,0
8,14084,0
9,90291,0
10,15932,0
11,18983,0
12,11075,0
13,76201,1023
14,82005,0
15,117755,0
16,17995,0
17,126714,0
18,11000,0
19,56984,0
20,78994,0
21,11007,0
22,61002,0
23,18001,0
24,96019,0
25,115909,0
26,9999,0
27,13070,0
28,111664,0
29,21080,0
30,152178,0
31,15092,0
32,81905,0
33,141295,0
34,11001,0
35,102008,973
36,4489,0
37,64002,0
38,66397,0
39,40000,0
40,115975,0
41,20021,0
42,15999,0
43,191241,0
44,9997,0
45,10000,0
46,89027,0
47,143994,0
48,138618,0
49,259997,0
