,timeRELOC,timeSEL
0,117019,0
1,69131,0
2,67135,0
3,100133,0
4,140630,0
5,127275,1008
6,126889,0
7,135072,0
8,48999,0
9,139668,0
10,142994,0
11,173803,998
12,89208,0
13,119784,0
14,169915,0
15,154258,0
16,35015,0
17,28128,0
18,55210,1129
19,165716,0
20,202636,0
21,119146,1035
22,128336,0
23,105793,0
24,108076,0
25,31997,0
26,145037,0
27,130852,997
28,96209,0
29,124954,0
30,139324,0
31,120005,0
32,121660,0
33,86000,0
34,102394,999
35,72284,0
36,89161,0
37,169418,0
38,109433,0
39,153315,0
40,119310,0
41,32000,1001
42,180190,0
43,120444,0
44,118995,0
45,71314,0
46,27001,0
47,27079,0
48,121093,999
49,27141,0
