,timeRELOC,timeSEL
0,617302,0
1,532594,0
2,446666,1000
3,404681,0
4,404178,0
5,350719,0
6,408735,0
7,443751,0
8,542587,0
9,424033,1021
10,165992,0
11,272179,0
12,480503,0
13,233625,0
14,432725,0
15,315485,0
16,149003,0
17,496263,0
18,280332,978
19,499889,0
20,443319,0
21,379157,0
22,486838,0
23,157714,0
24,186574,0
25,254937,1002
26,597156,0
27,163548,0
28,237753,0
29,395705,0
30,394304,0
31,261248,0
32,161254,0
33,208004,0
34,242412,0
35,176985,0
36,136201,0
37,356662,999
38,496678,0
39,236063,0
40,47004,0
41,303232,0
42,368374,0
43,346270,0
44,329149,0
45,226206,0
46,368705,0
47,131011,0
48,178062,0
49,369396,0
