,timeRELOC,timeSEL
0,635847,0
1,45403,0
2,564543,0
3,51055,0
4,297611,0
5,151668,0
6,133655,0
7,787196,1000
8,8998,0
9,104475,0
10,228368,0
11,809839,0
12,45100,0
13,152316,0
14,877600,0
15,101451,0
16,287535,0
17,273311,0
18,271606,0
19,50947,0
20,40408,0
21,284252,1000
22,51827,0
23,33939,0
24,310415,0
25,743070,0
26,172926,0
27,239330,0
28,46007,0
29,662370,1000
30,339316,0
31,129608,0
32,77985,0
33,219638,0
34,327313,0
35,57938,0
36,252735,0
37,722758,0
38,390566,1002
39,210728,0
40,138134,0
41,378550,0
42,44004,0
43,179189,0
44,215284,0
45,271849,0
46,449038,0
47,43006,1000
48,232753,0
49,103318,0
