,timeRELOC,timeSEL
0,221901,996
1,159243,0
2,73249,0
3,217350,0
4,99178,0
5,101358,0
6,151085,0
7,171070,1000
8,157151,0
9,137778,0
10,26646,0
11,165723,0
12,234539,0
13,201529,0
14,211564,999
15,191837,0
16,34188,0
17,162200,0
18,104421,0
19,33085,0
20,28982,1001
21,261863,0
22,125091,0
23,218213,0
24,236345,0
25,190774,0
26,68954,998
27,169945,0
28,123139,0
29,156867,0
30,31050,0
31,129306,0
32,153752,0
33,39973,999
34,233340,0
35,239954,0
36,127381,0
37,161612,0
38,198185,0
39,92045,1000
40,249444,0
41,25989,0
42,31191,0
43,33135,0
44,119280,0
45,31625,0
46,250195,1001
47,141656,0
48,137110,0
49,66296,0
