,timeRELOC,timeSEL
0,128081,0
1,169800,0
2,177124,0
3,162702,984
4,61243,0
5,89763,0
6,164507,0
7,333841,0
8,156171,1014
9,218463,0
10,57443,0
11,154146,0
12,134676,985
13,149158,0
14,59146,0
15,135012,0
16,52273,0
17,166461,1003
18,157578,0
19,366565,0
20,247778,999
21,120572,0
22,239634,0
23,48172,0
24,186009,0
25,157320,995
26,176837,0
27,205763,0
28,111367,0
29,159284,0
30,655076,1004
31,366918,0
32,238766,991
33,244844,0
34,239186,0
35,225151,0
36,168713,1006
37,167210,0
38,350751,0
39,455385,0
40,66487,1010
41,183491,0
42,59211,0
43,167660,0
44,391426,0
45,158604,986
46,185140,0
47,173869,0
48,165454,0
49,133002,0
