,timeRELOC,timeSEL
0,36999,0
1,15263,0
2,89075,0
3,54112,0
4,56147,0
5,38145,1000
6,57001,0
7,10999,0
8,63664,0
9,56176,0
10,12618,0
11,55973,0
12,13994,0
13,66048,999
14,59507,0
15,44923,0
16,51187,0
17,10000,0
18,41121,0
19,54148,0
20,14000,0
21,54108,0
22,12123,1000
23,64268,0
24,34173,0
25,84276,0
26,44063,0
27,54605,0
28,61354,0
29,12990,0
30,118064,0
31,38000,0
32,25000,1000
33,55611,0
34,93733,0
35,76748,0
36,36173,0
37,14151,0
38,13935,0
39,42998,1000
40,35470,0
41,53114,0
42,13712,0
43,63169,0
44,10006,0
45,38466,0
46,8993,0
47,13014,0
48,57214,1000
49,152375,109
