,timeRELOC,timeSEL
0,487437,0
1,42990,0
2,209721,0
3,388956,1000
4,389727,0
5,226401,0
6,196478,0
7,260396,0
8,134313,0
9,223682,1000
10,168028,0
11,182318,0
12,209515,0
13,209570,0
14,410174,0
15,37999,0
16,259490,0
17,208384,1001
18,186593,0
19,177011,0
20,280239,0
21,381909,0
22,206335,0
23,263195,1000
24,209576,0
25,263499,0
26,207356,0
27,41086,0
28,177551,0
29,202948,0
30,44330,999
31,175267,0
32,215349,0
33,219501,0
34,219807,0
35,213561,0
36,124307,0
37,269860,993
38,191319,0
39,206329,0
40,214199,0
41,199506,0
42,198771,0
43,212621,0
44,132086,1000
45,238862,0
46,222464,0
47,245888,0
48,221116,0
49,208596,0
