,timeRELOC,timeSEL
0,190049,0
1,40074,0
2,235749,0
3,132152,0
4,12148,0
5,15177,1019
6,11943,0
7,84230,0
8,9000,0
9,36000,0
10,39000,0
11,9357,0
12,12157,0
13,81312,0
14,269636,0
15,10169,0
16,19992,982
17,205383,0
18,154898,0
19,10998,0
20,20064,0
21,13190,0
22,180661,0
23,81991,0
24,48211,0
25,89061,0
26,146659,1010
27,79982,0
28,217367,0
29,9000,0
30,42726,0
31,10000,0
32,108000,0
33,180313,0
34,173263,0
35,12187,0
36,171011,0
37,93211,0
38,24003,0
39,9940,990
40,68065,0
41,12019,0
42,149137,0
43,94458,0
44,112526,0
45,133229,0
46,187998,0
47,83330,0
48,11992,0
49,51004,1022
