,timeRELOC,timeSEL
0,235427,1004
1,208993,0
2,148707,1002
3,230636,0
4,113745,0
5,146956,1005
6,142058,0
7,195952,0
8,243517,993
9,144346,0
10,122611,1020
11,169900,0
12,148483,0
13,202151,982
14,141224,0
15,224158,0
16,186256,0
17,189183,942
18,327093,0
19,210051,0
20,150065,1003
21,107780,0
22,137694,0
23,214329,997
24,222631,0
25,284595,1000
26,157141,0
27,105553,0
28,204057,999
29,153519,0
30,207001,1000
31,121649,0
32,186495,0
33,223560,0
34,86558,0
35,84754,1000
36,116809,0
37,151649,0
38,115725,0
39,133040,1001
40,247848,999
41,202196,0
42,147577,0
43,77348,1000
44,305667,0
45,203680,1000
46,101429,0
47,49036,0
48,168387,1001
49,153525,0
