,timeRELOC,timeSEL
0,151879,0
1,7989,0
2,152639,1000
3,14993,0
4,143808,0
5,9005,0
6,100380,0
7,18582,0
8,106806,0
9,17357,1000
10,16184,0
11,15921,0
12,149112,0
13,147156,0
14,141616,0
15,102409,1001
16,10107,0
17,9000,0
18,150459,0
19,154444,0
20,12993,0
21,16000,0
22,129723,0
23,60988,0
24,98582,0
25,117155,999
26,168846,0
27,8723,0
28,95240,0
29,118481,0
30,10004,0
31,12999,0
32,138315,0
33,1986,1000
34,12265,0
35,150484,0
36,134716,0
37,156267,0
38,9096,0
39,1998,0
40,15376,0
41,12167,1000
42,150150,0
43,145159,0
44,141630,0
45,111894,0
46,104076,0
47,15035,0
48,2042,1000
49,125738,0
