,timeRELOC,timeSEL
0,101376,0
1,256818,0
2,193864,982
3,98399,0
4,31496,0
5,114184,0
6,216723,0
7,166444,0
8,241332,0
9,110328,1012
10,187156,0
11,177452,0
12,289859,0
13,122258,0
14,225799,0
15,257364,0
16,185517,989
17,178615,0
18,146129,0
19,178604,0
20,115461,0
21,241778,0
22,165926,0
23,180742,0
24,83941,968
25,262795,0
26,193498,0
27,43478,0
28,169016,0
29,181860,0
30,156178,0
31,261008,0
32,117542,990
33,41509,0
34,155278,0
35,47480,0
36,220642,0
37,128513,0
38,28761,0
39,39481,0
40,91988,0
41,170129,0
42,237449,0
43,295951,992
44,159437,0
45,80090,0
46,43559,0
47,28692,0
48,182132,0
49,306964,0
