,timeRELOC,timeSEL
0,85132,995
1,138683,0
2,144064,0
3,181600,0
4,124969,0
5,93163,0
6,133366,0
7,121986,1022
8,126168,0
9,62000,0
10,175714,0
11,134617,0
12,172628,0
13,95276,0
14,180164,0
15,182467,979
16,145007,0
17,141915,0
18,143805,0
19,145802,0
20,145410,0
21,98048,0
22,17232,0
23,172640,1001
24,144035,0
25,141996,0
26,190811,0
27,64065,0
28,86558,0
29,105654,0
30,145367,993
31,95708,0
32,139496,0
33,18065,0
34,141636,0
35,147211,0
36,15995,0
37,136329,0
38,176055,999
39,27637,0
40,175877,0
41,139527,0
42,148520,0
43,3001,0
44,86961,0
45,138887,1011
46,58946,0
47,61357,0
48,148171,0
49,13007,0
